Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature272,0.603819217854961,0.0105476265051481,0.117106210163049,0.0185658869527351
Feature274,0.248124546376302,0.752782351891403,1,0.691823887319571
Feature276,0.000555536664687271,0.000472385621166666,6.08599280682987e-06,0.000192642591781954
Feature277,0.923330034025403,0.323859834731491,0.0451290523529347,0.0013495024361445
Feature279,0.514175349758183,0.0287391912896752,0.00047846477630886,0.00789600835056827
Feature280,0.00453067483249494,0.0405339941219676,0.0019602151788582,0.765649750119018
Feature283,0.11813070816178,0.741388522738192,5.08629176169254e-05,0.00164274638111634
Feature284,0.248124546376302,0.0312326866526606,0.602771537810622,0.50822881854673
Feature285,0.0678617737056016,0.220017731070007,0.0628548871874291,0.701131286461932
Feature286,0.0778661067125409,0.515870008225395,1,0.0443063486631846
Feature288,0.927460307273527,0.146636956170608,0.0481656193965597,0.901393150445905
Feature289,0.202802395791315,0.606129283582265,0.0884539094713261,0.507868283485737
Feature290,0.0787438374498623,0.29234128783999,0.112643842862683,0.0550179413538827
Feature291,0.463752227973087,0.52996814686027,0.144156884793065,0.346803763985119
Feature300,0.374052066752836,0.267173558409183,0.24853386104619,0.118612302889743
Feature306,0.701258261837594,0.0483766489452799,0.00351325639125664,0.0317922937043223
Feature308,0.527162509106969,0.558370805343155,0.309446242671463,0.350666714896027
Feature315,0.702546354792433,0.0513210539347801,0.191726555111909,0.765649750119018
Feature317,0.62942505653171,0.642310730200379,0.668706986983951,0.0648830335309093
Feature318,0.00760123724249535,0.14208332612402,0.334680679679317,0.00834958347594146
Feature319,1,0.65560089736294,0.690657768044176,0.368503107700415
Feature322,1,0.220017731070007,0.157960091391476,0.0368294050997003
Feature325,0.491032329172926,0.65560089736294,0.582755259795991,0.383507049703348
Feature326,1,0.147078275158335,1,0.13329682482517
Feature327,0.817583388844093,0.814429351601824,0.0654128455098167,0.208568857112865
Feature328,0.374052066752836,0.309560738984688,0.0878141071217495,0.404304152710531
Feature334,0.400767227573729,0.147078275158335,0.00909151504750335,0.0155939812043296
Feature335,0.0362764177259834,0.260048783207738,0.643627174677802,0.477806827402074
Feature340,1,0.390198604143871,0.337530557188281,0.859372636767447
Feature346,0.769603423241179,0.333864230319533,0.698058049188215,0.685566766311028
Feature347,1,0.443113839387551,8.99559802705216e-05,0.00587088141589823
Feature348,0.807333980597031,0.0638346978786007,0.0345786202011712,0.142290684099563
Feature355,0.957720066193665,0.475011849736795,0.632842221644146,0.17855303466479
Feature357,0.406942268130456,0.585893743793432,0.00898749745170921,0.139634505046522
Feature358,0.737025991348212,1,1,0.161807449417879
Feature359,0.00042565910487512,0.752132510643046,0.353022246892523,0.121703654621658
Feature360,1,0.172152985383376,0.00167410677899375,0.0236740454373473
Feature361,1,1,0.00421275728950548,1
Feature362,0.167572591862369,0.208358113136758,0.284193440737744,1
Feature368,0.492847719980099,0.127355496855622,0.0109670142823915,0.0525149893296447
Feature372,0.279055074721046,1,0.0620186603036153,0.404304152710531
Feature375,0.232816093553622,0.733880380559343,0.986083336156759,0.573139044738806
Feature385,0.101109574396477,0.10167436292708,0.000129513173321925,0.0834950935619951
Feature386,0.00278823295434373,0.202866062181384,9.93878768336861e-06,0.275656100359888
Feature387,0.00255499212906174,0.0856862163692221,0.0189368471984304,0.0421382673385012
Feature390,0.152276933114741,0.469257791600057,6.7841483640844e-06,0.00020361124922974
Feature391,0.0797686064233401,0.851076479858073,0.405917786906289,0.0459018465889575
Feature395,1,0.24374998105313,0.516113457914898,0.0431038866465013
Feature396,0.65108705487953,1,0.982341427425788,0.163876614908417
Feature398,0.273340801279557,0.652055521271837,0.646536296967308,0.862279380482969
Feature402,0.562029026202333,0.452091201401862,0.767259762959962,0.208975272677562
Feature411,0.00108673199236832,0.236419970186754,0.000527995448723149,0.00534762330352128
Feature412,0.000527766435353729,0.528017674589548,0.000230757498517463,0.00274247053397418
Feature417,0.891225574175267,0.819228548407198,0.63907291078954,0.143888348081066
Feature419,0.953853365337821,0.41276851762443,0.232737552949235,0.187174593371068
Feature420,0.866697454028541,0.449746635641968,0.853775558040043,0.357485351611394
