Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature1389,0.229045696373316,0.744575398418336,0.211792042790872,0.732424913629953
Feature1390,0.280300172567792,0.15673833560773,0.0517432947707741,0.0758249972734379
Feature1397,0.052241527829779,0.0167274444095569,0.000801821660175818,0.0147944435530903
Feature1400,0.502860446207518,0.269287556135443,0.0774442860670523,0.90556152164763
Feature1403,0.478736407661131,0.0869204443819612,0.213585471419568,0.233922492786116
Feature1407,0.313429030450839,0.000729683843041973,0.000117059674414017,0.000101753518926051
Feature1408,0.905607848558308,1.40930057101585e-05,6.44121409005087e-05,8.68425875997225e-06
Feature1421,0.837474497279738,0.0103064524924903,0.0083048136855938,0.00781970964001128
Feature1422,0.605868288629272,0.458538045068288,0.717041956952834,1
Feature1429,0.555989024907028,0.686646056163105,0.46883229557962,0.631026766156448
Feature1430,0.930427101740591,0.167589641388145,0.054502799637129,0.0476383928137605
Feature1436,0.334306612738712,0.152221571336318,0.0970282650725829,0.0915323593306586
Feature1453,0.526412127464659,0.187662710076092,0.141243910313608,0.88624809458117
Feature1454,0.897602317354677,0.0501435737071415,0.0340531488875345,0.0111764485707142
Feature1455,0.323268171121772,0.0318834179504497,0.00623412082367515,0.0280765619757033
Feature1459,0.506844153634314,1,0.607093016250795,0.308727408228427
Feature1462,0.506844153634314,0.0543516972670282,0.0611227902733027,0.0730142000979782
Feature1463,0.520480897949735,0.366065072815183,0.557805636228215,0.0716601494529744
Feature1464,0.181745682982806,0.459990854327588,0.231766870483124,0.0878882782909991
Feature1465,0.868765461610224,0.423706549823685,0.856471045215224,0.617221274992508
Feature1475,1,0.674862277217783,0.577976679955721,0.619880052133011
Feature1482,0.185261324029587,0.018527683043213,0.0162803495131665,0.0149714835643845
Feature1487,0.823104760064623,0.0772669262824522,0.0251832379608756,0.00318075117419169
Feature1492,0.141960177644846,0.0378784040792019,0.00809960969707066,0.00160262815311646
Feature1493,0.252972065739192,0.0667919570343533,0.0109972149950922,0.000859216579295556
Feature1494,0.158352814810675,0.00922117404413895,0.00150328013419229,0.000279281792102546
Feature1496,0.327070059317819,0.595022157661713,0.642058460626931,0.71202754996262
Feature1498,0.931433491062902,0.70625255414915,0.0613233395796125,0.665043818682556
Feature1501,1,0.124242775917699,0.0389425829840106,0.0878882782909991
Feature1504,0.167938906467556,0.0134340613333035,0.0477836431827758,0.0107542145555916
Feature1505,1,0.012512340906877,1,1
Feature1509,0.323268171121772,0.116296543675375,0.0650770464128097,0.283631902416794
Feature1512,1,1,0.367662546847705,0.00994524228478382
Feature1520,0.889917194913759,0.00575303353688485,0.00346615084437991,0.000692309607439273
Feature1521,0.239997136094451,0.438633055534659,0.384303679420984,0.32677731379165
Feature1522,0.857975436893769,0.300973421056864,0.511894380016069,0.0105808010190886
Feature1524,0.212973403231382,0.191711680816076,0.72116619887002,0.584277833153628
Feature1526,0.769445484882926,0.0448369060362975,0.0260330433952026,0.0145585614352729
Feature1527,0.276765257218235,0.00225138327336896,0.00109583509904813,0.00135500437035285
Feature1528,0.856192872640268,0.629686227111852,0.678996802543218,0.569348553367326
Feature1534,0.0592531318869167,0.00204802350293709,0.0113266624140151,0.00146295478251154
Feature1537,0.472310730130161,0.0472174265557429,0.0482953233737043,0.161273978556302
Feature1538,1,0.516021927458483,0.599309494363284,0.43452660655386
Feature1539,0.815025411118976,0.0121921584976845,0.0536974022668449,0.0134528731826219
Feature1540,0.112715789929405,0.00403960608933927,0.00345660078927393,0.00314741191450003
Feature1541,0.139790731622031,0.00107376244239205,0.00498337734493137,0.00318075117419169
Feature1547,1,0.307076682428609,0.257663154650196,0.734731037830992
Feature1548,1,0.583554507717642,0.890263168107552,0.828662678540152
Feature1550,0.567052225868184,0.304396739519846,0.202215473065499,0.253643924623701
Feature1551,0.897771271539364,0.0429484693719757,0.67304135576757,0.950667201785349
Feature1565,0.555821824592544,0.0472174265557429,0.0425971607255853,0.0436269853515968
Feature1566,0.667924240259197,0.805131276465158,0.394216672238059,0.142486272892113
Feature1569,0.112715789929405,0.635333872203943,0.0953492211967289,0.821737906809569
Feature1571,0.48386078624711,0.95145063591159,0.985674748566184,0.5438275825255
Feature1574,0.318584603368448,0.698995584869221,0.665356079155362,0.402065359417448
Feature1580,0.844701634350789,0.272103633968374,0.968798220464059,0.459373064296712
Feature1586,0.158944591907334,0.624608723800241,0.895875712013688,0.313527764656778
Feature1587,0.174634875097204,0.26024264557688,0.797385278987792,0.817241864342863
Feature1593,0.133173543839167,2.75082690994003e-05,0.000113446692422949,3.09623389646296e-05
Feature1594,0.366240059111514,0.0169069002299386,0.0150218103195563,0.0136432249791943
Feature1604,0.607911683282228,0.406192478610083,0.217190752507007,0.643408945781454
Feature1605,0.0678099724844577,0.86717990281083,0.00664159595617497,0.740012571361169
Feature1606,0.0467179854398764,1,0.00495533658614385,0.900758148349453
Feature1607,0.520255869372454,0.00922117404413895,0.0159010526942424,0.0159048640037064
Feature1608,0.74117659895303,0.698907421581508,0.938233284039491,0.0703494007532618
Feature1610,0.610880638108629,0.612300000630601,0.636607972131844,0.164464807686233
Feature1612,1,0.00711674468086213,0.00579641187477575,0.00540511806185985
Feature1614,0.245689707229035,0.0351871632250817,0.00361369660037869,0.000889446658515451
Feature1618,1,1,0.00570430380143682,0.0214484985535836
Feature1619,0.0467179854398764,0.000722352705010849,0.000456801865628608,0.000442884705630262
Feature1627,0.864890399155918,0.106840413918299,0.332032249480973,0.382944214924507
Feature1628,0.811497544512845,0.210990816622488,0.190414210733596,0.182018773267416
Feature1633,1,0.080773430724629,0.0657176590169543,0.00403195662098048
Feature1634,0.539016453150754,0.372207127068613,0.10835066451398,0.540657323241755
Feature1642,0.208423886435318,0.0401800170370793,0.000604140715928289,0.000288668454815999
Feature1643,1,1,1,0.0305489389083351
Feature1644,0.829666979248467,0.164146233687909,0.00409237337128142,0.228150455837962
Feature1645,0.181745682982806,0.0335041265618692,0.0535430853472011,0.465045775250697
Feature1646,1,1,1,0.0270802832226581
Feature1648,1,0.363789781401317,1,0.00624131949256922
Feature1650,1,0.39087184958634,0.326016507374744,0.0240955615990914
Feature1653,0.57199207952049,0.0188720565500559,0.0165522461685275,0.0152829000661621
Feature1658,0.58458507914572,0.615200931584421,0.0297299286780161,0.171166121879178
Feature1659,0.811922825680565,0.0101116049465928,0.00447052247467124,0.00485021468723053
Feature1662,0.112715789929405,0.0238578033647272,0.0214093073152482,1
Feature1665,0.0467179854398764,0.000559978525040843,0.000349162421506177,0.000327354349602665
Feature1689,0.112715789929405,1,1,1
Feature1690,0.271495886235929,0.339712711416789,0.934586708507119,0.573702829598073
Feature1691,0.909816858849785,0.0625164422976778,0.0731201504718538,0.0291037285145371
Feature1692,0.455015530450372,0.095389270485568,0.856471045215224,0.335166872440137
Feature1693,0.357297725109024,0.2720595177989,0.817889013737788,0.333965109070168
Feature1696,0.358043672685343,0.00871582199356936,0.00135963317564349,0.00380387631068709
Feature1698,1,0.144706633791691,0.77344303036713,0.641466120747754
Feature1699,1,0.812014729657012,0.566985169380666,0.19239607872721
Feature1700,0.805980107034517,0.124242775917699,0.578372871764519,0.829247544540167
Feature1701,0.720255146437597,0.448266008594918,0.422110325609821,0.966649176065494
Feature1702,0.854205676656831,0.169244703789223,0.199635720503383,0.795386052283997
Feature1704,0.332673798631202,0.0193151196681127,0.0170998987676042,0.123277059951386
Feature1705,0.334306612738712,0.0114187173002775,0.0489819450093716,0.166841481426121
Feature1711,0.245689707229035,0.0242098163571125,0.0218239285524239,0.0206847709671312
Feature1727,0.293014795460312,0.0162510734295162,0.0378475316771454,0.39475703959609
Feature1734,1,0.0990401173322964,0.225531423594653,0.0236942472336855
Feature1735,0.708374195220603,0.126102233230267,0.48660646731715,0.141742877965204
Feature1739,0.0678099724844577,0.886617851927731,1,1
Feature1741,0.542247242313463,0.0662947002837987,0.304002531841116,0.507307078116035
Feature1745,0.112715789929405,0.0311608470330413,0.0279491658711562,0.0274921686622823
Feature1746,0.278531977445757,0.0136342029728839,0.0116724421021822,0.0109014604621979
Feature1754,0.174634875097204,0.878563824087253,0.397690077092109,0.06347741734716
Feature1762,0.679553885810057,0.0804051601766073,0.0832352341112662,0.0120088743600405
Feature1763,1,0.0239074591379207,0.0130723299747702,0.00167199122687169
Feature1767,0.229045696373316,0.00171436196778946,0.00132616180979484,0.00118107936180622
Feature1775,0.837716644329684,0.430942224537665,0.0786946419693353,0.160524904853047
Feature1776,0.954160259920404,0.153614458503255,0.695352364808029,0.0445675902896221
Feature1782,0.82236632585022,0.0197664380316546,0.0176086093253647,0.0165048107806208
Feature1784,0.112715789929405,0.0385182566538955,0.486841219892219,0.252366832310356
Feature1785,0.112715789929405,0.170805273140201,0.493355122621898,0.025351522439378
Feature1787,0.112715789929405,0.00233972844229962,0.00185505214912421,0.0016864293839745
Feature1789,0.112715789929405,0.000559978525040843,0.000349162421506177,0.000327354349602665
Feature1792,1,0.0683908753032684,0.00425679892048095,0.0189426287696159
Feature1799,1,1,0.196471245642242,0.0413974127565054
Feature1803,0.506844153634314,0.103498296837676,0.00680377368833135,0.00145245480693721
Feature1806,0.390177249926194,0.260114343374997,0.0517432947707741,0.711514468197493
Feature1809,0.202555322976983,0.0208324947398447,0.0185248006178557,0.0172704692853876
Feature1816,0.353070216874254,0.646435395044036,0.743195316972973,0.57096182532249
Feature1819,1,0.974121905607358,0.617426288946989,0.701238394156699
Feature1820,1,0.0219380753704394,0.00490180821651302,0.00465289213879581
Feature1821,0.749999161864748,0.00337132546916803,0.00623201029691969,0.00285872515168044
Feature1822,0.181526027960683,0.00811504901023266,0.00652057182578085,0.00616911981134514
Feature1830,1,1,0.0149881597587858,0.341094186324274
Feature1831,1,0.0272241400914791,9.24347993363051e-05,0.000177024422493081
Feature1832,0.385090846060413,0.0302772032911468,7.51367886601633e-05,0.000545822471110386
Feature1833,1,1,0.0170998987676042,0.0967082836421429
Feature1834,1,1,0.00493612148669283,0.0731256280916014
Feature1841,0.45493902278617,0.853593043858786,0.764777170318925,0.249957370798085
Feature1842,0.308126372916516,1,0.773065743134985,0.863251547265281
Feature1844,1,0.662876769253509,0.0215989139304344,0.0862205897718336
Feature1846,0.790303803977802,0.713195940253292,0.636607972131844,0.646225999488195
Feature1857,0.252848394462856,0.0253952203707079,1,0.000146026021338708
Feature1860,0.592448435738355,0.107285627840623,0.0224661564650797,0.317970073888195
Feature1861,1,1,0.00791609191553585,0.19239607872721
Feature1862,1,0.198097132311745,0.00311340253671893,0.000791486544363035
Feature1863,0.776415004917887,0.0545937689537243,0.000315224640966977,0.00172488193563995
Feature1864,0.823104760064623,0.0938403555668176,0.14022158423016,0.000990574843615263
Feature1865,1,1,1,0.0289658948029534
Feature1866,0.240706138127835,0.0254282987013645,0.509850527129794,0.196439979446139
Feature1868,0.456112324614772,0.113466354134097,0.0293058184477153,0.0593561603156161
