Feature,Sample1,Sample2,Sample3,Sample5,Sample6,Sample7,Sample8,Sample9,Sample11,Sample12,Sample13,Sample14,Sample15,Sample17,Sample18,Sample19,Sample20,Sample21,Sample23,Sample24,Sample25,Sample26,Sample27,Sample29,Sample30,Sample49,Sample50,Sample51,Sample52,Sample54
Feature207,8321.992,8467.697,11023.807,8764.702,12853.186,11047.008,0,4879.081,6270.3955,12295.822,9872.58,5684.236,10398.244,12588.873,12239.885,16448.996,25529.334,20941.703,13717.614,23656.26,18219.193,12475.82,12683.945,13270.798,17314.875,14777.967,13783.7,8544.93,8094.054,10437.527
Feature209,690.7361,0,749.6868,757.0454,444.94867,417.8028,0,434.17432,558.12866,0,629.1021,530.30304,602.4494,803.2846,910.72107,1120.3281,1728.4103,1532.993,2001.2775,1446.2826,1116.2557,584.1037,0,666.41144,1345.2017,0,0,0,0,0
Feature210,2912.6162,4289.378,1863.7607,3670.8638,0,0,0,0,0,0,0,1086.707,0,1031.1282,1018.62805,0,0,0,0,0,0,1152.5192,0,0,0,0,0,0,0,0
Feature212,7136.414,6636.056,5217.1416,7945.6187,1671.2671,2656.4053,1542.7985,1646.9819,2985.9968,1139.2305,4041.2556,3631.2937,3048.7864,4020.216,3126.1653,1000.6446,1389.1917,1016.60394,817.53094,812.93176,1434.6361,2393.973,2970.976,4762.49,1679.5211,0,0,0,0,0
Feature213,0,0,885.31036,0,0,836.8476,0,0,0,0,0,0,0,0,0,742.75,0,785.1024,836.54816,3301.8818,898.54504,0,0,0,0,0,0,0,0,0
Feature214,1099.6831,576.2716,785.2951,943.13336,698.151,859.80383,414.09448,540.9564,812.9753,695.25366,1072.9088,491.86755,968.20984,1503.1738,1098.5128,1287.674,1410.2711,1640.3751,1072.0778,1125.0513,1575.9933,1113.047,1423.487,1586.5742,1249.6923,1110.0822,933.7761,689.45325,768.0797,916.20215
Feature215,3690.5088,1777.3873,0,3529.818,7234.903,28248.916,7277.982,4527.5312,23595.805,2688.7275,913.3338,3119.0332,0,1003.78064,1338.8314,899.4413,0,670.36096,0,662.38074,0,0,0,0,503.85925,0,0,0,0,0
Feature218,1394.507,733.5816,897.1327,840.29626,980.7654,1181.1805,869.229,845.28723,882.7893,793.8691,927.0185,931.374,808.0934,999.5881,1087.8314,1613.1199,1615.6217,1432.8286,1363.0422,1425.3368,1176.654,1072.7397,1282.7041,1319.6035,1157.1411,848.3721,0,580.72845,527.2962,475.29645
Feature220,3894.1372,3676.068,0,3949.2207,5312.0684,4205.9453,4537.686,0,0,0,1847.006,5179.2354,2803.6597,4702.004,3422.8142,7368.8013,6647.0137,6481.6973,3906.502,4422.367,1498.1366,1746.9688,0,3069.1536,2618.3916,0,3454.772,0,0,3688.7996
Feature224,2494.8115,1591.3342,3281.1274,2394.8225,0,0,0,2972.6636,1585.6974,1733.1365,0,0,0,0,2115.6008,0,0,0,2424.8757,1702.1743,0,0,4094.7253,3440.6882,1729.6327,0,0,0,0,0
Feature231,3860.2202,1640.4316,4244.3945,2928.4138,2416.737,4165.106,1544.2717,3922.2551,4645.686,2773.9998,0,0,0,4022.831,2672.5344,0,3204.4185,2344.971,2673.177,2416.8323,0,0,4926.9185,4618.427,0,0,0,0,0,0
Feature233,11980.947,11772.901,14934.763,11230.896,10733.674,12180.346,7299.795,12364.793,10969.433,10055.5,17030.902,14153.1,21323.938,18352.611,17941.082,18412.557,17149.932,23219.729,14691.239,20947.084,9718.007,18083.285,21190.748,19474.066,13719.674,0,0,0,0,0
Feature236,2421.3198,1790.0669,2088.5974,2943.5688,2000.7511,0,1408.6523,2162.168,2170.0986,1947.458,0,1825.857,0,3821.7078,2707.5059,2621.3416,3073.6128,3873.5415,1950.0624,1966.9764,0,0,2572.9243,2708.3105,1532.0103,0,0,0,0,0
Feature239,0,883.4559,0,0,0,0,0,0,0,0,0,1047.2189,0,0,0,2141.6052,2937.229,2030.0287,0,0,0,0,0,0,0,0,0,0,0,0
Feature243,3825.2603,3358.092,4805.217,4773.658,0,4444.1606,0,4122.7974,4354.4214,0,0,0,0,5155.7256,3583.6167,0,5491.861,4724.6025,2716.4897,0,0,0,3638.1238,7126.424,0,0,0,0,0,0
Feature244,4349.1245,3001.602,4065.0618,3747.9622,0,4479.1377,0,4129.325,3271.9746,0,0,0,0,3484.515,3788.2808,0,3647.4854,3275.6042,2472.5525,0,0,0,3217.37,3535.7153,0,0,0,0,0,0
Feature248,1220.347,3054.2253,979.4974,1796.0941,0,0,0,0,0,0,851.30554,1086.7495,749.9739,710.5849,656.13,0,0,0,0,0,0,628.5553,0,448.6923,0,0,0,0,0,0
Feature250,3617.3098,3133.1008,3300.1575,3489.7637,3618.587,2942.3032,2600.3975,2210.8704,2342.334,1965.6945,3392.958,2557.4585,2547.9658,3460.6504,2816.3887,3396.5383,3469.6985,3644.3606,3195.482,2817.3328,1895.4474,2160.9377,2703.5022,2585.025,2624.6064,2515.9656,2663.7993,2763.288,1595.2832,2796.5308
Feature253,852.4869,0,0,827.10376,0,2894.7915,0,759.4178,3453.6946,429.10858,0,468.73557,0,0,0,0,0,0,0,0,375.686,0,0,0,0,0,0,0,0,0
