ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,Kingdom,Phylum,Class,Order,Family,Genus,Hv_WT_HvSC_only_endo_1,Hv_WT_HvSC_only_endo_2,Hv_WT_HvSC_only_endo_3,Hv_WT_HvSC_only_endo_4,Hv_WT_HvSC_only_endo_5,Hv_symrk_HvSC_only_endo_1,Hv_symrk_HvSC_only_endo_2,Hv_symrk_HvSC_only_endo_3,Hv_symrk_HvSC_only_endo_4,Hv_symrk_HvSC_only_endo_5,Hv_symrk_HvSC_only_endo_6,Hv_ccamk_HvSC_only_endo_1,Hv_ccamk_HvSC_only_endo_2,Hv_ccamk_HvSC_only_endo_3,Hv_ccamk_HvSC_only_endo_4,Hv_ccamk_HvSC_only_endo_5,Hv_ccamk_HvSC_only_endo_6,Hv_nsp1_HvSC_only_endo_1,Hv_nsp1_HvSC_only_endo_2,Hv_nsp1_HvSC_only_endo_3,Hv_nsp1_HvSC_only_endo_4,Hv_nsp1_HvSC_only_endo_5,Hv_nsp1_HvSC_only_endo_6,Hv_nsp2_HvSC_only_endo_1,Hv_nsp2_HvSC_only_endo_2,Hv_nsp2_HvSC_only_endo_3,Hv_nsp2_HvSC_only_endo_4,Hv_nsp2_HvSC_only_endo_5,Hv_nsp2_HvSC_only_endo_6
P4_A9,,,,,,,,,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_B10,-0.965487901477895,-1.09259885777191,-1.3010030522127,-1.25052115786409,0,0,-1,-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0.0102507651486711,0.00916261183487678,0.00809444586639365,0.00943554615358786,0.00759792597155912,0.00605862125429835,0.00180000433735985,0.00536840524577035,0.00346061894887002,0.0065914062155933,0.00651882250808934,0.00611711103611205,0.00796100731112916,0.00497840905035509,0.00210342284262573,0.0037108533088442,0.00270986916868207,0.00844196730486696,0.00640545711671242,0.00288526056810557,0.00344486799378794,0.00245140956049729,0.00163743214750348,0.00211770934439248,0.00511067708333333,0.00401033292989143,0.00466556009151676,0.00529483892542637,0.00248162049818532
P4_B11,Inf,0.166666666666671,0.241946371585614,Inf,1,0,0,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0,0,0,0,0,0.000374277760883296,0,0,0,0,0.000505090363822903,0,9.28397354067541e-05,0,0,0,0,0,0,0,0.000127064803049555,0,0,0,0,0.000541936882417761,0,0.000222940586333742,0
P4_B2,-1.33041299174768,-1.63312071825022,-1.5457431231033,-0.777523439490419,-1,-1,-1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,0.0090290724680101,0.00996703814157903,0.00902226772459688,0.00923407541721232,0.0079572873350788,0.00639781047509883,0.00180000433735985,0.00447992792071278,0.00310399027856662,0.00412513395675216,0.003219951069371,0.00444369445381933,0.00422420796100731,0.00182006352378573,0.00256781489878985,0.00262383567292014,0.00262245403420846,0.00312492712390103,0.00487480242908244,0.00364571684186983,0.00492729069603276,0.00224712543045585,0.00141312637387286,0.00391187976116945,0.00647786458333333,0.00639485521252958,0.00363375353281593,0.00730130420243005,0.00493222074014331
P4_B4,0.275777154040464,0.402825756494704,0.515412042198173,0.116371505499882,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.00762921627141939,0.00890754983519071,0.00166368057332992,0.00127598133037843,0.00123209610349607,0.00342698074808768,0.00195181193207694,0.00291570727800581,0.00365874598792746,0.00374344896431245,0.00590324362718018,0.000745303183710204,0.00248346292213067,0.00663787873380679,0.00688392930313874,0.00567873006353431,0.0055654302281535,0.0029383643105338,0.00414275018717245,0.00310892417803623,0.00849922349287025,0.0035895639992996,0.00370104526490512,0.00785317215212212,0.00182291666666667,0.00330581498274834,0.00372347584226818,0.00270315460929662,0.0017061140925024
P4_B5,0.0257574848956638,-0.577871209013497,-1.17090377712507,1.06746321299097,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,0.000687202132871805,0.000647465076126197,0.00159969285897108,0.00117524596219066,0.000513373376456697,0.000362581580855693,0.000260241590943593,0.000525578135949545,0.00157180784318905,0.00390493107649848,0.00132586220503512,0.000210934863314209,0.00129975629569456,0.000713750401484601,0.00166634796623597,0.000862117435388047,0.000116553512631487,0.000279844220050838,0.000249563264287497,0.000223663609930664,0.000324721163348864,0.000569077219401156,0.000964514826611637,0.000735315744580723,0.00152994791666667,0.00442581787307838,0.00457583778206451,0.000668821759001226,0.00201631665477557
P4_B8,,,,,,,,,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130208333333333,0,0,0,0
P4_C7,-0.508497122450658,-1.21001171785399,-0.508316858145846,-0.604696376330521,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.0459216462308872,0.0333542614974101,0.00521499872024571,0.0426446391994896,0.00503105908927563,0.0118365341879342,0.0070915833532129,0.00969816798478326,0.0171578015823746,0.0146361514408608,0.0178517875463657,0.00171560355495556,0.00480445630729952,0.0144534456300632,0.0164449422241648,0.0107952096257286,0.00932428101051895,0.0161843240596068,0.00964977955244988,0.00957280250503243,0.0307496823379924,0.00837564933169906,0.00948813422457494,0.0205888408482602,0.0060546875,0.00838195711472804,0.0247184962540936,0.0059636606844276,0.015882371188386
P4_C9,0.371593291263207,-0.312546955193123,0.463097930768498,0.10863153442482,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.00169891638404418,0.00172657353633653,0.00175966214486819,0,0,0.0015555919436712,0.000477109583396587,0.00121383521874061,0.000964218256746226,0.000719329408828668,0.00118380554020993,0.00040780740240747,0.000649878147847279,0.00153456336319189,0.000628295134810282,0.000824634068632045,0,0.00123597863855787,0.00116462856667499,0.000603891746812794,0.00292249047013977,0.000452343430806047,0.000942084249248576,0.000882378893496868,0.000618489583333333,0.000740647072637607,0.000762639630344085,0.000863894772043251,0.000930607686819493
P4_D3,,,,,,,,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,3.18149135588799e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
