Fresh_weight	Genotype	Treatment	
0,0267	ccamk	no_SC	
0,0244	ccamk	no_SC	
0,016	ccamk	no_SC	
0,0225	nsp1	no_SC	
0,0265	nsp1	no_SC	
0,0125	nsp1	no_SC	
0,0186	nsp1	no_SC	
0,0156	nsp1	no_SC	
0,0138	nsp1	no_SC	
0,0157	nsp1	no_SC	
0,0184	nsp1	no_SC	
0,0176	nsp1	no_SC	
0,0141	nsp1	no_SC	
0,0226	nsp1	no_SC	
0,0206	nsp1	no_SC	
0,0236	nsp1	no_SC	
0,0273	nsp1	no_SC	
0,0235	nsp1	no_SC	
0,0165	nsp1	no_SC	
0,0242	nsp1	no_SC	
0,0183	nsp1	no_SC	
0,0211	nsp1	no_SC	
0,0167	nsp1	no_SC	
0,0118	nsp1	no_SC	
0,0244	nsp1	no_SC	
0,0306	nsp1	no_SC	
0,0117	nsp1	no_SC	
0,0298	nsp1	no_SC	
0,0299	nsp1	no_SC	
0,0132	nsp1	no_SC	
0,0265	nsp1	no_SC	
0,0246	nsp1	no_SC	
0,0243	nsp1	no_SC	
0,0198	nsp1	no_SC	
0,0146	nsp1	no_SC	
0,0246	nsp1	no_SC	
0,022	nsp1	no_SC	
0,0377	nsp1	no_SC	
0,0322	nsp1	no_SC	
0,0184	nsp1	no_SC	
0,0236	nsp1	no_SC	
0,0216	nsp1	no_SC	
0,0294	nsp1	no_SC	
0,0384	nsp1	no_SC	
0,0211	nsp1	no_SC	
0,0157	nsp1	no_SC	
0,0195	nsp1	no_SC	
0,0216	nsp1	no_SC	
0,0212	nsp1	no_SC	
0,0162	nsp1	no_SC	
0,0274	nsp1	no_SC	
0,0223	nsp1	no_SC	
0,0216	nsp1	no_SC	
0,0177	nsp1	no_SC	
0,0197	nsp1	no_SC	
0,0224	nsp1	no_SC	
0,0255	nsp1	no_SC	
0,029	nsp1	no_SC	
0,0196	nsp1	no_SC	
0,0198	nsp1	no_SC	
0,0234	nsp1	no_SC	
0,0212	nsp1	no_SC	
0,0206	nsp1	no_SC	
0,0182	nsp1	no_SC	
0,0189	nsp1	no_SC	
0,0168	nsp1	no_SC	
0,0268	nsp1	no_SC	
0,0178	nsp1	no_SC	
0,0276	nsp1	no_SC	
0,0268	nsp1	no_SC	
0,0116	nsp1	no_SC	
0,0186	nsp1	no_SC	
0,0293	nsp1	no_SC	
0,0138	nsp1	no_SC	
0,0259	nsp1	no_SC	
0,0177	nsp1	no_SC	
0,0243	nsp1	no_SC	
0,0153	nsp1	no_SC	
0,0252	nsp1	no_SC	
0,0241	nsp1	no_SC	
0,0236	nsp1	no_SC	
0,0237	nsp1	no_SC	
0,0169	nsp1	no_SC	
0,0332	nsp1	no_SC	
0,0246	nsp1	no_SC	
0,032	nsp1	no_SC	
0,0213	nsp1	no_SC	
0,0318	nsp1	no_SC	
0,0089	nsp1	no_SC	
0,0245	nsp1	no_SC	
0,0152	nsp1	no_SC	
0,0296	nsp1	no_SC	
0,0211	nsp1	no_SC	
0,018	nsp1	no_SC	
0,0232	nsp1	no_SC	
0,0179	nsp1	no_SC	
0,0203	nsp1	no_SC	
0,0205	nsp1	no_SC	
0,0242	nsp1	no_SC	
0,0193	nsp1	no_SC	
0,0212	nsp1	no_SC	
0,0134	nsp1	no_SC	
0,0217	nsp1	no_SC	
0,022	nsp1	no_SC	
0,0211	nsp1	no_SC	
0,0195	nsp2	no_SC	
0,0225	nsp2	no_SC	
0,032	nsp2	no_SC	
0,0151	nsp2	no_SC	
0,0223	nsp2	no_SC	
0,0372	nsp2	no_SC	
0,0326	nsp2	no_SC	
0,0182	nsp2	no_SC	
0,0333	nsp2	no_SC	
0,0209	nsp2	no_SC	
0,0239	nsp2	no_SC	
0,0291	nsp2	no_SC	
0,0225	nsp2	no_SC	
0,0236	nsp2	no_SC	
0,0208	nsp2	no_SC	
0,0327	nsp2	no_SC	
0,019	nsp2	no_SC	
0,0289	nsp2	no_SC	
0,0187	nsp2	no_SC	
0,0243	nsp2	no_SC	
0,0197	nsp2	no_SC	
0,018	nsp2	no_SC	
0,0173	nsp2	no_SC	
0,0278	nsp2	no_SC	
0,017	nsp2	no_SC	
0,0211	nsp2	no_SC	
0,0247	nsp2	no_SC	
0,0338	nsp2	no_SC	
0,0258	nsp2	no_SC	
0,0263	nsp2	no_SC	
0,0206	nsp2	no_SC	
0,0259	nsp2	no_SC	
0,0201	nsp2	no_SC	
0,0246	nsp2	no_SC	
0,0212	nsp2	no_SC	
0,022	nsp2	no_SC	
0,0388	nsp2	no_SC	
0,0226	nsp2	no_SC	
0,0179	nsp2	no_SC	
0,0259	nsp2	no_SC	
0,0236	nsp2	no_SC	
0,0202	nsp2	no_SC	
0,0289	nsp2	no_SC	
0,014	nsp2	no_SC	
0,0234	nsp2	no_SC	
0,0202	nsp2	no_SC	
0,0345	nsp2	no_SC	
0,0324	nsp2	no_SC	
0,0246	nsp2	no_SC	
0,034	nsp2	no_SC	
0,0315	nsp2	no_SC	
0,0219	nsp2	no_SC	
0,0301	nsp2	no_SC	
0,0252	nsp2	no_SC	
0,0182	nsp2	no_SC	
0,0234	nsp2	no_SC	
0,0274	nsp2	no_SC	
0,0199	nsp2	no_SC	
0,0309	nsp2	no_SC	
0,0142	nsp2	no_SC	
