ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_endo,Lj_Gifu_LjSC_2_endo,Lj_Gifu_LjSC_3_endo,Lj_Gifu_LjSC_4_endo,Lj_symrk_LjSC_1_endo,Lj_symrk_LjSC_2_endo,Lj_symrk_LjSC_3_endo,Lj_symrk_LjSC_4_endo,Lj_ccamk_LjSC_1_endo,Lj_ccamk_LjSC_2_endo,Lj_ccamk_LjSC_3_endo,Lj_ccamk_LjSC_4_endo,Lj_nsp1_LjSC_1_endo,Lj_nsp1_LjSC_2_endo,Lj_nsp1_LjSC_3_endo,Lj_nsp1_LjSC_4_endo,Lj_nsp2_LjSC_1_endo,Lj_nsp2_LjSC_2_endo,Lj_nsp2_LjSC_3_endo,Lj_nsp2_LjSC_4_endo
G24_LjRoot12,-1.7176106482613,-0.978517409380265,-2.25190694717287,-2.93969888695034,0,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,0.00100507440001961,0.000536883925695265,0.000375957516800602,0.000629609642021946,0,0.000151154442051166,0.000164141414141414,0.000915967683836772,0.00057927359091699,0,0.000857618511107001,0.000355168473393249,9.60707080411183e-05,0.000266015332156417,0.000202315387209172,0,0.000332684598366519,0,0,0
G25_LjRoot27,,,,,,,,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58940249287351e-05
G27_LjRoot78,-1.79363817339911,-3.05534267085112,-2.31416363003968,-2.14904827222962,0,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,0.000392224156105214,0.000536883925695265,0.000258470792800414,0.000607123583378305,6.77070990893395e-05,5.03848140170553e-05,0.000151515151515152,0.000442546184325632,0,0,0.000117712344661745,9.26526452330214e-05,0.000176129631408717,0.000483664240284395,0,0,0.000316050368448193,0.000191881289442265,0,5.58940249287351e-05
G29_LjRoot226,0.0967073732736501,1.00566917207523,0.554692227541207,0.0853053764694233,0,1,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0.00340744735616405,0.00311392676903254,0.0023732318248038,0.00348533908976435,0.00409627949490504,0.0021917394097419,0.00332070707070707,0.00384912262646015,0.00689335573191218,0.00427256792287467,0.00618830611936032,0.00782914852219031,0.0030902744419893,0.00621508548765447,0.00503540519276161,0.00419664268585132,0.00422509439925479,0.00356046392631759,0.00380558151956202,0.00194231736627355
G2_LjRoot102,0.86211651896668,1.62199639868997,0.981943419594717,1.13500808585714,0,1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0170862648003334,0.00996456566090411,0.0152732741200244,0.0094441446303292,0.014810927925793,0.0219047978939148,0.0201136363636364,0.0410847527401842,0.0496727104211319,0.0336327782646801,0.0422923638320413,0.0312084993359894,0.0162839850129695,0.0292375033251917,0.0222996515679443,0.0349720223820943,0.0245521233594491,0.0522130308715675,0.0203298170650287,0.0219244312782963
G30_LjRoot2,-0.697376758364585,-0.17750291416447,-0.505879653002508,-0.315330281959807,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,0.00134827053661167,0.000966391066251476,0.00122186192960195,0.00110181687353841,0.000795558414299739,0.000554232954187608,0.000517676767676768,0.00111151134667833,0.00156403869547587,0.000766871165644172,0.00141254813594094,0.000633126409092313,0.000400294616837993,0.00106406132862567,0.000629425649095201,0.00159872102318145,0.00118103032420114,0.00147108988572403,0.000701028174656162,0.000600860767983903
G31_LjRoot101,-0.0628017331249298,-0.178489489783892,-0.428489489783892,-0.428489489783892,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0.000220626087809183,0,0,0,0,0,0,0.000185251891113055,0,0,0.000134528393899137,0,0,0,0,0,0,0,0,0
G32_LjRoot291,-0.0375827099870804,0.113736394350736,0.992664308517558,0.521568136776413,0,0,1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0.0355943421665482,0.032771394824439,0.0349405517176559,0.0377540924626732,0.0506279833440536,0.0304702162768142,0.0396590909090909,0.0226624813461637,0.0292243526617622,0.0467791411042945,0.0513057662232835,0.0300812254856543,0.0603324046498223,0.0566612657493168,0.0971788243228055,0.0721422861710632,0.0610642580301745,0.0474586389220536,0.0664641474162105,0.0339276731317422
G33_LjRoot104,0.903371378676407,1.49811625188412,0.834784424510788,1.26058523046577,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,0.00083347633172358,0,0,0.00107933081489477,0.00076170486475507,0.00166269886256282,0.00103535353535354,0.000905675912108269,0.00182471181138852,0.00175284837861525,0.00201792590848706,0.000957410667407888,0.00107278957312582,0.00217648908127978,0.00128133078565809,0,0.00197947336028079,0.00153505031553812,0.0016023501134998,0.000656754792912638
G34_LjRoot233,-1.56042869460683,-0.76479739965809,-1.69739084852778,-1.67802968635504,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0.000257397102444047,0.000515408568667454,0.000187978758400301,0.000292318762367332,0,0,0.000265151515151515,0.000113209489013534,0.000810983027283786,0,0.000336320984747843,0,0,0.000362748180213296,0,0,0.000382587288121496,0,0,0
