SampleID	Genotype	Compartment	Inoculum	Description	Bio_rep
Hv_OXNSP2_HvSC_only_endo_5	OXNSP2	endo	SC	Hv_OXNSP2_HvSC_only_endo5	5
Hv_OXNSP2_HvSC_only_endo_6	OXNSP2	endo	SC	Hv_OXNSP2_HvSC_only_endo6	6
Hv_OXNSP1NSP2_HvSC_only_endo_1	OXNSP1NSP2	endo	SC	Hv_OXNSP1NSP2_HvSC_only_endo1	1
Hv_OXNSP1NSP2_HvSC_only_endo_2	OXNSP1NSP2	endo	SC	Hv_OXNSP1NSP2_HvSC_only_endo2	2
Hv_OXNSP1NSP2_HvSC_only_endo_3	OXNSP1NSP2	endo	SC	Hv_OXNSP1NSP2_HvSC_only_endo3	3
Hv_OXNSP1NSP2_HvSC_only_endo_4	OXNSP1NSP2	endo	SC	Hv_OXNSP1NSP2_HvSC_only_endo4	4
Hv_OXNSP1NSP2_HvSC_only_endo_5	OXNSP1NSP2	endo	SC	Hv_OXNSP1NSP2_HvSC_only_endo5	5
Hv_OXNSP1NSP2_HvSC_only_endo_6	OXNSP1NSP2	endo	SC	Hv_OXNSP1NSP2_HvSC_only_endo6	6
bulk_HvSC_1	bulk	bulk	SC	bulk_HvSC_1	1
bulk_HvSC_2	bulk	bulk	SC	bulk_HvSC_2	2
bulk_HvSC_3	bulk	bulk	SC	bulk_HvSC_3	3
bulk_HvSC_4	bulk	bulk	SC	bulk_HvSC_4	4
bulk_HvSC_5	bulk	bulk	SC	bulk_HvSC_5	5
bulk_HvSC_6	bulk	bulk	SC	bulk_HvSC_6	6
SC_input_1	input	input	SC	SC_input_1	1
SC_input_2	input	input	SC	SC_input_2	2
