Fresh_weight	Plant_species	Genotype	Soil_type
0.0807	Lotus	nsp2	NPK
0.0547	Lotus	nsp2	NPK
0.0421	Lotus	nsp2	NPK
0.0577	Lotus	nsp2	NPK
0.01116	Lotus	nsp2	NPK
0.0744	Lotus	nsp2	NPK
0.082	Lotus	nsp2	NPK
0.072	Lotus	nsp2	NPK
0.1141	Lotus	nsp2	NPK
0.1046	Lotus	nsp2	NPK
0.0953	Lotus	nsp2	NPK
0.1002	Lotus	nsp2	NPK
0.0731	Lotus	nsp2	NPK
0.0632	Lotus	ccamk	NPK
0.0559	Lotus	ccamk	NPK
0.0589	Lotus	ccamk	NPK
0.0494	Lotus	ccamk	NPK
0.0381	Lotus	ccamk	NPK
0.0705	Lotus	ccamk	NPK
0.0625	Lotus	ccamk	NPK
0.0513	Lotus	ccamk	NPK
0.0694	Lotus	ccamk	NPK
0.0628	Lotus	ccamk	NPK
0.0443	Lotus	ccamk	NPK
0.0553	Lotus	ccamk	NPK
0.0507	Lotus	ccamk	NPK
0.064	Lotus	ccamk	NPK
0.0414	Lotus	ccamk	NPK
0.0467	Lotus	ccamk	NPK
0.0613	Lotus	ccamk	NPK
0.0457	Lotus	ccamk	NPK
0.0357	Lotus	ccamk	NPK
0.0608	Lotus	ccamk	NPK
0.0401	Lotus	ccamk	NPK
0.065	Lotus	ccamk	NPK
0.0726	Lotus	ccamk	NPK
0.0361	Lotus	ccamk	NPK
0.0342	Lotus	ccamk	NPK
0.0501	Lotus	ccamk	NPK
0.0522	Lotus	ccamk	NPK
0.0333	Lotus	ccamk	NPK
0.0509	Lotus	ccamk	NPK
0.0571	Lotus	ccamk	NPK
0.0566	Lotus	ccamk	NPK
0.0407	Lotus	ccamk	NPK
0.0843	Lotus	ccamk	NPK
0.0482	Lotus	ccamk	NPK
0.0431	Lotus	ccamk	NPK
0.0534	Lotus	ccamk	NPK
0.0481	Lotus	ccamk	NPK
0.0733	Lotus	ccamk	NPK
0.0712	Lotus	ccamk	NPK
0.0441	Lotus	ccamk	NPK
0.034	Lotus	ccamk	NPK
0.0443	Lotus	ccamk	NPK
0.0531	Lotus	ccamk	NPK
0.0579	Lotus	ccamk	NPK
0.0517	Lotus	ccamk	NPK
0.0399	Lotus	ccamk	NPK
0.049	Lotus	ccamk	NPK
0.0405	Lotus	ccamk	NPK
0.0098	Lotus	ccamk	NPK
0.0494	Lotus	ccamk	NPK
0.0607	Lotus	ccamk	NPK
0.0721	Lotus	ccamk	NPK
0.0631	Lotus	ccamk	NPK
0.0596	Lotus	ccamk	NPK
0.056	Lotus	ccamk	NPK
0.0406	Lotus	ccamk	NPK
0.0654	Lotus	ccamk	NPK
0.0558	Lotus	ccamk	NPK
0.0399	Lotus	ccamk	NPK
0.0447	Lotus	symrk	NPK
0.0253	Lotus	symrk	NPK
