	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot237	360	37	119	171	22	124	175	11	96	120	0	112	176	241	67	105	366	431	313	308	263	195	207	250	235	196	59	107	422	219	154	81	137	232	152	154	183	207	262	186	238	164	383	101
G7_LjRoot117	115	0	95	57	0	130	46	0	102	59	14	137	308	183	33	114	249	179	396	297	615	493	398	491	142	325	16	134	262	169	41	80	77	204	36	112	42	168	49	208	160	252	373	135
LjRoot10	255	0	227	139	0	280	106	0	246	328	26	200	195	245	40	121	224	534	248	449	63	144	44	218	76	123	0	112	145	113	107	106	57	142	79	198	73	183	134	285	119	213	582	93
LjRoot229	177	0	58	102	0	91	211	0	92	119	69	94	96	86	118	83	291	144	246	102	241	87	251	153	330	110	0	0	515	125	267	69	250	142	141	100	193	89	406	114	272	109	162	93
G5_LjRoot105	0	0	113	0	0	153	0	0	140	0	0	135	159	336	0	95	0	387	410	515	0	209	0	500	0	168	0	74	0	241	0	199	0	162	0	124	0	137	0	275	0	161	554	108
LjRoot11	188	21	254	122	63	265	54	0	217	92	36	161	117	138	24	48	79	128	142	237	116	141	58	162	136	125	55	33	146	84	141	90	53	103	78	118	73	157	81	151	158	176	374	88
G36_LjRoot142	280	18	200	112	0	206	82	0	152	113	0	165	0	116	0	106	123	207	84	175	75	115	116	156	72	147	0	61	122	125	82	68	84	115	41	148	82	178	69	193	95	188	243	137
G14_LjRoot22	455	0	111	89	0	113	167	0	153	176	0	103	0	29	32	53	28	47	24	36	80	76	93	95	120	119	16	72	121	64	164	67	138	166	438	323	96	112	422	287	116	209	61	219
LjRoot285	272	0	0	106	0	0	109	0	75	124	0	95	0	0	0	0	214	108	151	0	205	83	135	0	253	103	0	0	222	0	241	0	134	115	0	126	775	91	144	0	188	67	138	97
LjRoot240	166	0	74	76	14	165	52	0	157	87	0	76	59	37	0	0	126	70	64	65	108	79	139	101	96	65	0	0	232	81	85	47	69	113	72	93	104	105	100	112	121	116	91	95
LjRoot248	155	0	164	167	0	89	106	0	221	91	0	67	36	38	19	28	50	77	0	21	69	30	62	53	123	52	0	38	60	73	112	35	113	95	99	95	97	73	137	82	137	94	84	54
G35_LjRoot145	88	0	0	0	0	0	78	0	0	0	24	0	144	103	66	0	108	157	150	151	87	55	139	96	58	0	0	46	122	75	79	40	0	58	44	79	80	102	110	99	100	88	201	0
LjRoot89	60	5	66	30	0	93	25	0	65	26	0	63	67	120	13	41	75	157	111	260	9	16	9	19	9	16	0	0	76	108	49	37	81	84	52	127	28	76	52	56	51	81	280	74
LjRoot1	104	0	101	69	7	113	70	0	68	51	0	80	34	65	0	17	66	120	46	55	40	87	83	77	32	41	12	27	35	83	32	30	31	69	48	77	69	110	82	106	102	114	98	90
G30_LjRoot2	110	11	66	45	0	63	52	0	76	49	13	67	54	52	14	35	84	136	41	49	25	106	44	97	28	48	8	42	71	72	69	31	21	52	43	64	47	106	44	113	41	92	108	50
LjRoot277	45	0	103	23	0	176	27	0	120	30	0	109	7	26	0	61	0	91	18	43	33	96	0	93	15	83	0	41	26	127	34	60	44	178	31	187	33	119	29	120	32	139	69	64
LjRoot152	32	0	59	0	0	103	0	0	96	26	0	58	40	99	0	32	0	69	70	143	27	164	19	67	0	69	0	0	15	39	0	28	0	55	0	61	27	110	0	23	74	99	227	62
G33_LjRoot104	68	0	0	0	0	44	0	18	44	48	29	0	63	27	32	0	120	98	62	30	67	31	90	37	57	0	0	0	119	41	72	0	48	52	47	43	45	31	132	92	82	36	88	33
G27_LjRoot78	32	0	115	25	0	95	11	0	56	27	6	93	0	22	0	33	7	80	6	31	11	99	20	88	0	54	0	28	19	126	9	40	0	90	4	62	4	85	4	156	12	132	43	44
