ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
b23883e4d60250e99543615c3267d957,NPK,Rhizosphere,symrk,1.92903164058028,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Paraburkholderia_hospita,0.779410298702038
b23883e4d60250e99543615c3267d957,UF,Rhizosphere,nsp2,-1.11699866956209,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Paraburkholderia_hospita,0.779410298702038
b33bc8000edb21b27871517a66c1e854,PK,Rhizosphere,nsp2,0.96640660294869,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,uncultured_beta,0.804351115794185
b365ac66b31656c148bbacb301dc8a47,PK,Rhizosphere,symrk,1.54375135206935,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.999998967767617
b365ac66b31656c148bbacb301dc8a47,PK,Rhizosphere,nsp1,1.41263288389222,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.999998967767617
b365ac66b31656c148bbacb301dc8a47,PK,Rhizosphere,nsp2,1.27455409649823,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.999998967767617
b4076d13890c90d39fd996cae8fa875b,NPK,Rhizosphere,ccamk,1.31262817333334,FALSE,TRUE,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,uncultured_bacterium,0.835151725095506
b46e320af4d2da78ad95c8ef7f24a863,UF,Root,nsp2,-1.20527952376082,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unknown,0.98862614323202
b4bb1d35e62199a037fa95626f534898,NPK,Rhizosphere,nsp2,0.723830225947714,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,Unknown,0.999987244708432
b6c1822b4ebbec041f9855421f05a3cf,UF,Rhizosphere,symrk,0.70332263592335,FALSE,TRUE,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_Dehalococcoidia,0.826145363275482
