structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0,254	0,254	-127,057		1,000	58,590	C25H34O16	[M - H]-	C25H33O16-	GAQJLSKAASWGEF	InChI=1S/C25H34O16/c1-35-13-6-10(2-4-11(13)26)3-5-16(28)36-8-14-18(30)20(32)25(40-14)41-22-12(27)7-38-24(21(22)33)39-15-9-37-23(34)19(31)17(15)29/h2-6,12,14-15,17-27,29-34H,7-9H2,1H3	[5-({3,5-dihydroxy-2-[(4,5,6-trihydroxyoxan-3-yl)oxy]oxan-4-yl}oxy)-3,4-dihydroxyoxolan-2-yl]methyl 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate	COC1=C(C=CC(=C1)C=CC(=O)OCC2C(C(C(O2)OC3C(COC(C3O)OC4COC(C(C4O)O)O)O)O)O)O	-3,300	101158500;101342755;163010622;5289607;78383027	PUBCHEMANNOTATIONBIO;COCONUT:(CNP0285675);SUPERNATURAL:(SN0100589);PUBCHEM:(101158500 101342755 163010622 5289607 78383027)	19922946	589,176	399	6,657	694881437586196752	694877462492931010	3279	
1	4	0,108	0,108	-372,748		0,000	71,275	C31H53N7O10	[M - H]-	C31H52N7O10-	YQJYQGJCILCDGP	InChI=1S/C31H53N7O10/c1-16(2)12-20(34-26(42)22(15-40)36-28(44)24-9-6-10-37(24)29(45)19(32)14-39)25(41)35-21(13-17(3)4)30(46)38-11-7-8-23(38)27(43)33-18(5)31(47)48/h16-24,39-40H,6-15,32H2,1-5H3,(H,33,43)(H,34,42)(H,35,41)(H,36,44)(H,47,48)	H-Ser-Pro-Ser-Leu-Leu-Pro-Ala-OH	CC(C)CC(C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)O)NC(=O)C(CO)NC(=O)C2CCCN2C(=O)C(CO)N	-1,250	53302859	PUBCHEM:(53302859)	2	682,375	400	6,670	694881460327718713	694877466578183721	3402	
1	1	0,110	0,110	-283,540		1,000	33,463	C9H18N2O2S	[M - H]-	C9H17N2O2S-	JKNCSZDPWAVQAI	InChI=1S/C9H18N2O2S/c10-6-5-14-7(9(6)11)3-1-2-4-8(12)13/h6-7,9H,1-5,10-11H2,(H,12,13)	5-(3,4-diaminothiolan-2-yl)pentanoic acid	C1C(C(C(S1)CCCCC(=O)O)N)N	-2,700	51657137;22846689;7016095;7016096;7200451;7200452;7200453;7200454;97546303;10104842;25244670;1563330;1563331;2261771;2261772;68400209;11492242;98146280;3998578;2865118	COCONUT:(CNP0302527);METACYC:(CPD0-1057);SUPERNATURAL:(SN0167915);MESH:(1563330 1563331);PUBCHEM:(51657137 22846689 7016095 7016096 7200451 7200452 7200453 7200454 97546303 10104842 25244670 1563330 1563331 2261771 2261772 68400209 11492242 98146280 3998578 2865118);DSSTox:(DTXSID201240962 DTXSID30364425);PUBMED	137442101318	217,103	400	6,672	694881439452662131	694877373833721254	936	
1	1	0,217	0,770	-68,966		0,996	18,380	C8H15NO3	[M - H]-	C8H14NO3-	JDTWZSUNGHMMJM	InChI=1S/C8H15NO3/c1-4-5(2)7(8(11)12)9-6(3)10/h5,7H,4H2,1-3H3,(H,9,10)(H,11,12)	2-acetamido-3-methylpentanoic acid	CCC(C)C(C(=O)O)NC(=O)C	0,589	129635386;7036273;7036274;7036275;7036276;7036277;7036278;7036279;21140535;76501;306109;78440570;11789690;18603705;2802421	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0273094);NORMAN:(NS00015234 NS00081974);HMDB:(HMDB0061684);MiMeDB:(MMDBc0000678);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(306109);CHEBI:(21555 84056 167745 133735 151108);SUPERNATURAL:(SN0162755);PUBCHEM:(129635386 7036273 7036274 7036275 7036276 7036277 7036278 7036279 21140535 76501 306109 78440570 11789690 18603705 2802421);DSSTox:(DTXSID101314843 DTXSID20942377 DTXSID301031619 DTXSID40879252 DTXSID80879251);LOTUS:(Q27157432);PUBMED:(null)	138872619114	172,098	400	6,674	694881452207541718	694877357740174406	456	
1	1	0,053	0,053	-188,959		0,500	34,846	C13H20O6S	[M - H]-	C13H19O6S-	HDLDTPVDSSOWJP	InChI=1S/C13H20O6S/c1-16-8-9-18-11-10-17-7-6-12-2-4-13(5-3-12)19-20(14)15/h2-5H,6-11H2,1H3,(H,14,15)	[4-[2-[2-(2-Methoxyethoxy)ethoxy]ethyl]phenyl] sulfite	COCCOCCOCCC1=CC=C(C=C1)OS(=O)O	1,200	21612875;21612876	PUBCHEM:(21612875 21612876)	2	303,091	401	6,675	694881456204716246	694877402245940833	1788	
1	1	0,456	0,456	-494,155		0,977	119,274	C17H34N6O11	[M - H]-	C17H33N6O11-	YNOWTHWZRCGQTG	InChI=1S/C17H34N6O11/c1-17(2,3)33-16(27)20-12(14(25)26)7-5-9-19-15(18)21-13(24)8-4-6-11(34-23(30)31)10-32-22(28)29/h11-12,28-31H,4-10H2,1-3H3,(H,20,27)(H,25,26)(H3,18,19,21,24)	5-[[Amino-[5,6-bis[(dihydroxyamino)oxy]hexanoylamino]methylidene]amino]-2-[(2-methylpropan-2-yl)oxycarbonylamino]pentanoic acid	CC(C)(C)OC(=O)NC(CCCN=C(N)NC(=O)CCCC(CON(O)O)ON(O)O)C(=O)O	-2,900	89081420	PUBCHEM:(89081420)	2	497,223	401	6,681	694881467118297969	694877455345836100	3102	
1	2	0,029	0,029	-241,943		0,000	126,015	C11H21NO4	[M - H]-	C11H20NO4-	QDLPAHLHHBCWOW	InChI=1S/C11H21NO4/c1-2-4-13-6-8-15-10-11-16-9-7-14-5-3-12/h1H,3-12H2	Propargyl-PEG4-amine	C#CCOCCOCCOCCOCCN	-1,200	86580391	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(86580391)	67108866	230,140	401	6,684	694881453943986053	694877380225841351	1094	
1	1	-Infinity	-Infinity	-163,741		0,975	11,405	C8H16N3O3	[M - H]-	C8H15N3O3-	IZMBTIWDQNQFRU	InChI=1S/C8H16N3O3/c1-5(9-7(3)12)11(14)6(2)10-8(4)13/h5-6H,1-4H3,(H,9,12)(H,10,13)	[[Bis[1-(acetylamino)ethyl]amino]oxy]radical	CC(NC(=O)C)N(C(C)NC(=O)C)[O]	-0,500	101565613	PUBCHEM:(101565613)	2	201,113	401	6,687	694881451112828263	694877368666337901	771	
1	2	0,129	0,142	-77,351		0,000	78,247	C9H14O4	[M - H]-	C9H13O4-	SDAXMMUAZRUWNL	InChI=1S/C9H14O4/c10-7(11)6-9(8(12)13)4-2-1-3-5-9/h1-6H2,(H,10,11)(H,12,13)	1-(carboxymethyl)cyclohexane-1-carboxylic acid	C1CCC(CC1)(CC(=O)O)C(=O)O	1,200	6946931;260003	COCONUT:(CNP0083688);NORMAN:(NS00000612 NS00103950);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(143735);SUPERNATURAL:(SN0342175);PUBCHEM:(6946931 260003);DSSTox:(DTXSID50218158);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137543024738	185,082	401	6,691	694881449397357465	694877361913507456	570	
1	1	0,019	0,019	-253,807		1,000	123,252	C12H26N6O4	[M - H]-	C12H25N6O4-	HCAHBFITVQUQNT	InChI=1S/C12H26N6O4/c13-10(6-5-8-17-12(14)15)11(19)16-7-3-1-2-4-9-22-18(20)21/h10H,1-9,13H2,(H,16,19)(H4,14,15,17)	6-[[2-Amino-5-(diaminomethylideneamino)pentanoyl]amino]hexyl nitrate	C(CCCO[N+](=O)[O-])CCNC(=O)C(CCCN=C(N)N)N	-0,500	44176482	PUBCHEM:(44176482)	2	317,196	402	6,693	694881457211349676	694877410512914998	1982	
1	4	0,047	0,047	-460,389		0,007	52,025	C20H34N4O7S	[M - H]-	C20H33N4O7S-	POHZAMMIKLXFHR	InChI=1S/C20H34N4O7S/c1-13(2)10-17(19(27)22-15(12-25)11-14-4-7-21-18(14)26)23-20(28)31-16-5-8-24(9-6-16)32(3,29)30/h12-17H,4-11H2,1-3H3,(H,21,26)(H,22,27)(H,23,28)	(1-methylsulfonylpiperidin-4-yl) N-[(2S)-4-methyl-1-oxo-1-[[(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl]amino]pentan-2-yl]carbamate	CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)OC2CCN(CC2)S(=O)(=O)C	0,200	145964710	CHEBI:(149929);PUBCHEM:(145964710);PUBMED	98	473,206	402	6,704	694881472113714908	694877451726151223	2997	
1	3	0,053	0,053	-221,741		0,012	43,669	C14H10N4O2	[M - H]-	C14H9N4O2-	MTPSKWYBRGLEBS	InChI=1S/C14H10N4O2/c19-13-7-5-11(15-17-13)9-1-2-10(4-3-9)12-6-8-14(20)18-16-12/h1-8H,(H,17,19)(H,18,20)	1,4-Bis(3-oxo-2,3-dihydropyridazine-6-yl)benzene	C1=CC(=CC=C1C2=NNC(=O)C=C2)C3=NNC(=O)C=C3	0,600	147120	MESH:(147120);PUBCHEM:(147120);DSSTox:(DTXSID50148082);PUBMED	137438953542	265,073	402	6,705	694881466233299687	694877388601867894	1385	
