formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C8H8OS2	[M - H]-	C8H7OS2-		0,993	26,874	26,874	0,000	6	0,351	-7,736	9,219	-2,735		182,994	111	1,843	694879678494788266	694877361187892759	549	
1	CH4N3O5S	[M - H]-	CH3N3O5S-		0,998	9,898	9,898	0,000	3	0,309	-7,421	8,115	10,949		168,982	111	1,843	694879673943968067	694877356079229797	411	
1	CH5Cl2NO4P	[M - H]-	CH4Cl2NO4P-		0,985	8,189	6,567	1,622	2	0,392	3,754	9,031	7,858		194,928	111	1,844	694879681959283545	694877365600301232	682	
1	C25H35N5O9P2	[M - H]-	C25H34N5O9P2-		0,987	49,727	49,727	0,000	40	0,726	-1,941	3,550	0,238		610,184	111	1,844	694879763941158981	694877463528924248	3309	
1	C6H4O4	[M - H]-	C6H3O4-		0,967	6,574	5,005	1,570	1	0,025	2,813	2,813	1,927		139,004	111	1,844	694879674392758678	694877346700764853	171	
1	C5H8O4	[M - H]-	C5H7O4-		0,328	6,844	4,500	2,344	0	0,000			5,859		131,036	111	1,845	694879671821649542	694877344863659486	128	
1	C4H4O4	[M - H]-	C4H3O4-		0,992	6,532	4,500	2,032	0	0,000			5,633		115,004	111	1,849	694879672945723365	694877339599807536	42	
1	C2H4Cl2	[M - H]-	C2H3Cl2-		0,985	0,041	-0,792	0,833	0	0,000	-4,342	4,342	-2,672		96,961	111	1,852	694879671616128586	694877335422280562	4	
1	C4H2N4OS	[M - H]-	C4HN4OS-		0,146	0,391	0,391	0,000	0	0,000			-3,891		152,987	111	1,853	694879656856372073	694877351377414358	280	
1	C5H8O5	[M - H]-	C5H7O5-		0,500	18,159	18,159	0,000	1	0,324	-7,794	7,794	2,606		147,030	111	1,857	694879656105591537	694877349246707681	231	
1	C5H10O4	[M - H]-	C5H9O4-		0,902	5,994	4,500	1,494	0	0,000			-0,469		133,051	112	1,860	694879696190558078	694877345371170325	139	
1	C5H9NO3	[M - H]-	C5H8NO3-		1,000	30,238	30,238	0,000	4	0,261	2,360	2,360	1,333		130,051	112	1,863	694879690444360971	694877344125461922	116	
1	C8H10O3	[M - H]-	C8H9O3-		0,980	4,500	4,500	0,000	0	0,000			-1,880		153,055	112	1,872	694879693283905178	694877351499049189	283	
1	C4H6O5	[M - H]-	C4H5O5-		0,991	7,678	4,500	3,178	0	0,000			3,031		133,015	112	1,872	694879686996642802	694877345283089931	137	
