formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C20H26N6O6	[M - H]-	C20H25N6O6-		63,047	60,018	3,028	49	0,858	0,893	5,478	3,704		445,186	804	13,401	650282311917473654	650277984330440851	1858	
1	C17H26O4	[M - H]-	C17H25O4-		54,215	48,898	5,317	17	0,838	-3,119	3,146	-0,815		293,176	804	13,401	650282318011801285	650277926688117202	1109	
1	C7H8N3O	[M - H]-	C7H7N3O-		32,276	30,741	1,535	11	0,117	-6,448	15,277	9,141		149,061	804	13,406	650282319215567872	650277881486098511	203	
1	C11H15N3O3	[M - H]-	C11H14N3O3-		72,648	69,672	2,976	19	0,245	2,736	5,603	4,795		236,105	805	13,409	650282326513658098	650277904902900451	756	
1	C12H20N3O	[M - H]-	C12H19N3O-		90,444	85,790	4,654	24	0,454	1,323	6,626	4,489		221,154	805	13,409	650282323489564313	650277900675041530	657	
1	C16H28N2O8	[M - H]-	C16H27N2O8-		38,895	36,456	2,438	27	0,766	-0,927	4,324	4,310		375,179	805	13,410	650282334231178217	650277972934516137	1713	
1	C9H16N3O2	[M - H]-	C9H15N3O2-		50,017	50,017	0,000	17	0,279	-0,590	8,614	5,148		197,118	805	13,413	650282325003708442	650277894077400484	482	
1	C17H23ClN3O3	[M - H]-	C17H22ClN3O3-		97,721	88,712	9,009	35	0,661	-2,391	4,530	-2,553		351,135	805	13,416	650282328174602814	650277965988748155	1602	
1	C14H22N3O3	[M - H]-	C14H21N3O3-		123,529	121,493	2,036	33	0,526	1,680	5,079	4,024		279,160	807	13,454	650282323657336518	650277919687823398	1025	
1	C14H26O4	[M - H]-	C14H25O4-		111,762	107,445	4,316	23	0,464	-1,813	7,880	-0,486		257,176	808	13,475	650282327851641312	650277911487958435	898	
