feature	LjRoot221	LjRoot149	LjRoot223	G37_LjNodule209	G21_LjRoot111	LjRoot228	G3_LjRoot129	LjRoot196	G32_LjRoot291	LjRoot259	G11_LjRoot25	G8_LjRoot126	LjRoot17	G2_LjRoot102	G16_LjRoot125	LjRoot82	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot122	LjRoot243	G12_LjRoot70	G29_LjRoot226	G22_LjRoot238	LjRoot237	G7_LjRoot117	LjRoot10	LjRoot229	G5_LjRoot105	LjRoot11	G36_LjRoot142	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	G35_LjRoot145	LjRoot89	LjRoot1	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot295	LjRoot296	LjRoot257	G9_LjRoot131	G24_LjRoot12	LjRoot244	G15_LjRoot29	LjRoot230	LjRoot258	LjRoot220	G34_LjRoot233	LjRoot261	G31_LjRoot101	LjRoot28	LjRoot288	LjRoot231
Lj_ccamk_LjSC_3_endo	-2.26655154086375	-2.66938391725086	-9.10493843387021	-10.9879327391444	-4.71453060110008	-9.41688244018495	-3.73732145171978	-4.79913000434613	-4.28475947145502	-4.9726053205653	-5.34117278036029	-6.29949310182124	-5.02456501740619	-4.56348325134079	-4.58836290812931	-5.14214951296728	-5.59538333580708	-4.61308533754054	-6.16982796461424	-8.84859868061043	-7.74608376998449	-5.7012162478192	-7.77767689467981	-9.41688244018495	-6.59069925688426	-7.39222038595068	-8.35203129583499	-7.10493843387021	-6.11667454192118	-7.37601015876942	-7.27862535410872	-7.33626397997667	-7.25619959104749	-7.34412609774964	-7.8998240039656	-8.05247101397608	-7.6749505931254	-8.76251262511041	-9.55604518785658	-8.91731143069444	-11.0524710139761	-8.11835894963253	-8.88254601253376	-10.215969746259	-9.10493843387021	-9.6310072455378	-9.81543181667523	-9.46750851325492	-13.2680406583372	-12.9679947228216	-8.95293534042516	-13.0524710139761	-10.2748634353125	-10.0269359218689	-10.4335611813316	-9.710078816529	-8.5022739314156	-10.1874005940622	-14.9938406232262	-14.5669459303673	-13.6990456451557	-11.2543200349559	-11.6899009345914	-11.5378978411463	-13.4088781225051	-12.8598259360337	-11.6899009345914	-16.8748853184301	-13.9214380664922
Lj_ccamk_LjSC_4_endo	-2.87935897091007	-1.98322415840352	-10.458428903708	-10.9879327391444	-4.65893609942339	-11.5225592411277	-3.68306911879528	-5.59720710967168	-5.05421289768269	-6.46629102148099	-6.34717980959332	-5.98481137882741	-5.71520431907013	-5.00042357786202	-3.83924558301351	-5.44186282118293	-5.65556137264273	-3.43968443718244	-6.13650080882066	-7.47023820599765	-6.61130345295782	-5.85657738928172	-7.23044680067594	-11.981990859765	-6.88395877680451	-7.51846648649385	-10.0512535222021	-7.88923371884518	-6.54944895937678	-8.01620657510295	-9.08717309645709	-6.99614892276169	-8.78231851492867	-7.69197201283242	-7.35263423968542	-8.02779454937816	-8.03947635442579	-7.30251076025959	-8.83224374026035	-9.58967343698627	-11.3970283590439	-8.74358612043996	-9.98199085976503	-11.215969746259	-8.75317216926915	-9.18757499341493	-10.458428903708	-10.624438855147	-11.8120658583227	-9.85270784282007	-10.0277945493782	-13.3970283590439	-12.0751002641565	-11.3970283590439	-10.7340633463214	-11.289922817709	-7.48214497268183	-11.458428903708	-14.9938406232262	-14.5669459303673	-13.6990456451557	-11.2543200349559	-12.1746359377074	-14.10751431173	-11.5225592411277	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_nsp1_LjSC_1_endo	-2.76126767990924	-2.92672649354411	-2.47467473352286	-10.9879327391444	-4.4436149852911	-7.39995375649496	-5.46902414931882	-3.46902414931882	-4.04784751294257	-5.0616974917036	-3.84727945294127	-6.85061516550453	-6.41567810878798	-5.93732679869786	-5.98932143633612	-5.63971838300591	-6.00558982548087	-5.60775864160836	-6.20291690943541	-11.839967921305	-7.51380283353118	-6.99965280047301	-8.70826224209319	-7.58313485463954	-8.06944976742778	-7.33871612697309	-7.78787941015656	-8.24795066304991	-10.3728419108777	-7.15264370295418	-8.21318524488923	-8.33497372528728	-8.83996792130502	-7.88851177326305	-6.66298816232875	-9.95015083905544	-8.01454142632539	-8.76251262511041	-9.06944976742778	-9.69861207205947	-9.60550266766799	-8.24795066304991	-9.17254326039189	-9.81890630577719	-9.48448726670663	-12.757505761113	-10.605502667668	-11.2835745727806	-10.8830366431969	-11.1725432603919	-9.86134157209758	-12.4679991439181	-10.2550054205839	-12.1200758404978	-9.99669342499247	-11.289922817709	-9.97323445216848	-13.3424682618342	-14.9938406232262	-13.3424682618342	-10.8830366431969	-11.2543200349559	-10.7179773969264	-14.10751431173	-11.2269910444143	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_nsp1_LjSC_2_endo	-2.40452776533857	-3.13780360035572	-4.35978663036113	-9.63519488022682	-3.95842406797936	-10.4287440027594	-4.7705325200076	-3.80084538688765	-4.14149335950478	-4.5444717098129	-4.28782904436033	-5.92836683412318	-5.78681268990916	-5.09603606911879	-5.36265481230163	-5.39312009302868	-5.31604387001004	-5.50432735456587	-5.36696780517271	-10.381438287981	-6.92200666934374	-6.30221159683047	-7.34694991159575	-7.18081648931581	-7.27493866668036	-7.12618123273897	-7.23234678995589	-7.85990116740152	-8.85990116740152	-6.83578871128471	-6.85990116740152	-7.33001004917404	-7.90936984366582	-7.64214764086859	-6.69900997782427	-9.87620297973062	-7.36409104441714	-8.76251262511041	-9.47765360324034	-8.47765360324034	-8.79647578725988	-8.25881900131708	-8.21669352564441	-9.38143828798104	-8.21669352564441	-12.1657095969256	-8.96059516702099	-9.87620297973062	-13.2680406583372	-11.0877070849243	-8.84378150203824	-11.0137065034806	-10.2912404790095	-11.5282796763103	-10.381438287981	-11.289922817709	-11.2310291286554	-11.8762029797306	-14.9938406232262	-10.6917784085932	-11.8762029797306	-11.2543200349559	-10.2063515814229	-11.4287440027594	-10.5807470962044	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_nsp1_LjSC_3_endo	-2.63126320323951	-2.48501825386183	-4.96834049270714	-9.15562911308768	-4.24320033393773	-12.5225592411277	-4.78639530342196	-5.64336980609616	-3.36321421105402	-4.58305033682235	-3.50402540543334	-5.77569541476475	-6.49266410036525	-5.48683502156305	-5.66954186244933	-5.18482264342254	-5.60498097689186	-5.18954892132971	-5.32859182516837	-9.46375140845001	-7.36421573489909	-6.87878890772885	-7.91746937589291	-7.53414073634141	-7.59554128100555	-7.17893648657975	-6.77925323417794	-7.09673542403411	-9.7971751421752	-6.69956434554878	-10.0871730964571	-7.63367640989232	-8.24135898711356	-7.56451438538493	-8.29128421244524	-9.19310381850634	-7.07470911770411	-8.76251262511041	-8.35356849069959	-9.27110633050761	-8.53414073634141	-7.45803775725562	-8.85606883122877	-8.49851682661069	-9.58305033682235	-12.2711063305076	-10.4410313319499	-10.6336764098923	-11.5341407363414	-12.9679947228216	-9.60814131778518	-15.2766878479843	-10.311748315005	-11.9815997133126	-9.29128421244524	-11.289922817709	-9.1011813290653	-12.2711063305076	-14.9938406232262	-14.5669459303673	-13.6990456451557	-11.2543200349559	-13.8503089457501	-14.10751431173	-10.7405916138088	-13.8598259360337	-13.0433839743103	-15.4410313319499	-12.6336764098923
Lj_nsp1_LjSC_4_endo	-2.72548993392297	-2.73900022032921	-6.21206984097947	-7.57771931329615	-3.57771931329615	-12.5225592411277	-4.77036439123854	-4.71591660721617	-3.78230400455007	-4.61994754868544	-5.12841191193256	-5.61994754868544	-5.27815903143724	-4.82694791960491	-4.88584160865848	-5.3955159820754	-5.24473602989979	-4.92943087720616	-5.25579121840878	-7.10823402999493	-5.88584160865848	-6.27815903143724	-6.88584160865848	-7.03023151799365	-6.60573368946574	-10.7332865432012	-6.69319653071608	-7.06870566580829	-7.32396272105036	-5.81872741279994	-10.0871730964571	-7.88584160865848	-7.57771931329615	-6.3955159820754	-8.27815903143724	-10.9501508390554	-10.2270959274827	-8.76251262511041	-6.49679931791258	-11.7685272832221	-8.27815903143724	-10.4584214735891	-11.0591512901686	-11.215969746259	-11.6666476692029	-13.757505761113	-8.69319653071608	-9.27815903143724	-13.2680406583372	-12.9679947228216	-11.5714904361625	-15.2766878479843	-13.0751002641565	-13.508413796056	-6.92060702681915	-11.289922817709	-11.2310291286554	-14.3424682618342	-14.9938406232262	-14.5669459303673	-13.6990456451557	-11.2543200349559	-13.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_nsp2_LjSC_1_endo	-2.08943285027159	-2.99530206881735	-5.70872223578402	-10.9879327391444	-3.72450334961228	-9.3357265073221	-3.87031370326247	-4.93237081309089	-4.03292791933058	-4.80745095767361	-5.02548021748237	-6.10174611171044	-5.6257718657164	-5.34740831236973	-5.55634250872741	-5.88194698226432	-5.19189073474845	-4.55860378668391	-6.30123813093681	-9.57110457025303	-6.43401615081926	-6.88336347235443	-7.24189012128717	-7.88620063165796	-6.95007281482435	-7.5350353155455	-7.07398541850983	-7.19540521892468	-7.78742247717979	-6.9411946634779	-8.24552869835052	-7.88620063165796	-8.24552869835052	-7.15378612972295	-7.84146231689268	-8.69497622841519	-6.86645669635955	-8.76251262511041	-8.68506075955011	-8.94414798086724	-8.95602208115554	-8.08046945208002	-8.01690432330256	-9.96799472282161	-8.94414798086724	-9.62695780498654	-10.7456023014852	-9.72513819892545	-11.174445600289	-11.9679947228216	-8.98006755512219	-11.6269578049865	-9.96799472282161	-10.517333313812	-10.9206890080433	-10.289922817709	-10.2310291286554	-11.5529572235428	-14.9938406232262	-14.5669459303673	-13.6990456451557	-11.2543200349559	-10.7049603169878	-11.3513233623731	-10.6269578049865	-13.8598259360337	-13.0433839743103	-15.8748853184301	-13.9214380664922
Lj_nsp2_LjSC_2_endo	-2.0599757212822	-3.61473291216474	-3.5930434646757	-9.30803149138595	-4.47309073765644	-12.5225592411277	-3.87723992079255	-5.56038281545261	-4.39724697967294	-4.5582073512944	-4.35132177436878	-6.0580532383776	-6.43002201576456	-4.25950779845092	-5.16103288679314	-6.34755985557259	-5.87362866724017	-4.24368925780063	-6.1187411650767	-10.9939229009579	-7.91015454326529	-7.49511704398644	-7.56328854662802	-6.22056865013561	-7.36266674796279	-7.5174848570149	-6.42737243735061	-8.29831633655274	-9.17763485413027	-6.57204102063699	-10.0871730964571	-8.13378056454085	-7.80323933934878	-8.25069831632	-10.1599328523968	-8.77601787061375	-7.45678892532734	-8.76251262511041	-8.3779335046161	-9.15993285239681	-8.15993285239681	-7.60459552078494	-9.1080939208772	-8.71012993495729	-9.2137041088378	-9.90277501289969	-10.5174848570149	-9.40896040023673	-10.4300220157646	-12.9679947228216	-9.34755985557259	-12.3475598555726	-10.6595038618873	-9.30803149138595	-10.6595038618873	-11.289922817709	-11.2310291286554	-14.3424682618342	-14.9938406232262	-11.2695573435713	-11.0580532383776	-9.45139566655713	-13.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_nsp2_LjSC_3_endo	-1.95687178500339	-3.70937733006818	-4.50528036380095	-10.9879327391444	-4.14003907586827	-8.96361861744397	-3.43901160879444	-6.59904618514812	-3.91123170733199	-4.51736238755441	-5.54858111816513	-5.80442002259472	-5.97569144974455	-5.62021079514616	-5.39477578208609	-6.60372267235759	-5.32361475316485	-4.25856227123251	-5.9516459757779	-10.0125282179249	-7.07609334670239	-7.06315429099489	-6.98786616369065	-5.94569670944671	-6.98176596415423	-7.45265669816659	-5.86208059098191	-7.37865611672282	-8.3627145728538	-6.19455218011074	-10.0871730964571	-8.03761919888775	-8.24115259297288	-7.77247713009196	-8.60372267235759	-9.03761919888775	-6.9047249283904	-8.76251262511041	-9.14258875848929	-8.47819179027373	-7.76198475627432	-7.80442002259472	-8.76198475627432	-8.0503302506373	-11.6666476692029	-8.53065921016787	-9.91631290266562	-10.4781917902737	-9.41107759441519	-12.9679947228216	-9.28554671233134	-15.2766878479843	-10.4110775944152	-10.0125282179249	-12.5182888755379	-11.289922817709	-11.2310291286554	-14.3424682618342	-14.9938406232262	-14.5669459303673	-10.4110775944152	-11.2543200349559	-13.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_nsp2_LjSC_4_endo	-3.57197013526618	-4.79404273947853	-0.949867172776613	-10.9879327391444	-3.91693057748444	-10.0816851684817	-5.03861644658985	-8.070796852339	-4.8805265815845	-5.92640694300382	-4.90207761364208	-6.97126117878808	-7.00454577050015	-5.51044965087209	-6.19978329305907	-7.65034585687379	-5.46965442456241	-5.68417258329795	-7.19830132575784	-11.1260792878402	-9.58692047673215	-9.08168516848173	-7.40156543472024	-7.34800215830483	-8.17188297745331	-6.9611723611645	-7.00454577050015	-8.305900325425	-7.91662592221124	-8.21918869223167	-10.0871730964571	-9.00713821511668	-8.58692047673215	-8.8781517743966	-10.9561542863979	-9.82229853966308	-8.98652793544139	-8.76251262511041	-9.84067706897794	-10.7685272832221	-7.35129222823901	-10.4584214735891	-9.95615428639787	-9.49672266776058	-10.6666476692029	-10.4256395696991	-10.541116787119	-10.6998145331381	-11.1718829774533	-12.9679947228216	-10.5714904361625	-14.1260792878402	-11.2680982927126	-11.2680982927126	-11.3187243657826	-11.289922817709	-11.2310291286554	-14.3424682618342	-13.3187243657826	-11.6025173317832	-11.1260792878402	-11.2543200349559	-13.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-12.8041511929528
