Genotype,SampleID,PCo1,PCo2,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
nsp1,Hv_nsp1_HvSC_only_rhizo_1,-0.266612421481817,0.00655150713426203,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_1,1,-0.114169730927567,0.02567599745386,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_2,-0.239479623636441,-0.0600516210953324,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_2,2,-0.114169730927567,0.02567599745386,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_3,-0.0900543017549684,0.0924680925363879,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_3,3,-0.114169730927567,0.02567599745386,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_4,0.0364798844999774,-0.0171395137198504,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_4,4,-0.114169730927567,0.02567599745386,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_5,-0.0452175667137317,0.123036699805038,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_5,5,-0.114169730927567,0.02567599745386,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_6,-0.0801343564784223,0.00919082006265469,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_6,6,-0.114169730927567,0.02567599745386,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_1,-0.188466038650885,0.138219294651666,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_1,1,-0.0102459502347878,0.051797535411868,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_2,-0.0539504430917632,-0.00588544940540826,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_2,2,-0.0102459502347878,0.051797535411868,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_3,-0.0560320587146142,0.0473337617101673,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_3,3,-0.0102459502347878,0.051797535411868,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_4,0.105387638282575,0.10630834506943,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_4,4,-0.0102459502347878,0.051797535411868,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_5,0.127760339492318,0.0255461749277073,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_5,5,-0.0102459502347878,0.051797535411868,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_6,0.00382486127364325,-0.000736914482353988,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_6,6,-0.0102459502347878,0.051797535411868,Hordeum
