Fresh_weight	Plant_species	Genotype	Soil_type	Experiment
0.0396	Lotus	nsp1	NPK	Lotus_CSSP
0.0363	Lotus	nsp1	NPK	Lotus_CSSP
0.0561	Lotus	nsp1	NPK	Lotus_CSSP
0.0337	Lotus	nsp1	NPK	Lotus_CSSP
0.0355	Lotus	nsp1	NPK	Lotus_CSSP
0.0619	Lotus	nsp1	NPK	Lotus_CSSP
0.0643	Lotus	nsp1	NPK	Lotus_CSSP
0.0512	Lotus	nsp1	NPK	Lotus_CSSP
0.0363	Lotus	nsp1	NPK	Lotus_CSSP
0.0512	Lotus	nsp1	NPK	Lotus_CSSP
0.0665	Lotus	nsp2	NPK	Lotus_CSSP
0.0373	Lotus	nsp2	NPK	Lotus_CSSP
0.0823	Lotus	nsp2	NPK	Lotus_CSSP
0.0363	Lotus	nsp2	NPK	Lotus_CSSP
0.0306	Lotus	nsp2	NPK	Lotus_CSSP
0.0598	Lotus	nsp2	NPK	Lotus_CSSP
0.0359	Lotus	nsp2	NPK	Lotus_CSSP
0.0789	Lotus	nsp2	NPK	Lotus_CSSP
0.0622	Lotus	nsp2	NPK	Lotus_CSSP
0.0563	Lotus	nsp2	NPK	Lotus_CSSP
0.0821	Lotus	nsp2	NPK	Lotus_CSSP
0.085	Lotus	nsp2	NPK	Lotus_CSSP
0.0928	Lotus	nsp2	NPK	Lotus_CSSP
0.085	Lotus	nsp2	NPK	Lotus_CSSP
0.0907	Lotus	nsp2	NPK	Lotus_CSSP
0.0633	Lotus	nsp2	NPK	Lotus_CSSP
0.0811	Lotus	nsp2	NPK	Lotus_CSSP
0.0929	Lotus	nsp2	NPK	Lotus_CSSP
0.0651	Lotus	nsp2	NPK	Lotus_CSSP
0.0779	Lotus	nsp2	NPK	Lotus_CSSP
0.0592	Lotus	nsp2	NPK	Lotus_CSSP
0.0444	Lotus	nsp2	NPK	Lotus_CSSP
0.0601	Lotus	nsp2	NPK	Lotus_CSSP
0.08	Lotus	nsp2	NPK	Lotus_CSSP
0.069	Lotus	nsp2	NPK	Lotus_CSSP
0.0557	Lotus	nsp2	NPK	Lotus_CSSP
0.0435	Lotus	nsp2	NPK	Lotus_CSSP
0.0279	Lotus	nsp2	NPK	Lotus_CSSP
0.0656	Lotus	nsp2	NPK	Lotus_CSSP
0.0476	Lotus	nsp2	NPK	Lotus_CSSP
0.1123	Lotus	nsp2	NPK	Lotus_CSSP
0.0683	Lotus	nsp2	NPK	Lotus_CSSP
0.065	Lotus	nsp2	NPK	Lotus_CSSP
0.0634	Lotus	nsp2	NPK	Lotus_CSSP
0.0663	Lotus	nsp2	NPK	Lotus_CSSP
0.0533	Lotus	nsp2	NPK	Lotus_CSSP
0.0794	Lotus	nsp2	NPK	Lotus_CSSP
0.0881	Lotus	nsp2	NPK	Lotus_CSSP
0.0493	Lotus	nsp2	NPK	Lotus_CSSP
0.0639	Lotus	nsp2	NPK	Lotus_CSSP
0.0338	Lotus	nsp2	NPK	Lotus_CSSP
0.0611	Lotus	nsp2	NPK	Lotus_CSSP
0.0462	Lotus	nsp2	NPK	Lotus_CSSP
0.0761	Lotus	nsp2	NPK	Lotus_CSSP
0.0908	Lotus	nsp2	NPK	Lotus_CSSP
0.0519	Lotus	nsp2	NPK	Lotus_CSSP
0.0807	Lotus	nsp2	NPK	Lotus_CSSP
0.0547	Lotus	nsp2	NPK	Lotus_CSSP
0.0421	Lotus	nsp2	NPK	Lotus_CSSP
0.0577	Lotus	nsp2	NPK	Lotus_CSSP
0.01116	Lotus	nsp2	NPK	Lotus_CSSP
0.0744	Lotus	nsp2	NPK	Lotus_CSSP
0.082	Lotus	nsp2	NPK	Lotus_CSSP
0.072	Lotus	nsp2	NPK	Lotus_CSSP
0.1141	Lotus	nsp2	NPK	Lotus_CSSP
0.1046	Lotus	nsp2	NPK	Lotus_CSSP
0.0953	Lotus	nsp2	NPK	Lotus_CSSP
0.1002	Lotus	nsp2	NPK	Lotus_CSSP
0.0731	Lotus	nsp2	NPK	Lotus_CSSP
0.0632	Lotus	ccamk	NPK	Lotus_CSSP
0.0559	Lotus	ccamk	NPK	Lotus_CSSP
0.0589	Lotus	ccamk	NPK	Lotus_CSSP
0.0494	Lotus	ccamk	NPK	Lotus_CSSP
0.0381	Lotus	ccamk	NPK	Lotus_CSSP
0.0705	Lotus	ccamk	NPK	Lotus_CSSP
0.0625	Lotus	ccamk	NPK	Lotus_CSSP
0.0513	Lotus	ccamk	NPK	Lotus_CSSP
0.0694	Lotus	ccamk	NPK	Lotus_CSSP
0.0628	Lotus	ccamk	NPK	Lotus_CSSP
0.0443	Lotus	ccamk	NPK	Lotus_CSSP
0.0553	Lotus	ccamk	NPK	Lotus_CSSP
0.0507	Lotus	ccamk	NPK	Lotus_CSSP
0.064	Lotus	ccamk	NPK	Lotus_CSSP
0.0414	Lotus	ccamk	NPK	Lotus_CSSP
0.0467	Lotus	ccamk	NPK	Lotus_CSSP
0.0613	Lotus	ccamk	NPK	Lotus_CSSP
0.0457	Lotus	ccamk	NPK	Lotus_CSSP
0.0357	Lotus	ccamk	NPK	Lotus_CSSP
0.0608	Lotus	ccamk	NPK	Lotus_CSSP
0.0401	Lotus	ccamk	NPK	Lotus_CSSP
0.065	Lotus	ccamk	NPK	Lotus_CSSP
0.0726	Lotus	ccamk	NPK	Lotus_CSSP
0.0361	Lotus	ccamk	NPK	Lotus_CSSP
0.0342	Lotus	ccamk	NPK	Lotus_CSSP
0.0501	Lotus	ccamk	NPK	Lotus_CSSP
0.0522	Lotus	ccamk	NPK	Lotus_CSSP
0.0333	Lotus	ccamk	NPK	Lotus_CSSP
0.0509	Lotus	ccamk	NPK	Lotus_CSSP
