ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
040ff21da1bf1fd921542a7d3afb3e4f,UF,Rhizosphere,symrk,-0.858957436203227,FALSE,TRUE,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_delta,0.901122133635177
047bd36160169775c9be7a535d46748a,NPK,Rhizosphere,nsp2,0.963644715056236,FALSE,TRUE,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Unknown,0.999926820266318
0497690e09d8c3295a1aa41c07a125b8,NPK,Rhizosphere,nsp1,-1.04426549455054,FALSE,TRUE,Bacteria,Chloroflexi,Unknown,Unknown,Unknown,Unknown,Unknown,0.974325915636265
0497690e09d8c3295a1aa41c07a125b8,PK,Rhizosphere,symrk,1.13122851617466,FALSE,TRUE,Bacteria,Chloroflexi,Unknown,Unknown,Unknown,Unknown,Unknown,0.974325915636265
0497690e09d8c3295a1aa41c07a125b8,PK,Rhizosphere,ccamk,0.998483666220954,FALSE,TRUE,Bacteria,Chloroflexi,Unknown,Unknown,Unknown,Unknown,Unknown,0.974325915636265
04ae4aa178194b8eb411e20d8adb3d0b,PK,Rhizosphere,nsp2,1.37777001944793,FALSE,TRUE,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,uncultured_Chloroflexi,0.994188783002459
04c7bf29da2b7b32b51b7c7947352a08,UF,Rhizosphere,nsp1,-0.8045825263158,FALSE,TRUE,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,metagenome,0.994946944352427
04c7bf29da2b7b32b51b7c7947352a08,UF,Rhizosphere,nsp2,-0.804582526315799,FALSE,TRUE,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,metagenome,0.994946944352427
0502f6e4952702c70dc6cf80c72a3ae5,NPK,Rhizosphere,ccamk,-1.44667628126237,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Antarctic_bacterium,0.934023651045958
0502f6e4952702c70dc6cf80c72a3ae5,NPK,Rhizosphere,nsp2,-1.44667628126237,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Antarctic_bacterium,0.934023651045958
050d595ef0a3d9908d38d49b7aae7019,PK,Root,ccamk,-0.644931985875557,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Antarctic_bacterium,0.956911962042124
055503b1823b15b59e45f6d3257e3bc4,NPK,Rhizosphere,symrk,-1.42597644834218,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unknown,0.999998356791417
055503b1823b15b59e45f6d3257e3bc4,NPK,Rhizosphere,nsp2,-1.42597644834218,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unknown,0.999998356791417
