"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"ccamk-symrk",0.00304776281045641,-0.0493121221211732,0.055407647742086,0.999737053259583,"Caulobacterales","Root"
"nsp1-symrk",0.0454269371970143,-0.00693294773461532,0.0977868221286439,0.104939673693235,"Caulobacterales","Root"
"nsp2-symrk",0.018676272688337,-0.0336836122432926,0.0710361576199666,0.803206487121971,"Caulobacterales","Root"
"nsp1-ccamk",0.0423791743865579,-0.00998071054507173,0.0947390593181874,0.142998351233204,"Caulobacterales","Root"
"nsp2-ccamk",0.0156285098778806,-0.036731375053749,0.0679883948095102,0.884127594563556,"Caulobacterales","Root"
"nsp2-nsp1",-0.0267506645086772,-0.0791105494403068,0.0256092204229523,0.532295478123383,"Caulobacterales","Root"
"symrk-WT",0.0191017533702364,-0.0774727074077503,0.115676214148223,0.971150663595461,"Flavobacteriales","Root"
"ccamk-WT",0.119787225298913,0.0232127645209261,0.2163616860769,0.0121032280714422,"Flavobacteriales","Root"
"nsp1-WT",0.0980819867753455,0.00150752599735879,0.194656447553332,0.0456967777006654,"Flavobacteriales","Root"
"nsp2-WT",0.0223103857028853,-0.0742640750751014,0.118884846480872,0.950182036172603,"Flavobacteriales","Root"
"ccamk-symrk",0.100685471928676,0.00411101115068976,0.197259932706663,0.0390806474413489,"Flavobacteriales","Root"
"nsp1-symrk",0.0789802334051091,-0.0175942273728776,0.175554694183096,0.136833364712567,"Flavobacteriales","Root"
"nsp2-symrk",0.00320863233264895,-0.0933658284453378,0.0997830931106357,0.999971729043894,"Flavobacteriales","Root"
"nsp1-ccamk",-0.0217052385235673,-0.118279699301554,0.0748692222544194,0.954702698413097,"Flavobacteriales","Root"
"nsp2-ccamk",-0.0974768395960275,-0.194051300374014,-0.000902378818040811,0.0473802827462536,"Flavobacteriales","Root"
"nsp2-nsp1",-0.0757716010724602,-0.172346061850447,0.0208028597055265,0.162503652487157,"Flavobacteriales","Root"
"symrk-WT",0.107376583116032,0.047585970820022,0.167167195412041,0.000461138109548842,"Pseudomonadales","Root"
"ccamk-WT",0.0380572801134627,-0.0217333321825468,0.0978478924094722,0.327712252571739,"Pseudomonadales","Root"
"nsp1-WT",0.0461929672755238,-0.0135976450204857,0.105983579571533,0.172730538911268,"Pseudomonadales","Root"
"nsp2-WT",0.0466253689088832,-0.0131652433871262,0.106415981204893,0.166512109054321,"Pseudomonadales","Root"
"ccamk-symrk",-0.0693193030025688,-0.129109915298578,-0.00952869070655934,0.0196320664819382,"Pseudomonadales","Root"
"nsp1-symrk",-0.0611836158405077,-0.120974228136517,-0.00139300354449823,0.0437086787939254,"Pseudomonadales","Root"
"nsp2-symrk",-0.0607512142071483,-0.120541826503158,-0.000960601911138816,0.045576473817089,"Pseudomonadales","Root"
"nsp1-ccamk",0.0081356871620611,-0.0516549251339484,0.0679262994580706,0.992779260727461,"Pseudomonadales","Root"
"nsp2-ccamk",0.00856808879542052,-0.0512225235005889,0.06835870109143,0.991214976962572,"Pseudomonadales","Root"
"nsp2-nsp1",0.000432401633359419,-0.05935821066265,0.0602230139293689,0.999999936159119,"Pseudomonadales","Root"
"symrk-WT",-0.319534763924495,-0.460260498640681,-0.178809029208309,3.58599343986965e-05,"Rhizobiales","Root"
"ccamk-WT",-0.303960413512729,-0.444686148228915,-0.163234678796543,6.34895019494541e-05,"Rhizobiales","Root"
"nsp1-WT",-0.308093889765546,-0.448819624481732,-0.16736815504936,5.44788988668943e-05,"Rhizobiales","Root"
"nsp2-WT",-0.276907156434787,-0.417632891150973,-0.136181421718601,0.000177399543870416,"Rhizobiales","Root"
"ccamk-symrk",0.015574350411766,-0.12515138430442,0.156300085127952,0.996729162613142,"Rhizobiales","Root"
"nsp1-symrk",0.0114408741589495,-0.129284860557237,0.152166608875136,0.999017219163209,"Rhizobiales","Root"
"nsp2-symrk",0.0426276074897078,-0.0980981272264783,0.183353342205894,0.87869422721112,"Rhizobiales","Root"
"nsp1-ccamk",-0.00413347625281657,-0.144859210969003,0.136592258463369,0.999982707139539,"Rhizobiales","Root"
"nsp2-ccamk",0.0270532570779418,-0.113672477638244,0.167778991794128,0.973957956682611,"Rhizobiales","Root"
"nsp2-nsp1",0.0311867333307583,-0.109539001385428,0.171912468046944,0.956865465495231,"Rhizobiales","Root"
"symrk-WT",-0.0019756366048641,-0.00863052397345214,0.00467925076372394,0.886073050468735,"Sphingomonadales","Root"
"ccamk-WT",-0.000229957392974465,-0.00688484476156251,0.00642492997561358,0.9999669389833,"Sphingomonadales","Root"
"nsp1-WT",0.000786676349937796,-0.00586821101865025,0.00744156371852584,0.995783066887132,"Sphingomonadales","Root"
"nsp2-WT",0.00436735123968431,-0.00228753612890374,0.0110222386082723,0.300578071940966,"Sphingomonadales","Root"
"ccamk-symrk",0.00174567921188963,-0.00490920815669841,0.00840056658047767,0.923499271990709,"Sphingomonadales","Root"
"nsp1-symrk",0.00276231295480189,-0.00389257441378615,0.00941720032338994,0.705713167967695,"Sphingomonadales","Root"
"nsp2-symrk",0.0063429878445484,-0.000311899524039639,0.0129978752131364,0.0653229505764819,"Sphingomonadales","Root"
"nsp1-ccamk",0.00101663374291226,-0.00563825362567578,0.0076715211115003,0.988826074012056,"Sphingomonadales","Root"
"nsp2-ccamk",0.00459730863265877,-0.00205757873592927,0.0112521960012468,0.256924215448019,"Sphingomonadales","Root"
"nsp2-nsp1",0.00358067488974651,-0.00307421247884153,0.0102355622583346,0.484266208931818,"Sphingomonadales","Root"
"symrk-WT",0.00472833241095878,-0.0296951549921427,0.0391518198140602,0.992516378217725,"Xanthomonadales","Root"
"ccamk-WT",0.0293679518404191,-0.00505553556268235,0.0637914392435205,0.11344725085013,"Xanthomonadales","Root"
"nsp1-WT",0.00683740962471095,-0.0275860777783905,0.0412608970278124,0.970712797625646,"Xanthomonadales","Root"
"nsp2-WT",0.00897006954729666,-0.0254534178558048,0.0433935569503981,0.925159502917504,"Xanthomonadales","Root"
"ccamk-symrk",0.0246396194294603,-0.00978386797364113,0.0590631068325617,0.228419658768027,"Xanthomonadales","Root"
"nsp1-symrk",0.00210907721375217,-0.0323144101893493,0.0365325646168536,0.999677894442923,"Xanthomonadales","Root"
"nsp2-symrk",0.00424173713633788,-0.0301817502667636,0.0386652245394393,0.995054213654443,"Xanthomonadales","Root"
"nsp1-ccamk",-0.0225305422157081,-0.0569540296188096,0.0118929451873933,0.30292052505019,"Xanthomonadales","Root"
"nsp2-ccamk",-0.0203978822931224,-0.0548213696962239,0.014025605109979,0.393531602622446,"Xanthomonadales","Root"
"nsp2-nsp1",0.00213265992258571,-0.0322908274805157,0.0365561473256872,0.9996634037163,"Xanthomonadales","Root"
"symrk-WT",0.00042183842719765,-0.00130667379529881,0.00215035064969411,0.939910073074497,"Actinomycetales","Rhizosphere"
"ccamk-WT",-0.000276881033686546,-0.002005393256183,0.00145163118880991,0.986661045631498,"Actinomycetales","Rhizosphere"
"nsp1-WT",-7.34842740303162e-05,-0.00180199649652677,0.00165502794846614,0.999924511719301,"Actinomycetales","Rhizosphere"
"nsp2-WT",0.000488261826408674,-0.00124025039608778,0.00221677404890513,0.902665053996229,"Actinomycetales","Rhizosphere"
"ccamk-symrk",-0.000698719460884196,-0.00242723168338065,0.00102979276161226,0.724697487439442,"Actinomycetales","Rhizosphere"
"nsp1-symrk",-0.000495322701227967,-0.00222383492372442,0.00123318952126849,0.898099712218424,"Actinomycetales","Rhizosphere"
"nsp2-symrk",6.64233992110231e-05,-0.00166208882328543,0.00179493562170748,0.999949511372534,"Actinomycetales","Rhizosphere"
"nsp1-ccamk",0.00020339675965623,-0.00152511546284023,0.00193190898215269,0.995856514093456,"Actinomycetales","Rhizosphere"
"nsp2-ccamk",0.000765142860095219,-0.000963369362401237,0.00249365508259168,0.65633613815542,"Actinomycetales","Rhizosphere"
"nsp2-nsp1",0.00056174610043899,-0.00116676612205747,0.00229025832293545,0.84975031489846,"Actinomycetales","Rhizosphere"
"symrk-WT",-2.5410988417629e-21,-0.000177845743604117,0.000177845743604117,1,"Bacillales","Rhizosphere"
"ccamk-WT",-5.9292306307801e-21,-0.000177845743604117,0.000177845743604117,1,"Bacillales","Rhizosphere"
"nsp1-WT",9.10640180046572e-05,-8.67817255994597e-05,0.000268909761608774,0.530252969188681,"Bacillales","Rhizosphere"
"nsp2-WT",-9.3173624197973e-21,-0.000177845743604117,0.000177845743604117,1,"Bacillales","Rhizosphere"
"ccamk-symrk",-3.3881317890172e-21,-0.000177845743604117,0.000177845743604117,1,"Bacillales","Rhizosphere"
"nsp1-symrk",9.10640180046572e-05,-8.67817255994597e-05,0.000268909761608774,0.530252969188681,"Bacillales","Rhizosphere"
"nsp2-symrk",-6.7762635780344e-21,-0.000177845743604117,0.000177845743604117,1,"Bacillales","Rhizosphere"
"nsp1-ccamk",9.10640180046573e-05,-8.67817255994597e-05,0.000268909761608774,0.53025296918868,"Bacillales","Rhizosphere"
"nsp2-ccamk",-3.3881317890172e-21,-0.000177845743604117,0.000177845743604117,1,"Bacillales","Rhizosphere"
"nsp2-nsp1",-9.10640180046573e-05,-0.000268909761608774,8.67817255994597e-05,0.53025296918868,"Bacillales","Rhizosphere"
"symrk-WT",0.0400820544278885,-0.0209330783617225,0.1010971872175,0.299701729965873,"Burkholderiales","Rhizosphere"
"ccamk-WT",0.00624101096983459,-0.0547741218197764,0.0672561437594456,0.997589666348704,"Burkholderiales","Rhizosphere"
"nsp1-WT",0.0810340228510704,0.0200188900614594,0.142049155640681,0.00715373602153335,"Burkholderiales","Rhizosphere"
"nsp2-WT",0.0950058699642292,0.0339907371746182,0.15602100275384,0.00183144526932866,"Burkholderiales","Rhizosphere"
"ccamk-symrk",-0.0338410434580539,-0.0948561762476649,0.0271740893315571,0.455747273800008,"Burkholderiales","Rhizosphere"
"nsp1-symrk",0.0409519684231819,-0.0200631643664291,0.101967101212793,0.281136654183891,"Burkholderiales","Rhizosphere"
"nsp2-symrk",0.0549238155363407,-0.00609131725327033,0.115938948325952,0.0878179480631522,"Burkholderiales","Rhizosphere"
"nsp1-ccamk",0.0747930118812358,0.0137778790916248,0.135808144670847,0.0132046786535793,"Burkholderiales","Rhizosphere"
"nsp2-ccamk",0.0887648589943946,0.0277497262047836,0.149779991784006,0.003355053560535,"Burkholderiales","Rhizosphere"
"nsp2-nsp1",0.0139718471131587,-0.0470432856764523,0.0749869799027698,0.951674378514426,"Burkholderiales","Rhizosphere"
"symrk-WT",-0.00420335241050906,-0.0356132165491946,0.0272065117281764,0.993222045531401,"Caulobacterales","Rhizosphere"
"ccamk-WT",0.00962458343037789,-0.0217852807083076,0.0410344475690634,0.874302755577478,"Caulobacterales","Rhizosphere"
"nsp1-WT",0.0115044908026952,-0.0199053733359903,0.0429143549413807,0.788128402617494,"Caulobacterales","Rhizosphere"
"nsp2-WT",-0.00414228920340171,-0.0355521533420872,0.0272675749352838,0.993589273635292,"Caulobacterales","Rhizosphere"
"ccamk-symrk",0.013827935840887,-0.0175819282977985,0.0452377999795724,0.660712893335046,"Caulobacterales","Rhizosphere"
"nsp1-symrk",0.0157078432132043,-0.0157020209254812,0.0471177073518897,0.55176141554264,"Caulobacterales","Rhizosphere"
"nsp2-symrk",6.10632071073591e-05,-0.0313488009315781,0.0314709273457928,0.99999999966654,"Caulobacterales","Rhizosphere"
"nsp1-ccamk",0.0018799073723173,-0.0295299567663682,0.0332897715110028,0.999706405952807,"Caulobacterales","Rhizosphere"
"nsp2-ccamk",-0.0137668726337796,-0.0451767367724651,0.0176429915049059,0.664226657556167,"Caulobacterales","Rhizosphere"
"nsp2-nsp1",-0.0156467800060969,-0.0470566441447824,0.0157630841325886,0.555278736418696,"Caulobacterales","Rhizosphere"
