Number	Nodule_type	Genotype
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	white	nsp2
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	symrk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
	pink	ccamk
