name	Anna_info	links	formulaId	alignedFeatureId	compoundId	mappingFeatureId
Geraldol	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0292859);NORMAN:(NS00026890);BloodExposome:(5482101);LIPIDMAPS:(LMPK12111568);SUPERNATURAL:(SN0417835);MESH:(5482101);PUBCHEM:(5482101);DSSTox:(DTXSID30175851);LOTUS:(Q83046182);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(WRFQRUBJBPLPAM-UHFFFAOYSA-N)"	832571702890020930	832570093069827036	832570093069827035	1128
Gingerol	derived from phenylpropanoid pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0005783);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(442793 3473);LIPIDMAPS:(LMPK15020007);SUPERNATURAL:(SN0248544);MESH:(442793);FooDB:(FDB001108);PUBCHEM:(101793196 3473 442793 12310197);GNPS:(CCMSLIB00000847634 CCMSLIB00000847635);COCONUT:(CNP0314204);NORMAN:(NS00027445 NS00067014);METACYC:(CPD-13494);PLANTCYC:(CPD-13494);CHEBI:(10136 181480);KEGG:(C10462);DSSTox:(DTXSID3041035 DTXSID40274400 DTXSID40860302 DTXSID70487228);LOTUS:(Q72484395 Q421081);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NLDDIKRKFXEWBK-UHFFFAOYSA-N)"	832572169128906515	832570089894738595	832570089894738594	1067
Hesperetin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0005782 HMDB0030746);MiMeDB:(MMDBc0000610);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(3593 72281);LIPIDMAPS:(LMPK12140003);SUPERNATURAL:(SN0006614);MESH:(72281);FooDB:(FDB002677);PUBCHEM:(163322612 119058071 676152 3593 72281 49859576 71317210);GNPS:(CCMSLIB00000079951);COCONUT:(CNP0393256);NORMAN:(NS00014845 NS00096467);METACYC:(CPD-7072);PLANTCYC:(CPD-7072);CHEBI:(28230 183378 95167 61249);KEGG:(C01709);DSSTox:(DTXSID4022319 DTXSID80274404);LOTUS:(Q411310 Q104912885 Q27166968);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(AIONOLUJZLIMTK-UHFFFAOYSA-N)"	832570951228748968	832570093896105034	832570093896105033	1150
Hydroxychavicol	derived from phenylpropanoid metabolism but simple phenolic, no flavonoid	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0278721);NORMAN:(NS00115963);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(70775);SUPERNATURAL:(SN0085605);MESH:(70775);PUBCHEM:(70775);DSSTox:(DTXSID20150112);LOTUS:(Q72437390);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(FHEHIXJLCWUPCZ-UHFFFAOYSA-N)"	832572076409613493	832570057107859884	832570057107859883	203
Hydroxychavicol	derived from phenylpropanoid metabolism but simple phenolic, no flavonoid	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0278721);NORMAN:(NS00115963);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(70775);SUPERNATURAL:(SN0085605);MESH:(70775);PUBCHEM:(70775);DSSTox:(DTXSID20150112);LOTUS:(Q72437390);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(FHEHIXJLCWUPCZ-UHFFFAOYSA-N)"	832572261185501564	832570057044945314	832570057044945313	201
Isomedicarpin	Isoflavonoids	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0171056);HMDB:(HMDB0033305);CHEBI:(174553);LIPIDMAPS:(LMPK12070030);SUPERNATURAL:(SN0450938);FooDB:(FDB011329);PUBCHEM:(102058199 129317095 13803636 13803637);DSSTox:(DTXSID301317550);LOTUS:(Q115970767 Q110204701);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(YHZDBBUEVZEOIY-UHFFFAOYSA-N)"	832572032080008314	832570082655369113	832570082655369112	913
Ixoside	Phenylpropanoid glycoside/derivative	"COCONUT:(CNP0313418);TeroMol:(TKC191786 TKC191787 TKC020503);LIPIDMAPS:(LMPR0102070040);SUPERNATURAL:(SN0018934);MESH:(44583801);PUBCHEM:(157272401 75051789 163034170 44583801);LOTUS:(Q103816554 Q104399232 Q104921344);PUBMED;KNAPSACK:(AYRQUPRKTDTPEN-UHFFFAOYSA-N)"	832570549598921347	832570118751553209	832570118751553208	1675
Lanciaquinone		"SUPERNATURAL:(SN0213611);MESH:(101762594);PUBCHEM:(101762594);LOTUS:(Q105156302);PUBMED:(null)"	832571463080662203	832570125198199137	832570125198199136	1808
Lespedin	Isoflavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0037438);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(21159160 12305419 5486199 12305416 118705169 44258935 12305415);LIPIDMAPS:(LMPK12111865);SUPERNATURAL:(SN0295602);MESH:(5486199);FooDB:(FDB016494);PUBCHEM:(118705169 124871711 124871712 124871713 124871714 5323562 5486199 21159160 162948882 162948883 162948884 162948885 162948886 162948887 162948888 162948889 162948890 162948891 97005867 97032053 97032054 97032055 97032056 94858219 56845207 98614604 25235674 10438154 54209014 54209015 131707674 11444588 12305415 12305416 12305419 133564710 11972389 44258935 138107340);GNPS:(CCMSLIB00000849017);COCONUT:(CNP0219489);NORMAN:(NS00018345 NS00067016);METACYC:(CPD1F-462);PLANTCYC:(CPD1F-462);CHEBI:(68883);KEGG:(C16981);DSSTox:(DTXSID90197458);LOTUS:(Q6345965 Q104667211 Q104195447 Q105215198 Q105215200 Q105215205 Q104388244 Q105215195 Q105215196 Q115949725 Q105215197 Q105215203 Q105215209 Q105215204);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(PUPKKEQDLNREIM-UHFFFAOYSA-N)"	832570828985745802	832570127609924173	832570127609924172	1855
Licoagroside B	Isoflavonoids	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0232682);HMDB:(HMDB0036523);CHEBI:(142266);SUPERNATURAL:(SN0406876);FooDB:(FDB015423);PUBCHEM:(22297602 38356993 162961498 162961499 162961500 637142 73880679);DSSTox:(DTXSID501112572);LOTUS:(Q105302125 Q104400576 Q105302127 Q105302123 Q105302124);GNPS:(CCMSLIB00000853376);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(WCVUIHQUPRXYKT-UHFFFAOYSA-N)"	832570571946176400	832570122719365220	832570122719365219	1759
