G14_LjRoot22	26	0	6	8	0	13	10	0	11	14	0	5	0	5	4	10	4	3	2	2	5	12	17	3	20	10	15	13	10	5	21	15	32	9	26	29	5	11	20	22	10	17	4	25
LjRoot285	9	0	0	15	0	0	18	0	2	15	0	9	0	0	0	0	16	8	18	0	15	9	16	0	33	7	0	0	21	0	27	0	24	9	0	9	64	13	9	0	9	5	7	10
LjRoot240	12	0	7	9	1	12	3	0	6	7	0	7	9	3	0	0	7	3	7	7	12	8	20	4	11	4	0	0	25	8	7	10	13	7	2	6	9	12	8	8	5	10	4	11
LjRoot248	9	0	15	18	0	3	12	0	18	17	0	8	12	3	3	6	7	7	0	2	3	2	2	2	17	5	0	7	6	5	13	8	33	8	6	8	9	8	10	8	8	6	8	8
G35_LjRoot145	3	0	0	0	0	0	7	0	0	0	1	0	28	4	22	0	8	8	12	10	8	9	15	10	7	0	0	11	10	4	13	8	0	10	0	6	6	5	4	4	9	4	14	0
LjRoot89	1	0	7	6	0	5	4	0	4	3	0	3	12	15	4	10	9	12	10	22	1	0	1	0	1	2	0	0	5	12	15	10	20	7	1	13	6	5	5	2	2	5	16	4
LjRoot1	10	0	6	5	0	5	9	0	6	5	0	5	2	9	0	3	4	7	3	6	0	10	9	3	3	4	12	7	9	8	3	1	7	4	6	8	8	11	8	9	6	10	6	10
G30_LjRoot2	5	1	4	2	0	6	10	0	5	5	0	4	5	4	3	4	10	7	4	5	2	11	4	5	3	5	9	10	4	8	9	2	6	2	1	3	2	4	0	7	5	7	5	4
LjRoot277	5	0	5	3	0	11	3	0	6	1	0	10	4	5	0	9	0	3	4	4	2	10	0	5	2	6	0	6	2	13	2	9	5	16	1	11	2	15	4	10	1	7	3	5
LjRoot152	1	0	5	0	0	1	0	0	6	7	0	6	7	9	0	6	0	0	3	13	3	13	0	9	0	2	0	0	1	4	0	8	0	6	0	6	3	6	0	2	6	9	14	12
G33_LjRoot104	3	0	0	0	0	4	0	1	2	7	3	0	8	3	15	0	11	5	4	1	7	5	13	2	10	0	0	0	12	3	8	0	2	4	4	2	5	1	9	6	2	2	6	0
G27_LjRoot78	1	0	6	2	0	10	0	0	8	3	0	12	0	2	0	1	2	3	1	1	2	10	3	5	0	4	0	3	1	10	3	3	0	8	2	8	0	4	0	9	0	19	2	6
LjRoot30	10	0	3	2	0	8	3	2	1	2	0	2	3	0	0	2	2	2	2	3	1	7	5	6	6	1	0	2	9	1	2	6	3	3	0	5	1	2	0	4	2	11	3	2
LjRoot295	0	0	2	2	0	1	3	0	2	0	0	0	11	1	4	7	8	3	2	4	1	2	2	0	2	1	0	0	6	2	7	6	8	3	2	5	2	1	4	5	2	0	4	0
LjRoot296	0	0	9	3	0	5	7	0	9	0	0	6	5	4	2	12	2	2	4	3	2	7	5	6	8	3	41	14	5	12	2	4	0	7	2	8	0	2	7	8	1	3	2	2
LjRoot257	6	0	2	3	0	8	0	0	4	0	0	4	9	12	0	0	5	7	0	10	0	0	0	2	0	0	0	0	3	4	0	0	0	3	0	1	0	5	0	5	0	0	6	0
G9_LjRoot131	6	0	13	0	0	0	0	0	0	0	0	0	13	0	0	0	13	0	28	6	4	0	0	0	9	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0
G24_LjRoot12	2	0	4	3	0	5	3	0	4	5	0	4	5	5	0	3	5	6	0	4	2	5	1	2	2	1	0	3	1	4	0	1	0	5	0	3	0	2	0	4	1	8	5	5
LjRoot244	0	0	1	24	0	2	0	0	1	0	0	2	0	2	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	1	4	0	1	6	4	0	6	2	1
G15_LjRoot29	2	0	4	0	0	2	3	0	2	1	0	1	0	0	0	2	0	3	0	0	0	1	8	3	0	10	0	3	0	0	5	5	0	3	0	7	0	1	4	5	1	13	1	11
LjRoot230	5	0	0	1	0	1	1	0	1	0	0	2	0	0	3	0	0	0	0	0	5	5	2	5	0	4	0	2	0	0	1	7	5	9	1	13	2	9	0	2	1	1	0	10
LjRoot258	9	0	0	6	0	0	8	0	0	7	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	5	0	9	0	0	0	0	0
LjRoot8	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	7	0	1	0	0	0	0	0	4	0	1	0	2	0	0	0	1	0	0	0	0	3	1
LjRoot220	0	0	0	2	0	0	0	0	1	1	0	2	0	1	0	0	1	0	1	0	5	0	5	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0
G34_LjRoot233	1	0	2	1	0	0	0	0	1	3	0	0	3	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	1	1	1	0
LjRoot80	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	3	0	0	0	2	0	0	0	2	0	0	0	3	0	2	0	1	0	5	0	2	0	0	0	1	0	4	0	1
