"LjRoot237","LjRoot237",21,1,9,19,1,8,21,0,7,13,0,12,34,29,22,22,35,22,25,28,17,18,30,18,26,23,49,20,35,25,19,22,27,17,9,14,21,14,18,13,14,18,23,15
"G7_LjRoot117","G7_LjRoot117",4,0,8,4,0,10,3,0,10,8,2,8,54,29,11,14,24,7,26,31,46,39,70,31,19,28,18,19,30,13,6,12,16,21,2,9,2,5,4,26,13,31,22,11
"LjRoot10","LjRoot10",22,0,11,17,0,29,7,0,19,34,2,20,25,33,16,25,27,26,20,42,5,15,3,18,12,10,0,27,16,13,20,19,16,17,4,24,5,15,7,23,7,20,30,10
"LjRoot229","LjRoot229",13,0,6,16,0,5,17,0,13,8,7,8,15,8,37,18,24,3,21,11,19,7,35,12,38,10,0,0,58,11,29,14,43,18,9,7,16,3,31,10,18,15,8,10
"G5_LjRoot105","G5_LjRoot105",0,0,11,0,0,10,0,0,10,0,0,14,34,45,0,17,0,26,25,54,0,21,0,34,0,19,0,14,0,22,0,35,0,12,0,19,0,12,0,17,0,12,33,13
"LjRoot11","LjRoot11",14,4,17,9,6,20,7,0,13,12,4,10,14,19,1,14,9,11,11,17,12,6,7,8,14,16,61,6,16,10,22,16,13,14,6,12,5,14,5,13,8,10,29,12
"G36_LjRoot142","G36_LjRoot142",20,2,11,16,0,9,9,0,7,5,0,20,0,15,0,14,5,11,7,21,9,12,16,10,7,17,0,14,17,11,11,12,15,9,4,14,6,9,2,11,8,26,17,21
"G14_LjRoot22","G14_LjRoot22",25,0,8,7,0,4,19,0,11,13,0,12,0,3,11,6,2,1,1,1,7,5,18,8,15,11,15,24,7,7,27,12,27,8,39,28,9,11,32,25,12,21,5,19
"LjRoot285","LjRoot285",8,0,0,10,0,0,11,0,7,13,0,8,0,0,0,0,12,7,11,0,11,7,9,0,28,7,0,0,22,0,27,0,30,18,0,9,64,3,10,0,13,5,10,9
"LjRoot240","LjRoot240",7,0,5,8,2,11,4,0,15,6,0,10,10,8,0,0,11,5,8,5,11,10,19,14,15,5,0,0,27,8,14,7,18,13,4,7,7,12,7,7,8,20,4,8
"LjRoot248","LjRoot248",4,0,9,23,0,5,22,0,19,11,0,4,5,3,3,9,3,4,0,2,6,4,5,3,18,7,0,9,5,11,16,2,23,6,6,8,10,8,16,5,11,7,7,5
"G35_LjRoot145","G35_LjRoot145",2,0,0,0,0,0,15,0,0,0,2,0,29,14,19,0,12,10,15,14,5,3,17,10,5,0,0,6,11,9,9,6,0,8,1,11,4,9,4,11,7,8,12,0
