Feature	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
a7f748d9fda786a0954d02fb91dc4ff2	Bacteria	Acidobacteriota	Subgroup_5	Subgroup_5	Subgroup_5	Subgroup_5	Unknown	0.999999999660347
caf18c48b9ee4cc85ac94376303f9770	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unknown	0.94324249324528
b33150cd0d064d82ec1085fc29e9e4a4	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_Alphaproteobacteria	0.949813229536593
d31a3e43182ac624cbf492a94a5f595a	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Unknown	0.869989000854363
64d3df4eea53d5eb29f0eda6fb4f0921	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	uncultured	Unknown	0.763549059424778
48072075e8948c23fc073fc8ad30a270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	Labrys	Unknown	0.978780059097416
d863ad31fa08924a01b3e69d539e7767	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unknown	0.998606063758544
47db06a6e98ffb3d09582144744db90a	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unknown	Unknown	0.999999096924896
908806b1703cf63ce16e6b12f2fad897	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Unknown	Unknown	0.999998353905257
7252257f7245ad68d2e0f317d01942e9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unknown	0.998688316767838
4523567afa10168a91b92fae03ad821f	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinocorallia	metagenome	0.733557840290012
cb7b8ea91c37690f8318bc614af08b0c	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unknown	0.999528332729693
cfac402b813c7d631e5c81cf6586becd	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible_genus_04	Juncus_effusus	0.771897728887819
ebd88e2e5c970ee987adcf25fa45f9a1	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Unknown	Unknown	0.974751367641143
7fb5f72f91d27afaaa7f082183602e34	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured	Sphingosinicella_sp.	0.722690673350574
8a96d6c4a6234e4274bdfba1d38f89a0	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	Unknown	0.999871163004105
4ccd4427775f6aa4e4c7144eb0fa7b00	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	0.999930443908467
2539a14c993166e6ecd5ed930009d93d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Unknown	0.999937347406886
cee50cbf060c285a48db86839bf25a93	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Nordella	uncultured_bacterium	0.929950924922595
dca20e53d2bb85136538694fdc116aa4	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	Unknown	0.999610944718693
8f1aa389952f5e38a2d93c50596d732b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	Unknown	0.945061738567953
dc432bad6076f51e2ebc562212cc7ef1	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Unknown	0.999772028044364
a40cea409d19972130704dcd7a66774e	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	uncultured	uncultured_bacterium	0.874935407707968
597a141fd2976ad55f4d5c9c7c5da949	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown	0.999350144561357
40f1aa5cd5a864fb7e71cd0aaa404ea9	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unknown	0.999962563541724
57758e1cadc22bd3ef27371c96a98d43	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured_proteobacterium	0.700065845478351
9fab2a32a066f68454947443fa9f890f	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	metagenome	0.973324367633558
e00fc2d906a165d4593bd7361684ef38	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Microvirga_ossetica	0.72308350079369
9f6f3e3b447a586d02de41d3aa8fbb48	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	Unknown	0.714089949843871
6e4c9dd5e4b37b02b70c6a5543c51293	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	uncultured_Acidobacteriaceae	0.924643230090535
89eab96e3e63764602be993a81d66fe3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	0.998715876445304
a760e21e4494a9175bd9b670e883d491	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unknown	0.990243137975695
3d7dac54dd983c69843e16bba0768853	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	0.999973512393918
4a374db4aa60b3ddb86c8510fc8944d5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown	Unknown	0.998638222807053
de6d860520ceaf83b54d4b706a495ca1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unknown	0.990333178404529
3c7b42475ecc1504d7cb14574216baf0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Unknown	Unknown	Unknown	0.999999801621877
3738bd84dfc999485505f12eae983e9f	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unknown	0.99515619245182
251121ab623695e9f77c3540e6eb4064	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown	Unknown	0.999891123964986
1fb8d7353bc9c3af4ffec46469b8a124	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	metagenome	0.955651763202973
c5a4bbfa5ca41666e435a61bac65c42d	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_Rubrobacteria	0.813439976111105
fa5ae0da568c27edfa63c75192a1f703	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unknown	0.99086651039027
d7dcaa0091734328b6561c2c44d229e1	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Unknown	0.903402570435741
3803bd3d2c4cc71d5a5b10eb76c672c3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unknown	0.990972196895106
9f9ecbb8acec467a1154331f2e6adc4b	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Unknown	0.986567284165114
5ad0b32ede6f62939a5366ec7bd1c06b	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	Unknown	0.998273995701198
19c3ea6b328934adaf5608cb78308087	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium	0.758898155053067
39988a631bb04feedf22840f7746e839	Bacteria	Chloroflexi	Ktedonobacteria	C0119	C0119	C0119	uncultured_bacterium	0.999107469422916
