feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P1_D2	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_symrk_HvSC_only_rhizo_5	-2.09188376924777	-6.98741450269174	-2.83360916661271	-2.80528309225871	-4.08960462968864	-3.78762670068747	-3.74665122515435	-3.52798288405445	-9.00448801605069	-5.97474067265663	-3.99806174689125	-5.36889944225956	-10.2268804373871	-8.97054068412735	-6.83456301460837	-7.31998984177862	-8.33071624837167	-8.48991484322093	-7.1114032199672	-7.5141623894676	-8.20698087994943	-8.1114032199672	-8.44260912844257	-8.61544572530479	-6.69636572068835	-8.93737382019215	-9.53882444370187	-11.0517915733684	-10.9373738201921	-8.07487734394208	-10.3968054388294	-8.5639154246647	-8.90495234249977	-11.3968054388294	-9.93737382019215	-10.6963657206884	-10.0044880160507	-15.4323461524346	-12.8118429381083	-11.8118429381083	-13.0590627449732	-11.3968054388294	-10.5894505167718	-12.5208992513547	-10.6963657206884	-10.6315501946388	-14.3968054388294	-11.8118429381083	-14.3282541734123	-12.998237821888	-13.3319899127798	-11.5894505167718	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_symrk_HvSC_only_rhizo_6	-2.58568047053486	-6.82501583868499	-2.99719681406767	-2.60818294269044	-4.31081263509457	-3.59629579737653	-3.50530898371431	-3.4730686467141	-8.09249614954998	-5.90878419637759	-3.80207902740783	-5.19633196053452	-8.65098643890994	-8.45506622893469	-6.42111889701135	-7.65098643890994	-8.14694393357235	-8.20352746193872	-6.67079491999012	-6.80298953235499	-7.75992081046311	-7.87775730075697	-7.9729145337973	-8.84738365171345	-6.26242115099229	-8.97291453379731	-9.52545555682608	-7.71810063476848	-10.5254555568261	-7.37706371693341	-9.78848996265988	-8.14694393357235	-10.184418638991	-11.1104180575472	-10.2624211509923	-10.1104180575472	-9.11041805754724	-14.4323461524346	-10.4323461524346	-13.2442448941055	-13.0590627449732	-15.916952413501	-11.4323461524346	-10.8473836517134	-13.7006564529182	-9.34488331118426	-11.4323461524346	-10.4323461524346	-11.624991230377	-12.998237821888	-11.8473836517134	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_ccamk_HvSC_only_rhizo_1	-1.48861863165995	-4.59295529147469	-4.79940616894211	-2.31002132820319	-2.35009876757852	-5.49984588708321	-8.26115467261557	-2.77192543252001	-10.2730962237263	-7.92292605698722	-8.1831521606143	-7.60406945821664	-11.7799245019679	-12.2165126953599	-8.66511610027103	-10.1680452682241	-9.85966419348153	-10.2864732410763	-11.0082285117934	-9.73713465008588	-10.4289063033257	-10.2177604909923	-11.1680452682241	-10.827713189233	-11.493417671953	-11.8607342981381	-11.5246349907222	-11.0517915733684	-12.8624048960215	-10.6440252456944	-12.6774994332851	-10.8701445112275	-14.3201659167754	-14.2363132270428	-12.0100618178925	-12.7006564529182	-13.3648870026891	-15.4323461524346	-13.8118429381083	-13.2442448941055	-13.0590627449732	-15.916952413501	-13.6774994332851	-12.5208992513547	-13.7006564529182	-10.6315501946388	-15.3968054388294	-15.2650289424582	-14.3282541734123	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_ccamk_HvSC_only_rhizo_2	-2.62549234056876	-6.1190897627832	-2.08185356534858	-3.14358255510029	-3.91781540698319	-4.41388814668627	-4.61926671453645	-4.22076774227506	-7.75881806693525	-5.60038870433076	-5.16956820781099	-3.91871456253793	-8.58889306549293	-8.73328297482811	-7.04261103293584	-7.85192747132673	-7.67135522568491	-6.60038870433076	-6.46814090603232	-7.33735429849697	-8.12322949314412	-7.0823572117286	-6.07431989266318	-7.19113355764593	-6.3229990055199	-8.20862098437477	-8.92231679921813	-6.40126606231716	-7.41642586948817	-6.93681636891324	-8.56617298899285	-8.61197667860598	-8.39624798755054	-9.98121048827169	-12.0100618178925	-9.86573327085176	-10.0426110329358	-11.1067413703556	-11.5661729889929	-12.2442448941055	-9.75881806693525	-11.5661729889929	-9.92231679921813	-9.70819199386528	-10.8657332708518	-8.98121048827169	-11.5661729889929	-15.2650289424582	-11.1067413703556	-9.43688997204788	-13.3319899127798	-10.6592823933843	-11.9812104882717	-12.2442448941055	-14.7006564529182
Hv_ccamk_HvSC_only_rhizo_3	-3.10993670304876	-5.5605324619006	-3.02856915219677	-2.13301634530125	-4.14785203288261	-3.91926252027749	-4.24183790226502	-3.84444245852716	-7.53915881110803	-5.94362706867669	-4.73635737533726	-4.54980605530754	-8.53915881110803	-8.26906964774029	-7.1347685560287	-7.27789349812729	-7.80644268994318	-6.7686406572308	-6.29123129766445	-6.98999703181472	-9.20035689765627	-7.66083736769628	-5.71672856858833	-7.43679709347835	-5.22574221607619	-8.71973105674985	-8.92618193421728	-5.75317753984299	-7.01929133860876	-8.20035689765627	-10.1030596963014	-9.16719003372107	-9.98276546258365	-9.92618193421728	-10.539158811108	-10.1030596963014	-13.3648870026891	-11.8192667303008	-11.1671900337211	-9.8717341501949	-8.95419631038687	-10.9261819342173	-9.30469355747101	-12.5208992513547	-10.8192667303008	-7.98276546258365	-11.4566966509161	-15.2650289424582	-10.3786941389148	-10.7197310567499	-13.3319899127798	-10.3786941389148	-11.304693557471	-12.6266216523584	-14.7006564529182
Hv_ccamk_HvSC_only_rhizo_4	-4.52874731536691	-7.37853750374492	-2.46092050154334	-2.5087250119351	-4.5138893566398	-4.71161137251673	-2.82853738062057	-3.06850130492651	-8.89003784252505	-6.18253184883251	-2.79043822114314	-6.12721408043782	-10.0523092714239	-10.4446266942027	-7.24495434936632	-7.52576345692809	-8.85966419348153	-7.35716385295235	-6.86719786616694	-8.49043038381581	-8.82991685008748	-9.0870746895846	-7.26471760418775	-8.56198364484085	-7.52576345692809	-9.92106473814568	-9.53773609859417	-7.85966419348153	-11.4446266942027	-7.75812616701947	-9.80077050442796	-8.85966419348153	-9.05230927142393	-10.3571638529523	-12.0100618178925	-10.3571638529523	-9.58664569907512	-15.4323461524346	-11.4446266942027	-13.2442448941055	-13.0590627449732	-11.1226985993153	-9.98519507556539	-11.1226985993153	-13.7006564529182	-9.53773609859417	-11.4446266942027	-15.2650289424582	-11.2747016927604	-12.998237821888	-12.1226985993153	-10.7441869760616	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_ccamk_HvSC_only_rhizo_5	-4.18925589256827	-6.47673482841628	-2.04107627153921	-2.8863790689249	-4.49303664074538	-3.91080910774546	-3.19258007616084	-3.29693753622703	-8.66706604052042	-5.88100589682605	-3.12591977209176	-5.6037401051516	-10.1451133373251	-8.63054016449531	-7.44467361918398	-8.56015083660391	-7.61261825649805	-7.38261265105173	-6.89718582388148	-8.11957824521793	-9.42890630332566	-8.42890630332566	-7.17110854585801	-8.52620350468058	-6.69508041669002	-10.1451133373251	-9.04557766377416	-7.74301489375372	-10.4930366407454	-7.52620350468058	-12.6774994332851	-9.14511333732507	-8.1975807572192	-10.7825432579404	-10.2520285412416	-12.7006564529182	-13.3648870026891	-15.4323461524346	-13.8118429381083	-13.2442448941055	-13.0590627449732	-15.916952413501	-13.6774994332851	-12.5208992513547	-13.7006564529182	-10.6315501946388	-15.3968054388294	-15.2650289424582	-10.9524682593827	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_ccamk_HvSC_only_rhizo_6	-3.84721761455525	-6.5835272891644	-2.53953066120973	-2.35996432412002	-4.56398710276876	-4.45050187053362	-2.99311035835114	-2.97042430807875	-8.66444728454797	-5.83350554217275	-3.75017715857386	-5.48224395332722	-10.7799245019679	-9.66444728454797	-7.17506244380905	-5.69600201842282	-7.85709236249037	-7.02503699980444	-6.3150384532385	-8.11695948924548	-8.90545538405177	-9.15543363706011	-7.62342001628792	-8.75017715857386	-7.72103081291434	-9.50690600756149	-9.36488700268906	-8.27742416143872	-9.19496200124675	-8.0429589078017	-9.84132504663205	-8.27742416143872	-9.50690600756149	-10.4579964070805	-10.5575320806315	-11.3648870026891	-12.3648870026891	-15.4323461524346	-13.8118429381083	-11.0429589078017	-13.0590627449732	-15.916952413501	-11.0429589078017	-12.5208992513547	-11.1949620012468	-9.50690600756149	-15.3968054388294	-15.2650289424582	-10.9054553840518	-12.998237821888	-11.0429589078017	-11.7799245019679	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_nsp1_HvSC_only_rhizo_1	-4.68898886107143	-7.2012248440519	-3.35006002616323	-2.32545892151731	-5.32016591677541	-2.05865860757335	-3.73896533485045	-3.3040540785549	-9.1502409153331	-6.38352797777284	-4.2260882311035	-5.76174520350674	-9.92784849399665	-9.73520341605425	-7.35438163211332	-4.4778155733616	-7.5257500504253	-8.25407672631764	-6.17550767394353	-7.5128109947178	-9.36596960638853	-8.73520341605425	-6.80446607849137	-9.07223840333182	-6.00728296149105	-10.8607342981381	-9.7966039607184	-9.23270307552507	-9.56527841461194	-8.7966039607184	-10.5128109947178	-9.73520341605425	-13.3201659167754	-10.3201659167754	-10.1502409153331	-11.3201659167754	-9.32016591677541	-15.4323461524346	-11.7352034160543	-13.2442448941055	-9.27577179741695	-15.916952413501	-10.6197261986343	-11.3201659167754	-10.1502409153331	-10.6315501946388	-12.7352034160543	-15.2650289424582	-8.99823782188805	-11.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_nsp1_HvSC_only_rhizo_2	-4.25019504666672	-6.99841484463699	-4.19686554426059	-1.70560353471206	-4.79476710068925	-3.22074691352762	-3.69749724304217	-3.54320317793978	-8.38856116837412	-5.99841484463699	-3.98400218689954	-5.53215202200297	-9.49898515806777	-7.52378854906835	-6.97542320201076	-4.53951004544717	-5.04852369293503	-7.86038469374454	-6.51547328085634	-7.27893667719962	-8.76859221782505	-8.53215202200297	-5.57687382552048	-8.37345427598391	-8.25797705856398	-8.48268334573867	-10.0515261810966	-9.1004357815775	-9.56609935392631	-8.87095393545473	-9.71048926326148	-8.19023245192814	-10.3145605869303	-10.0515261810966	-9.71048926326148	-10.6364886818177	-8.41925796559704	-11.257977058564	-11.1510618546475	-11.7884917752628	-9.17705706318041	-12.6364886818177	-11.3734542759839	-12.5208992513547	-10.7104892632615	-10.6315501946388	-11.0515261810966	-11.6364886818177	-10.3734542759839	-10.257977058564	-13.3319899127798	-13.5961120895922	-11.3734542759839	-13.8617654335912	-12.1510618546475
Hv_nsp1_HvSC_only_rhizo_3	-3.48639040505905	-6.93882882027538	-2.6985956986218	-2.72606081782733	-4.01565940550913	-2.48009499852757	-3.65263974835796	-3.61306886379699	-8.36413465500805	-5.42463939396761	-4.37188415461299	-5.0567061298158	-9.5865270763445	-9.00156457562334	-6.78605853987214	-6.1491217640372	-7.21729326667878	-7.5865270763445	-7.17148957706566	-7.39538558899249	-9.13586566733493	-8.10110024917426	-6.60467442305476	-8.44902355259456	-10.493417671953	-9.73853016978955	-9.49341767195302	-8.40595483070268	-10.1011002491743	-8.969855715896	-10.1714895770657	-8.34367055244834	-9.90845517123186	-14.2363132270428	-9.68606274989541	-9.84956148217829	-13.3648870026891	-15.4323461524346	-11.3234926705107	-10.6860627498954	-11.1714895770657	-11.1714895770657	-11.0339860533157	-12.5208992513547	-11.6860627498954	-10.6315501946388	-11.9084551712319	-15.2650289424582	-10.4059548307027	-12.998237821888	-11.493417671953	-13.5961120895922	-12.493417671953	-13.8617654335912	-12.493417671953
Hv_nsp1_HvSC_only_rhizo_4	-2.13478015840747	-6.32251443711892	-2.94366451041871	-2.74785168976862	-4.3717274115976	-3.95782813331735	-3.76817516507012	-3.51348488336906	-8.19893975200039	-5.41016055919792	-4.53710848789496	-4.35513585868812	-9.13574592551319	-8.03621025196228	-7.66511610027103	-6.65031909834295	-8.22063482309971	-7.33429160489527	-7.17756610120782	-7.56458922431707	-8.80559732382086	-8.22063482309971	-6.60681745970636	-8.680066441737	-10.0171014290146	-9.35813834684964	-9.09510394101585	-7.8727115196794	-9.26502894245816	-8.24266112942971	-9.80559732382086	-8.40704794733059	-10.680066441737	-10.8055973238209	-8.90747693784008	-10.0171014290146	-9.680066441737	-11.9431008475708	-13.8118429381083	-9.74146698640115	-13.0590627449732	-10.3581383468496	-9.62117275268344	-12.5208992513547	-10.3581383468496	-10.6315501946388	-11.680066441737	-14.2650289424582	-14.3282541734123	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-12.680066441737	-11.9431008475708
Hv_nsp1_HvSC_only_rhizo_5	-3.01291246266956	-6.35574393698412	-2.86129372916841	-2.94461089216119	-4.16944897443404	-2.31064105070358	-4.3115861506659	-3.99230763419249	-7.71720039605812	-5.64395141402748	-5.0322570142402	-4.39127037061326	-8.93292908711356	-7.27241555338523	-7.15920494293723	-5.26873989524183	-7.18668567935934	-6.94461089216119	-7.02914440237286	-6.75784238055547	-8.52957339288235	-8.36356344144342	-6.65830670700455	-8.84273127814198	-8.36356344144342	-9.36356344144342	-9.49480797472167	-8.84273127814198	-9.7996625562501	-8.42769377886314	-8.93292908711356	-7.27241555338523	-9.7996625562501	-9.98023480189192	-9.07977047544283	-10.5651973026131	-8.52957339288235	-15.4323461524346	-10.5651973026131	-13.2442448941055	-13.0590627449732	-11.8871253975004	-10.5651973026131	-9.63919788405685	-13.7006564529182	-10.6315501946388	-10.5651973026131	-11.0797704754428	-14.3282541734123	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
