feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P1_D2	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_symrk_HvSC_only_rhizo_5	0.234574196838348	0.00788095127717769	0.140280932733763	0.143062444949237	0.0587362662834361	0.0724120346761856	0.0744981688377915	0.0866904640489546	0.00194705855083214	0.0159009781651291	0.0625840248481758	0.024199156274628	0.000834453664642344	0.00199341708775671	0.00876176347874461	0.00625840248481758	0.0031060219739465	0.00278151221547448	0.00723193176023365	0.00547030735709981	0.00338417319549395	0.00361596588011682	0.00287422928932363	0.00254971953085161	0.00964257568031153	0.00203977562468129	0.00134439757081267	0	0.000509943906170321	0.00370868295396597	0.000741736590793195	0.00264243660470076	0.00208613416160586	0.000370868295396597	0.00101988781234064	0.000602660980019471	0.000973529275416068	0	0.000139075610773724	0.000278151221547448	0	0.000370868295396597	0.000649019516944045	0	0.000602660980019471	0	4.63585369245747e-05	0.000278151221547448	0	0	0	0.000324509758472023	0	0	0
Hv_symrk_HvSC_only_rhizo_6	0.16658374417658	0.00881993758198019	0.125243113664119	0.164005608575693	0.050386720340133	0.082681261024922	0.0880636844723868	0.0900538242344747	0.00366366638020716	0.0166448052829165	0.0716902618843005	0.027273960830431	0.0024876747026098	0.00284951829571668	0.0116694558776969	0.00497534940521959	0.00352797503279208	0.003392283685377	0.00981500746302411	0.00895562892939527	0.00461350581211271	0.00425166221900583	0.00398027952417567	0.00217106155864128	0.0130263693518477	0.00199013976208784	0.0013569134741508	0.00474919715952779	0.000678456737075399	0.00601564973540187	0.001130761228459	0.00352797503279208	0.000859378533628839	0.000452304491383599	0.000814148084490479	0.000904608982767199	0.0018092179655344	4.52304491383599e-05	0.000723687186213759	0	0	0	0.00036184359310688	0.000542765389660319	0	0.00153783527070424	0.00036184359310688	0.000723687186213759	0.00031661314396852	0	0.00027138269483016	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_1	0.356353591160221	0.0414364640883978	0.0359116022099447	0.201657458563536	0.196132596685083	0.0220994475138122	0	0.146408839779006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_2	0.162049633110726	0.0143870063484211	0.236210734603018	0.11315854563443	0.0661637397971803	0.0469123588094649	0.040687608211724	0.0536317915739138	0.00461703355594031	0.0206117569461621	0.0277846483634265	0.066122516283288	0.00259708137521642	0.00234974029186248	0.00758512655618765	0.00432846895869404	0.00490559815318658	0.010305878473081	0.0112952428064968	0.00618352708384863	0.0035864457086322	0.00737900898672603	0.0148404650012367	0.00684310330612581	0.0124907247093742	0.00338032813917058	0.00206117569461621	0.011831148487097	0.00585373897271003	0.00816225575068019	0.00263830488910875	0.0025558578613241	0.00296809300024734	0.00098936433341578	0	0.00107181136120043	0.000948140819523456	0.000453458652815566	0.000329788111138593	0.000206117569461621	0.00115425838898508	0.000329788111138593	0.0010305878473081	0.0011954819028774	0.000535905680600214	0.00197872866683156	0.000329788111138593	0	0.000453458652815566	0.00144282298623135	0	0.000618352708384863	0.000247341083353945	0.000206117569461621	0
Hv_ccamk_HvSC_only_rhizo_3	0.115828589500316	0.0211891208096142	0.122549019607843	0.227980708412397	0.0564120809614168	0.0660974067046173	0.0528542061986085	0.0696157495256167	0.00537634408602151	0.0162476280834915	0.0375158127767236	0.0426944971537002	0.00268817204301075	0.0032416192283365	0.0071157495256167	0.00644370651486401	0.00446710942441493	0.00917141049968374	0.0127688172043011	0.00786685641998735	0.00169987349778621	0.00494149272612271	0.0190148640101202	0.00577166350411132	0.0267235926628716	0.0023719165085389	0.00205566097406705	0.0185404807084124	0.00770872865275142	0.00339974699557242	0.000909234661606578	0.00173940543959519	0.000988298545224541	0.00102783048703352	0.000672043010752688	0.000909234661606578	0	0.000276723592662872	0.000434851359898798	0.0010673624288425	0.00201612903225806	0.000513915243516762	0.00158127767235927	0	0.000553447185325743	0.00395319418089817	0.000355787476280835	0	0.000751106894370652	0.000592979127134725	0	0.000751106894370652	0.000395319418089817	0.000158127767235927	0
Hv_ccamk_HvSC_only_rhizo_4	0.0433222710557001	0.00600950757915508	0.181630639519239	0.175710826083057	0.0437707417705624	0.0381648578347834	0.140774957395282	0.119203516010405	0.0021078123598529	0.0137680509462732	0.144542111400126	0.014306215804108	0.000941788501210871	0.000717553143779711	0.0065925195084761	0.00542649564983407	0.00215265943133913	0.00609920172212754	0.0085657906538703	0.00278051843214638	0.00219750650282537	0.00183872993093551	0.00650282536550363	0.00264597721768769	0.00542649564983407	0.00103148264418333	0.00134541214458696	0.00430531886267827	0.000358776571889856	0.00461924836308189	0.0011211767871558	0.00215265943133913	0.00188357700242174	0.000762400215265943	0	0.000762400215265943	0.00130056507310073	0	0.000358776571889856	0	0	0.00044847071486232	0.000986635572697103	0.00044847071486232	0	0.00134541214458696	0.000358776571889856	0	0.000403623643376088	0	0.00022423535743116	0.000583011929321015	0	0	0
Hv_ccamk_HvSC_only_rhizo_5	0.0548161231312685	0.011228158708131	0.242982400807418	0.135242540844004	0.044407998486091	0.0664858386425282	0.109379928089321	0.101747303349524	0.00246010218886015	0.0169683971488046	0.114552450640257	0.0205639311171387	0.000883113606257491	0.00252318173216426	0.00574023844067369	0.00264934081877247	0.00510944300763262	0.00599255661389012	0.00838957925944616	0.00359553396833407	0.00145082949599445	0.0029016589919889	0.00693874976345171	0.00271242036207658	0.00965117012552829	0.000883113606257491	0.00189238629912319	0.00466788620450388	0.000693874976345171	0.00542484072415316	0	0.00176622721251498	0.00340629533842175	0.000567715889736958	0.000820034062953384	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000504636346432852	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_6	0.0694819659699512	0.0104270344566093	0.171998672922887	0.194795961893929	0.0422768851604341	0.0457367647755818	0.125598369590976	0.127588985259965	0.00246457178065311	0.0175363761315702	0.0743163183089246	0.0223707284705436	0.000568747333996872	0.00123228589032656	0.00691975923029527	0.0192900137447272	0.00431300061614294	0.00767808900895777	0.0125598369590976	0.00360206644864686	0.00208540689132186	0.00175363761315702	0.00507133039480544	0.00232238494715389	0.0047395611166406	0.00137447272382577	0.00151665955732499	0.00322290155931561	0.00170624200199062	0.00379164889331248	0.00109009905682734	0.00322290155931561	0.00137447272382577	0.00071093416749609	0.000663538556329684	0.000379164889331248	0.000189582444665624	0	0	0.00047395611166406	0	0	0.00047395611166406	0	0.000426560500497654	0.00137447272382577	0	0	0.000521351722830466	0	0.00047395611166406	0.000284373666998436	0	0	0
Hv_nsp1_HvSC_only_rhizo_1	0.0387680273771694	0.00679540454656563	0.0980689318015155	0.199511121975067	0.0250305548765583	0.240039110241995	0.0748961134197018	0.101246638963579	0.00175996088975801	0.0119775116108531	0.0534343681251528	0.0184307015399658	0.00102664385235884	0.00117330725983867	0.00611097531165974	0.0448790026888291	0.00542654607675385	0.00327548276704962	0.0138352481055977	0.00547543387924713	0.00151552187729162	0.00234661451967734	0.00894646785626986	0.00185773649474456	0.0155463211928624	0.000537765827426057	0.00112441945734539	0.00166218528477145	0.0013199706673185	0.00224883891469078	0.000684429234905891	0.00117330725983867	9.77756049865559e-05	0.000782204839892447	0.000879980444879003	0.000391102419946223	0.00156440967978489	0	0.000293326814959668	0	0.00161329748227817	0	0.000635541432412613	0.000391102419946223	0.000879980444879003	0	0.000146663407479834	0	0.00195551209973112	0.00024443901246639	0	0	0	0	0
Hv_nsp1_HvSC_only_rhizo_2	0.0525489210666834	0.00782108867041493	0.0545277507302824	0.306592957879197	0.0360272638753651	0.107265131764928	0.0770801268963784	0.0857806954172818	0.00298394949272859	0.0156421773408299	0.0631969092565254	0.021610076326287	0.00138203976505324	0.00543392907623206	0.00794672864905613	0.0430002826899519	0.0302164148632095	0.00430316926846122	0.0109306781417847	0.00643904890536169	0.00229292961020197	0.00270125954078588	0.0209504664384207	0.00301535948738889	0.00326663944467129	0.00279548952476678	0.000942299839809027	0.00182177969029745	0.00131921977573264	0.00213587963690046	0.00119357979709143	0.0034236894179728	0.000785249866507523	0.000942299839809027	0.00119357979709143	0.000628199893206018	0.00292112950340798	0.000408329930583912	0.000439739925244213	0.000282689951942708	0.00172754970631655	0.000157049973301505	0.000376919935923611	0	0.000596789898545717	0	0.000471149919904514	0.000314099946603009	0.000753839871847222	0.000816659861167824	0	0	0.000376919935923611	0	0.000219869962622106
Hv_nsp1_HvSC_only_rhizo_3	0.0892261001517451	0.00815087795360936	0.154042922176458	0.15113808801214	0.061825276392803	0.179232603511814	0.0795144157814871	0.0817255582050726	0.00303490136570561	0.0232820290483416	0.0482982874485151	0.0300455235204856	0.00130067201387383	0.00195100802081075	0.00906134836332105	0.0140906134836332	0.00672013873834815	0.00520268805549534	0.00693691740732712	0.00593973553002385	0.00177758508562757	0.00364188163884674	0.0102753089096033	0.00286147843052244	0.000693691740732712	0.00117060481248645	0.00138738348146542	0.00294818989811403	0.000910470409711684	0.00199436375460655	0.00086711467591589	0.00307825709950141	0.00104053761109907	0	0.00121396054628225	0.00108389334489486	0	0	0.00039020160416215	0.000606980273141123	0.000433557337957945	0.000433557337957945	0.000476913071753739	0	0.000303490136570561	0	0.000260134402774767	0	0.000737047474528506	0	0.000346845870366356	0	0.000173422935183178	0	0.000173422935183178
