ASV,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero
fae08432efa00b53bbd59c962536c4b1,NPK,Rhizosphere,symrk,-1.45765417409106,FALSE,TRUE
fce40fdeac3559446e5c46850cf7bef3,NPK,Rhizosphere,symrk,-0.652093954425601,FALSE,TRUE
fd604d13c717676914d91226e72cb5e4,NPK,Rhizosphere,symrk,-1.10735072762874,FALSE,TRUE
004a014a951c20c3af412e16b3e36bef,NPK,Rhizosphere,ccamk,0.682455789546611,FALSE,TRUE
0502f6e4952702c70dc6cf80c72a3ae5,NPK,Rhizosphere,ccamk,-1.44667628126237,FALSE,TRUE
06307d64e873ed21fbb1281ccf9d96a0,NPK,Rhizosphere,ccamk,-0.978251410847501,FALSE,TRUE
099c4a77564b32d1b1844be2f43ae662,NPK,Rhizosphere,ccamk,0.766782380007994,FALSE,TRUE
09cca2b7db7c3bc8a66ce5c86ac0a85b,NPK,Rhizosphere,ccamk,1.66652872094966,TRUE,FALSE
0fe746751d94a82b01d7b76e54f38f68,NPK,Rhizosphere,ccamk,1.23182682697145,TRUE,FALSE
10a2746f2499dbb29870e132890a1d8e,NPK,Rhizosphere,ccamk,1.30241354802833,TRUE,FALSE
125dcddaa1fb493f86f264319df4e7d6,NPK,Rhizosphere,ccamk,1.26164091182892,FALSE,TRUE
12addc27d95e3549f929486b4921c9d5,NPK,Rhizosphere,ccamk,1.20945510764618,FALSE,TRUE
16e66b9d7e5edca440d28b4ce2de9d89,NPK,Rhizosphere,ccamk,2.03501319027811,FALSE,TRUE
177704cdde10180f5cd124ed66f4af3f,NPK,Rhizosphere,ccamk,-1.29266099782928,FALSE,TRUE
1aa9ff69d18e158a08e513d6f4187adc,NPK,Rhizosphere,ccamk,1.31614128294078,TRUE,TRUE
1c8e822d87df798c4dce957c14fbcfa4,NPK,Rhizosphere,ccamk,-0.680054532490324,FALSE,TRUE
1d4425220c5bfcd5fa6519d70afeba74,NPK,Rhizosphere,ccamk,1.16011569235097,FALSE,TRUE
1d5d2c2b1b6b4e7201a1cecafb151fd2,NPK,Rhizosphere,ccamk,-1.91541976299455,FALSE,TRUE
2030ceb4a15edd2d21af70125f4b6d9e,NPK,Rhizosphere,ccamk,1.01686881611378,FALSE,TRUE
20a2237d17a3cdfe3011a6ee46a367d1,NPK,Rhizosphere,ccamk,1.02820848084892,TRUE,TRUE
20aa1a6a97c5f6e725375f2fb1c1b962,NPK,Rhizosphere,ccamk,0.639757702253895,FALSE,TRUE
23aa52af963757466432a6ae10cba086,NPK,Rhizosphere,ccamk,-0.781041905103134,FALSE,TRUE
24798dde4ae03d58a9c2919443cd8975,NPK,Rhizosphere,ccamk,-0.610081404266255,FALSE,TRUE
282cd3f59e9b405d927b50866abbb563,NPK,Rhizosphere,ccamk,1.27522028234049,FALSE,TRUE
2a23178c94690c88a5fb892b6640b2b9,NPK,Rhizosphere,ccamk,-1.20877401402632,FALSE,TRUE
2ab37ad0253a857563e780f440581449,NPK,Rhizosphere,ccamk,0.752085298013781,FALSE,TRUE
2b3321cdf96a54180d819f2e5f9f4944,NPK,Rhizosphere,ccamk,1.02081804417172,FALSE,TRUE
2f08cbcc357f44c3b167d0017888f47d,NPK,Rhizosphere,ccamk,1.08792524349186,FALSE,TRUE
306b5c24ae1132e82a0dbc892c7bb57f,NPK,Rhizosphere,ccamk,-0.769404782644406,TRUE,TRUE
350f57308dccc144a0409d41d3e77ece,NPK,Rhizosphere,ccamk,0.651578900601257,FALSE,TRUE
3764c2b61a5d0f5545c730f34bf5dc83,NPK,Rhizosphere,ccamk,1.66281288508428,TRUE,FALSE
38bae362d8c44c93bf5e3f8349a536e8,NPK,Rhizosphere,ccamk,0.831870541470723,FALSE,TRUE
3b4907f0dc235908b85d4eaba18c31cf,NPK,Rhizosphere,ccamk,0.902420115562887,FALSE,TRUE
3ddb0f9c11e6350dd64225c0ea04140f,NPK,Rhizosphere,ccamk,-0.679317213891914,FALSE,TRUE
41030fe9008ed45e94047c480f82aaff,NPK,Rhizosphere,ccamk,-0.662285687990245,FALSE,TRUE
41528bd61dbc1c492df8fb47fecc3c7e,NPK,Rhizosphere,ccamk,-1.28292134038031,TRUE,TRUE
43a9ea15139dc0eeeb85994d84d320dd,NPK,Rhizosphere,ccamk,0.689172816717655,FALSE,TRUE
44d07ee3bec489979110923b1926dcd8,NPK,Rhizosphere,ccamk,0.675035302441134,FALSE,TRUE
47434195fd695ea179567d759dcf5823,NPK,Rhizosphere,ccamk,0.69337132382424,FALSE,TRUE
484cd3b18c365be060121f12e0f4bba2,NPK,Rhizosphere,ccamk,3.04811461741244,TRUE,FALSE
4d2b98af52be0c2817f983d03bc74077,NPK,Rhizosphere,ccamk,0.665497181971642,FALSE,TRUE
4e674155ca2cae68d07f1e1f42e77546,NPK,Rhizosphere,ccamk,-0.846624728698545,FALSE,TRUE
4fa46258ac0a5fbd4335faf682c36ba4,NPK,Rhizosphere,ccamk,2.25454990512475,FALSE,TRUE
4fd3c68d15e3a71f734155cee05c413e,NPK,Rhizosphere,ccamk,0.81779289457886,FALSE,TRUE
