feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P2_H2	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P2_F5	P4_B11	P5_D12	P5_A5	P2_D8	P2_E3	P4_H6	P4_G10	P2_D9	P2_H3
Hv_symrk_HvSC_only_endo_6	-1.56243638161697	-2.18342719152234	-3.3870108370936	-6.07178183569343	-3.57624995698565	-6.12971660477757	-4.65655250142449	-4.57000392634654	-5.98107252342243	-7.39370993058079	-5.58635500852319	-6.2357717818186	-8.22037832769523	-6.5178462305929	-7.00578427691919	-8.2972470910795	-6.42866252941521	-5.97531899619214	-7.27941379799218	-6.91763164601149	-8.22037832769523	-9.79855166275375	-9.99410247187155	-9.71948009176255	-8.41691732174212	-9.42473682620141	-8.2972470910795	-10.2203783276952	-12.2397250854106	-8.89301634675724	-8.67217437698419	-9.55598135947967	-10.7388454166295	-9.59074677764034	-11.4247368262014	-11.1409438602008	-11.5559813594797	-12.0414081866499	-9.70037126881484	-10.9482987822584	-11.4888671636211	-14.9621911098817	-12.7783737808161	-15.0550069886909	-12.4888671636211	-12.6263706873711	-11.9482987822584	-15.2051441349396	-13.1409438602008	-14.8534070315053	-11.8608359410081	-13.3633362815373	-13.948326669413	-15.055091747157	-14.1141942033267	-13.1409438602008	-16.3924515957657	-13.3633362815373	-15.055091747157
Hv_ccamk_HvSC_only_endo_1	-2.34264139009578	-0.930551648210716	-4.58054792294767	-6.70250990256523	-5.05890721003089	-6.41434809741065	-3.95901102044364	-5.7356276442804	-9.29807270844013	-10.8703241574117	-6.723788976245	-5.1366843889523	-11.0738575514969	-7.48889505077571	-7.54460448336199	-9.65882005221802	-6.11262712166144	-6.7850963205447	-7.35338008011923	-8.99931059813181	-7.7873347927407	-10.2853616566906	-9.61045703065662	-11.2602706757277	-9.79632357596796	-11.030788829605	-9.87032415741173	-10.7259342480766	-10.4743954810806	-10.5332891701342	-8.40400615318919	-12.1182516708553	-13.796323575968	-11.796323575968	-12.1182516708553	-13.5332891701342	-12.658820052218	-11.1640553604684	-10.5946897147983	-11.1640553604684	-13.3108967487977	-14.9621911098817	-13.9621911098817	-12.948326669413	-11.8703241574117	-13.6263706873711	-14.3001278112402	-15.2051441349396	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-12.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_ccamk_HvSC_only_endo_2	-3.06967841931112	-1.03064486264236	-4.75220665954334	-7.25290024336689	-3.52787851399205	-5.43680168823731	-3.93969556673319	-5.20509952256519	-8.02612938151987	-8.66453114120249	-6.4266673111036	-4.98306065962799	-10.0705235008783	-6.4617142582028	-6.99584681458383	-7.81502276772994	-6.78142679845833	-6.31030255441182	-7.00013417298693	-8.13506375307304	-7.88465695556699	-7.90059849943601	-6.80373696018342	-10.5850966737081	-8.90059849943601	-9.77774175165048	-8.35902859422824	-10.3049887545153	-12.2397250854106	-8.65098460936454	-8.13506375307304	-9.43825528537881	-11.1445240823221	-10.0348995911476	-12.2225265943234	-10.9330199771284	-11.4855610001572	-13.169805287558	-10.6375640936022	-10.3480574764072	-12.3924515957657	-14.9621911098817	-11.2225265943234	-13.8074890950445	-12.3924515957657	-12.0705235008783	-13.0705235008783	-12.3924515957657	-13.3924515957657	-11.5850966737081	-13.3924515957657	-12.5850966737081	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-15.3924515957657	-15.3782101723221	-15.055091747157
Hv_ccamk_HvSC_only_endo_3	-1.9851460642331	-1.86576434983416	-2.1996513568114	-5.97160813440428	-5.20512017027231	-6.0194002328612	-5.15180219496384	-5.04988083931596	-6.4450891136393	-7.23011084915001	-5.2644506726252	-6.253569821974	-6.93954692517198	-7.53564998349834	-6.8414916981757	-8.8744518969501	-7.69245406320721	-6.50482706003144	-7.64514834842885	-7.24179265419764	-9.09684431828654	-10.8150733498712	-6.54526798605993	-9.34300490555594	-8.62971830785925	-11.1254134704833	-8.32632616440931	-8.67123757729751	-9.98790994673338	-10.1254134704833	-9.30983804162074	-10.4473415653707	-12.769269660258	-11.245707704201	-13.6097789665132	-12.769269660258	-12.769269660258	-13.169805287558	-12.3098380416207	-12.769269660258	-11.8623790646495	-14.9621911098817	-13.9621911098817	-13.769269660258	-13.4473415653707	-12.0688299421169	-12.9619147382004	-12.9619147382004	-14.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_ccamk_HvSC_only_endo_4	-2.29358839125299	-1.51159454153741	-2.21936494963246	-6.89806288861949	-6.14702210924156	-6.70836750510249	-4.92063330019481	-5.42413170028707	-6.16676604453997	-7.26670748241388	-5.35455083139183	-5.59894467664021	-7.11105661195368	-6.68784518122914	-7.01079248848025	-8.66359763498246	-8.30996068036776	-6.02102441109121	-8.81560072842751	-7.18966644665005	-8.6008618796345	-10.570488230591	-8.69601911267484	-10.6318887752551	-8.71250723546341	-11.9855257298698	-9.17817080781222	-8.02616771436717	-12.2397250854106	-10.1110566119537	-9.02616771436717	-9.22471339374925	-11.3480958092545	-10.6318887752551	-13.6097789665132	-14.5332891701342	-14.4383695322264	-10.9855257298698	-12.1554507313121	-11.3480958092545	-10.5115945415374	-14.9621911098817	-13.9621911098817	-15.0550069886909	-14.8832160400522	-13.6263706873711	-14.3001278112402	-15.2051441349396	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-12.3480958092545	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_ccamk_HvSC_only_endo_5	-3.33278314796173	-0.979840940097193	-2.68782412636253	-6.35119668828302	-5.54257790715125	-6.73992291044602	-4.04305311690011	-5.13101868801201	-6.80510707920615	-7.51504949960581	-5.68590437219916	-6.18422500423005	-8.18422500423005	-8.94503734035063	-6.97541098939415	-7.5603734901153	-7.31622055004004	-6.58878917227939	-8.07056822243449	-8.21610906524984	-8.57064182556913	-10.9450373403506	-9.76918750495121	-10.2404932238768	-9.36007483962947	-11.5299998410718	-8.7810616052395	-10.4904714768851	-12.2397250854106	-9.67755702948564	-9.61246200126376	-10.5706418255691	-12.1149623417929	-10.1763628864571	-13.6097789665132	-12.2404932238768	-14.4383695322264	-11.7930342469056	-14.1227309492764	-11.1763628864571	-10.8419438473865	-14.9621911098817	-11.6124620012638	-15.0550069886909	-12.8925699204565	-13.6263706873711	-14.3001278112402	-15.2051441349396	-13.1149623417929	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_ccamk_HvSC_only_endo_6	-2.38241550722757	-1.339698708244	-2.46369015779034	-6.30298103973316	-5.79540559302822	-6.60510065354034	-4.46834251603323	-5.10163626684038	-7.18801532561264	-7.48710344414189	-5.32138087806514	-5.84294515091284	-8.20655127705007	-7.41348058099871	-6.79774573148274	-7.88462318216271	-9.06453227217764	-6.56468638509444	-8.52537346106961	-8.37803174499442	-8.57267917584797	-10.7426041772903	-9.67221484939888	-12.2602706757277	-9.13379493461475	-10.2065512770501	-8.29634794740072	-9.33661181761444	-12.2397250854106	-9.47956977145648	-7.82612753285256	-13.0645322721776	-11.8946072707353	-9.85507890654869	-13.6097789665132	-12.7426041772903	-14.4383695322264	-13.169805287558	-11.8946072707353	-13.769269660258	-10.8946072707353	-14.9621911098817	-10.2065512770501	-15.0550069886909	-11.8946072707353	-13.6263706873711	-14.3001278112402	-15.2051441349396	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_nsp1_HvSC_only_endo_1	-1.37200846758504	-2.08790991522167	-3.50032038047665	-5.7028707719588	-5.17587482539682	-6.33698527162258	-4.28805294455566	-5.39400521987911	-6.01997452872855	-8.40682926023669	-5.84301256838708	-5.63256512464751	-8.9747182475989	-5.88028344574086	-6.68366946559551	-7.38410918373661	-5.56872588792307	-6.55756069644569	-6.92878196343205	-7.65618872917341	-8.31801999327883	-9.74025299396188	-11.2141841822943	-9.65618872917341	-9.00906975238968	-9.36174137070815	-8.84495037262858	-10.576754261679	-9.95784442903451	-9.89225608740693	-8.69760865655339	-11.7991466830155	-11.6836694655955	-10.6292216815731	-10.2966463424863	-11.4772185881281	-14.4383695322264	-11.0621810888492	-14.1227309492764	-11.136181670293	-11.2966463424863	-14.9621911098817	-13.9621911098817	-15.0550069886909	-14.8832160400522	-13.6263706873711	-14.3001278112402	-15.2051441349396	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_nsp1_HvSC_only_endo_2	-2.68136815529527	-1.44296749377015	-3.47116610257265	-5.78539697449412	-3.89966142615162	-4.99363068655796	-3.93740006793917	-4.56944770473006	-6.92422467919143	-7.92131308377153	-5.6311455590379	-5.58664331999259	-8.59010717529616	-6.78539697449412	-6.59938498888417	-6.56944770473006	-6.03158834286937	-6.08271909985734	-7.28679475857614	-7.51795738954032	-7.68568483527839	-7.47890461297655	-10.7880465529081	-9.74622637721344	-8.02376035274235	-9.10732506938148	-8.35980955587436	-10.7462263772134	-10.2607995500432	-9.17506967601731	-8.66605602852946	-11.9686187985499	-10.553581299271	-10.1475889395952	-12.553581299271	-10.3836562978287	-11.7055843927161	-9.78804655290807	-10.2607995500432	-10.3836562978287	-10.5901071752962	-12.8755093941584	-13.9621911098817	-13.2905468934373	-11.553581299271	-12.0681544721008	-14.3001278112402	-15.2051441349396	-11.8755093941584	-14.8534070315053	-14.3924515957657	-12.8755093941584	-11.9686187985499	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-12.4160777755211
Hv_nsp1_HvSC_only_endo_3	-1.44316288324307	-1.84951813942211	-2.76671922777366	-5.51984654055802	-5.88432620995136	-7.19199361171356	-4.82719157886961	-6.03103111513963	-6.89776458427617	-8.3257179714403	-5.24990218974156	-6.35985065635944	-8.5742943245804	-6.24253522033334	-7.43903449496993	-7.76517894465836	-7.83732873041419	-7.15464019723119	-8.43343178874055	-7.87480343583286	-8.09593088993273	-9.25483448528379	-10.6373041221062	-10.6897715420003	-9.06961961281688	-10.5866780490362	-9.66329933063915	-9.74421932602271	-12.2397250854106	-10.5377684485553	-10.6124620012638	-12.1227309492764	-11.1967315307202	-10.4904627337769	-9.53776844855529	-12.4446590441638	-14.4383695322264	-11.8596965434426	-13.1227309492764	-10.9852274255265	-10.9210970881068	-14.9621911098817	-13.9621911098817	-15.0550069886909	-11.9852274255265	-13.6263706873711	-12.6373041221062	-12.2747340427215	-13.8596965434426	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_nsp1_HvSC_only_endo_4	-1.85215904328963	-1.78661168696733	-3.41486723160319	-4.3134730882768	-4.99504322651622	-5.90168948390061	-4.95646619440552	-5.28890055581691	-5.19758964952773	-6.87386305653807	-5.50292950421874	-5.77432738298716	-6.88589561203297	-5.46272514078152	-6.60763684621457	-7.06582358166056	-7.52252023257662	-6.53383554580445	-8.16496822795853	-8.10185818410389	-7.66039950708812	-7.90781038846141	-8.36601574689663	-8.41399577579845	-8.16496822795853	-8.71516531051901	-8.86907799397269	-10.5839207772408	-12.2397250854106	-9.85955521985419	-9.00945065033724	-11.5839207772408	-10.6156296369681	-9.69809179716007	-10.6156296369681	-11.7855546384104	-10.7499307286797	-9.74993072867969	-11.6480511146605	-10.7499307286797	-11.7855546384104	-14.9621911098817	-12.3001278112402	-15.0550069886909	-11.9375577318555	-10.9781997163528	-13.3001278112402	-12.5225202325766	-11.1074827332978	-12.6480511146605	-12.9375577318555	-14.6201816342184	-13.948326669413	-15.055091747157	-13.1074827332978	-12.9375577318555	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_nsp1_HvSC_only_endo_5	-1.66148245801223	-1.83947398894525	-2.64177574956637	-5.9822044541467	-5.40485277501582	-6.89010006201522	-4.15225504384075	-5.77539640763842	-7.04657836662033	-8.10663975710623	-5.41476205246856	-5.20794964259957	-8.63715447380501	-7.40037096016294	-7.37201240500923	-7.82618829819503	-7.44398219138356	-6.35803946245662	-8.60379587685858	-7.90018887963881	-8.78822044799601	-10.100810678304	-8.92572397174594	-11.100810678304	-8.69745498407283	-10.4111507989162	-9.23482802627572	-9.82618829819503	-10.3001194865274	-9.86518242981089	-10.6124620012638	-10.6974549840728	-12.7330788938035	-11.2476520666333	-11.4111507989162	-14.5332891701342	-12.7330788938035	-11.0106128693325	-12.3545672705498	-11.3545672705498	-12.7330788938035	-14.9621911098817	-13.9621911098817	-14.0550069886909	-13.7330788938035	-13.6263706873711	-14.3001278112402	-15.2051441349396	-15.769269660258	-12.5955753700536	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_nsp1_HvSC_only_endo_6	-2.22086615495836	-1.82411980453701	-1.81666103448051	-5.93852364514321	-4.97586725962915	-6.97484515895523	-5.00896279071243	-5.3469341459028	-6.92266969394237	-8.07204731798059	-5.20474985546671	-6.67681829978193	-8.8090129121468	-8.12548657694206	-7.57418338757213	-7.67681829978193	-8.05466523975236	-6.31683601488638	-9.19044201878283	-7.9069880717101	-9.46108960872649	-9.35090669097607	-11.3509066909761	-10.0460521094477	-8.44968484545424	-11.1904420187828	-8.55572648286457	-9.01210477752431	-9.06333010087949	-9.28862241272173	-10.6124620012638	-10.0121047775243	-11.3509066909761	-10.3090865152814	-13.6097789665132	-11.9789379135891	-13.4383695322264	-9.85340703150525	-14.1227309492764	-11.0460521094477	-11.4383695322264	-14.9621911098817	-13.9621911098817	-13.116441437339	-12.8534070315053	-13.6263706873711	-12.8534070315053	-15.2051441349396	-15.769269660258	-13.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-13.4383695322264
Hv_nsp2_HvSC_only_endo_1	-2.45265125510178	-3.02345478166609	-1.61741012579853	-4.95445199404566	-3.79809568225178	-5.61258090732878	-5.57147570399911	-4.79809568225178	-5.80165642870983	-6.98651320327795	-4.98786467414108	-7.45475209769743	-7.50031467507787	-6.63358120594134	-7.00281501560705	-5.57960358488251	-6.35024160873122	-5.41967525049272	-8.8772841335232	-7.56339335770125	-7.99192669946432	-6.928268062242	-10.3467694168244	-10.140318539357	-7.82804061450335	-9.40335294519078	-7.97039353791468	-9.62094438026341	-9.46224663424435	-8.63781819882781	-10.6124620012638	-10.4033529451908	-10.7992816215219	-9.40335294519078	-11.8772841335232	-11.140318539357	-11.8772841335232	-10.0028150156071	-11.5877775163282	-10.2398542129079	-10.9597462937152	-13.4622466342444	-11.8772841335232	-15.0550069886909	-14.8832160400522	-13.6263706873711	-11.3467694168244	-14.0472091349655	-13.4622466342444	-12.7252810400781	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-12.0472091349655	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
