x,y,SampleID,Genotype,Compartment,Inoculum,Description,Bio_rep,Host
-0.266612421481817,0.0065515071342623,Hv_nsp1_HvSC_only_rhizo_1,nsp1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_1,1,Hordeum
-0.239479623636441,-0.0600516210953325,Hv_nsp1_HvSC_only_rhizo_2,nsp1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_2,2,Hordeum
-0.0900543017549685,0.092468092536388,Hv_nsp1_HvSC_only_rhizo_3,nsp1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_3,3,Hordeum
0.0364798844999774,-0.0171395137198504,Hv_nsp1_HvSC_only_rhizo_4,nsp1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_4,4,Hordeum
-0.0452175667137318,0.123036699805038,Hv_nsp1_HvSC_only_rhizo_5,nsp1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_5,5,Hordeum
-0.0801343564784223,0.00919082006265494,Hv_nsp1_HvSC_only_rhizo_6,nsp1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_6,6,Hordeum
-0.188466038650885,0.138219294651667,Hv_nsp2_HvSC_only_rhizo_1,nsp2,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_1,1,Hordeum
-0.0539504430917631,-0.00588544940540841,Hv_nsp2_HvSC_only_rhizo_2,nsp2,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_2,2,Hordeum
-0.0560320587146142,0.0473337617101669,Hv_nsp2_HvSC_only_rhizo_3,nsp2,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_3,3,Hordeum
0.105387638282575,0.10630834506943,Hv_nsp2_HvSC_only_rhizo_4,nsp2,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_4,4,Hordeum
0.127760339492317,0.0255461749277075,Hv_nsp2_HvSC_only_rhizo_5,nsp2,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_5,5,Hordeum
0.00382486127364324,-0.000736914482353978,Hv_nsp2_HvSC_only_rhizo_6,nsp2,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_6,6,Hordeum
-0.176594533380764,-0.0163958190574944,Hv_symrk_HvSC_only_rhizo_1,symrk,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_1,1,Hordeum
-0.0696215925019139,-0.112174543463719,Hv_symrk_HvSC_only_rhizo_2,symrk,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_2,2,Hordeum
-0.116071317609568,-0.101465814397792,Hv_symrk_HvSC_only_rhizo_3,symrk,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_3,3,Hordeum
-0.0970999800959177,-0.0262543607930401,Hv_symrk_HvSC_only_rhizo_4,symrk,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_4,4,Hordeum
0.0288988567035987,-0.0266900749158145,Hv_symrk_HvSC_only_rhizo_5,symrk,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_5,5,Hordeum
-0.0420343288164891,-0.018557062372203,Hv_symrk_HvSC_only_rhizo_6,symrk,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_6,6,Hordeum
-0.268846116414258,0.032614889900006,Hv_WT_HvSC_only_endo_1,WT,Root,SC,Hv_WT_HvSC_only_endo_1,1,Hordeum
-0.0361217702429103,0.0635434777394288,Hv_WT_HvSC_only_endo_2,WT,Root,SC,Hv_WT_HvSC_only_endo_2,2,Hordeum
-0.0112129105191135,0.0953714348728504,Hv_WT_HvSC_only_endo_3,WT,Root,SC,Hv_WT_HvSC_only_endo_3,3,Hordeum
-0.0818033012649488,0.0323369812709121,Hv_WT_HvSC_only_endo_4,WT,Root,SC,Hv_WT_HvSC_only_endo_4,4,Hordeum
0.00147263750433394,0.0472421347501071,Hv_WT_HvSC_only_endo_5,WT,Root,SC,Hv_WT_HvSC_only_endo_5,5,Hordeum
0.176606704836777,0.065361829828663,Hv_ccamk_HvSC_only_endo_1,ccamk,Root,SC,Hv_ccamk_HvSC_only_endo_1,1,Hordeum
0.204995821972425,0.143017643591527,Hv_ccamk_HvSC_only_endo_2,ccamk,Root,SC,Hv_ccamk_HvSC_only_endo_2,2,Hordeum
-0.00367657453396255,-0.14693540141993,Hv_ccamk_HvSC_only_endo_3,ccamk,Root,SC,Hv_ccamk_HvSC_only_endo_3,3,Hordeum
0.104532763609018,-0.138876777480487,Hv_ccamk_HvSC_only_endo_4,ccamk,Root,SC,Hv_ccamk_HvSC_only_endo_4,4,Hordeum
0.24657987458387,-0.075243046287865,Hv_ccamk_HvSC_only_endo_5,ccamk,Root,SC,Hv_ccamk_HvSC_only_endo_5,5,Hordeum
0.13769332072638,-0.105725996384268,Hv_ccamk_HvSC_only_endo_6,ccamk,Root,SC,Hv_ccamk_HvSC_only_endo_6,6,Hordeum
-0.119135320793783,-0.00483967766754602,Hv_nsp1_HvSC_only_endo_1,nsp1,Root,SC,Hv_nsp1_HvSC_only_endo_1,1,Hordeum
0.104206912687095,0.0408355247065291,Hv_nsp1_HvSC_only_endo_2,nsp1,Root,SC,Hv_nsp1_HvSC_only_endo_2,2,Hordeum
-0.0803246058283438,-0.104159095252086,Hv_nsp1_HvSC_only_endo_3,nsp1,Root,SC,Hv_nsp1_HvSC_only_endo_3,3,Hordeum
-0.0386406405734422,-0.0342766640433254,Hv_nsp1_HvSC_only_endo_4,nsp1,Root,SC,Hv_nsp1_HvSC_only_endo_4,4,Hordeum
-0.0246744364723482,-0.0871330362807881,Hv_nsp1_HvSC_only_endo_5,nsp1,Root,SC,Hv_nsp1_HvSC_only_endo_5,5,Hordeum
0.0393542390376952,-0.187003355019628,Hv_nsp1_HvSC_only_endo_6,nsp1,Root,SC,Hv_nsp1_HvSC_only_endo_6,6,Hordeum
-0.0526201253330142,-0.191193590994435,Hv_nsp2_HvSC_only_endo_1,nsp2,Root,SC,Hv_nsp2_HvSC_only_endo_1,1,Hordeum
0.143525902365505,0.108031882555864,Hv_nsp2_HvSC_only_endo_2,nsp2,Root,SC,Hv_nsp2_HvSC_only_endo_2,2,Hordeum
0.00677848575579769,0.0372861836972319,Hv_nsp2_HvSC_only_endo_3,nsp2,Root,SC,Hv_nsp2_HvSC_only_endo_3,3,Hordeum
0.104210720128615,-0.00284690548972615,Hv_nsp2_HvSC_only_endo_4,nsp2,Root,SC,Hv_nsp2_HvSC_only_endo_4,4,Hordeum
0.0870503140123795,0.114438869408318,Hv_nsp2_HvSC_only_endo_5,nsp2,Root,SC,Hv_nsp2_HvSC_only_endo_5,5,Hordeum
-0.00475571655015276,0.00507175534439292,Hv_nsp2_HvSC_only_endo_6,nsp2,Root,SC,Hv_nsp2_HvSC_only_endo_6,6,Hordeum
-0.0713123559874712,0.10092907595549,Hv_symrk_HvSC_only_endo_1,symrk,Root,SC,Hv_symrk_HvSC_only_endo_1,1,Hordeum
-0.200504675472123,-0.0211316452501795,Hv_symrk_HvSC_only_endo_2,symrk,Root,SC,Hv_symrk_HvSC_only_endo_2,2,Hordeum
-0.143009175991864,0.0980150616581767,Hv_symrk_HvSC_only_endo_3,symrk,Root,SC,Hv_symrk_HvSC_only_endo_3,3,Hordeum
0.0792407607205619,0.0536064100685623,Hv_symrk_HvSC_only_endo_4,symrk,Root,SC,Hv_symrk_HvSC_only_endo_4,4,Hordeum
-0.190956504293272,0.0535618534402765,Hv_symrk_HvSC_only_endo_5,symrk,Root,SC,Hv_symrk_HvSC_only_endo_5,5,Hordeum
-0.108654227669446,0.00810018278192712,Hv_symrk_HvSC_only_endo_6,symrk,Root,SC,Hv_symrk_HvSC_only_endo_6,6,Hordeum
