"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"G29_LjRoot226","G29_LjRoot226",22,5,13,14,1,25,11,1,14,19,0,23,39,18,25,11,36,13,57,21,17,23,41,21,29,14,19,23,20,25,24,15,28,14,13,33,23,15,9,9,23,28,21,22
"G22_LjRoot238","G22_LjRoot238",18,1,11,13,1,14,32,0,27,15,2,14,24,27,9,25,30,24,9,29,14,23,28,23,14,11,23,19,18,24,29,20,18,18,12,22,4,35,16,36,7,16,26,17
"LjRoot237","LjRoot237",21,1,9,14,2,10,24,1,6,9,0,7,34,29,25,18,31,27,23,32,19,18,27,17,33,23,52,25,38,25,13,17,27,26,16,11,16,15,15,13,15,11,19,6
"G7_LjRoot117","G7_LjRoot117",10,0,11,12,0,14,5,0,11,8,1,10,38,20,11,13,25,13,39,22,59,54,58,35,27,28,16,36,33,12,10,14,13,23,5,12,2,20,2,18,11,23,20,15
"LjRoot10","LjRoot10",17,0,20,13,0,22,9,0,19,34,8,18,30,28,14,15,23,36,27,41,7,14,4,10,8,15,0,27,14,14,14,25,7,20,4,15,7,15,14,18,7,20,43,13
"LjRoot229","LjRoot229",8,0,5,6,0,6,29,0,9,17,12,10,14,8,27,14,21,12,20,10,28,9,32,10,31,15,0,0,39,11,32,18,30,20,12,9,16,7,24,8,20,10,6,6
"G5_LjRoot105","G5_LjRoot105",0,0,5,0,0,13,0,0,11,0,0,15,31,39,0,19,0,27,39,47,0,20,0,39,0,16,0,19,0,31,0,33,0,18,0,8,0,13,0,27,0,13,37,13
"LjRoot11","LjRoot11",11,6,20,20,2,16,7,0,21,17,3,16,12,21,5,5,2,7,12,18,6,22,6,17,18,17,58,9,9,10,17,18,6,8,7,14,9,12,7,12,8,18,20,16
"G36_LjRoot142","G36_LjRoot142",12,2,13,10,0,23,13,0,14,9,0,16,0,22,0,33,9,12,7,14,4,17,12,9,9,13,0,11,12,13,6,13,16,14,2,5,3,21,5,19,11,18,17,20
"G14_LjRoot22","G14_LjRoot22",36,0,5,13,0,7,21,0,16,24,0,13,0,5,12,17,2,2,1,2,6,12,16,10,15,16,17,13,12,9,14,12,26,12,35,27,8,9,28,16,8,30,5,30
