Number	Nodule_type	Genotype
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
0	pink	nsp1
