Number	Nodule_type	Genotype
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	white	nsp2
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
0	pink	symrk
