ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_rhizo,Lj_Gifu_LjSC_2_rhizo,Lj_Gifu_LjSC_3_rhizo,Lj_Gifu_LjSC_4_rhizo,Lj_symrk_LjSC_1_rhizo,Lj_symrk_LjSC_2_rhizo,Lj_symrk_LjSC_3_rhizo,Lj_symrk_LjSC_4_rhizo,Lj_ccamk_LjSC_1_rhizo,Lj_ccamk_LjSC_2_rhizo,Lj_ccamk_LjSC_3_rhizo,Lj_ccamk_LjSC_4_rhizo,Lj_nsp1_LjSC_1_rhizo,Lj_nsp1_LjSC_2_rhizo,Lj_nsp1_LjSC_3_rhizo,Lj_nsp1_LjSC_4_rhizo,Lj_nsp2_LjSC_1_rhizo,Lj_nsp2_LjSC_2_rhizo,Lj_nsp2_LjSC_3_rhizo,Lj_nsp2_LjSC_4_rhizo
G32_LjRoot291,-0.00780113703164432,0.0379895418142964,0.573284986980439,0.555419764769491,0,0,1,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0.0190869111846579,0.0195806766290133,0.0234806398012789,0.0206765643007254,0.0209562247749146,0.0174082735762851,0.0204384090439098,0.0238145460681741,0.0232728951565517,0.0296417716763993,0.0211212142908284,0.013836369886559,0.0277861959239336,0.029974240886738,0.0312909215283886,0.0341089048605189,0.0292735405696167,0.0282337727648263,0.0308696128961509,0.0331717464385877
G33_LjRoot104,0.869222311533248,0.40703202647244,-0.175028427712609,0.602449152198621,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,0,0.000622057596878402,0.0007384904583676,0,0.000481217013349891,0.00142487648489166,0.000620390156476184,0.000696085048936888,0.000566607907328129,0,0.00116942316412496,0.000515641113784806,0.000587165694370786,0.000481357167017927,0,0,0.000773833116282581,0,0.000950396607815184,0.000798647870581899
G34_LjRoot233,0.0482598657548544,-Inf,-0.0505898454404508,-0.159333525984179,0,-1,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0.000241797766393133,0.000282753453126546,0.000218190362699518,0,0.000217323812480596,0.000325243545464401,0.000241262838629627,0,0,0,0,0,0.000416698234714751,0.000286212369578227,0,0,0,0,0.000237599151953796,0.000371464125852046
G35_LjRoot145,Inf,Inf,Inf,Inf,1,1,1,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0,0,0,0,0.00158335920521577,0.00153329100004646,0.00151650927138623,0,0.00216150423906657,0,0.00187346364048591,0.00259539360605019,0.00104174558678688,0.00124892670361408,0,0.00186786859950461,0.00141554838344375,0.00143683321958404,0.00106005775487078,0.00146728329711558
G36_LjRoot142,0.075066799239926,0.0150331513482113,-0.249147736869673,-0.228855107490458,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,0.00302247207991416,0.00291236056720343,0.00255114885617898,0.00279642058165548,0.00276311704439615,0.00298914306069664,0.00323981526159785,0.00288980762740466,0.00243431545370604,0.00361984769320083,0.00247010811197823,0.00300790649707803,0.00217819531782711,0.00202950589337288,0.00287305775432425,0.00247695618629959,0.00235924730573958,0.00244261647329286,0.00210183865189897,0.00274883453130514
G37_LjNodule209,-2.23571443180509,-2.6671714116882,-1.58737248605999,-2.38005170237351,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,0.00429191035347811,0.00315270100236099,0.00214833587888756,0.00623686529726798,0,0.000929267272755432,0.00680705866133591,0,0.000482665995131369,0,0.00150354406816066,0.000635957373667927,0.00102280475793621,0.00149611011370437,0.00119222124499169,0.00121817517358996,0,0.00114946657566723,0.00126110319113938,0.000705781839118887
G3_LjRoot129,1.5235048139243,1.53668513063566,1.00961507328525,1.3797051491255,1,1,1,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0184219673270768,0.0221820083977776,0.0216176297813061,0.0231340248118772,0.0644986029183484,0.0788483280932984,0.0602467774177983,0.0455619304758691,0.0633131872744061,0.0491752894170679,0.0698790005011814,0.0665520797524923,0.0369346162588075,0.0549657846121822,0.0505814521645656,0.0326877004913307,0.0577732480229508,0.0649089406947089,0.0585407756698468,0.0426812280604001
G4_LjRoot26,-0.105666252877454,0.540375698246972,0.274826269500074,0.476022605921106,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,0.00554623626664249,0.00995292155005443,0.00840872090095836,0.0129821707002915,0.00841353616889165,0.00935462387907135,0.0110980905769628,0.00514681066486669,0.0139133719466129,0.0106546460403647,0.0107634662657216,0.0168958404950155,0.0091863019925752,0.013881299924544,0.00783738884002736,0.0129126568400536,0.015382292433422,0.00951902007974424,0.0112219907153562,0.0137255994502331
G5_LjRoot105,0.381880272820351,1.38931638030971,0.919490582752456,0.870222580785309,0,1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0017076967251515,0.00216306391641808,0.00234974236753327,0.00228798047589994,0.00212666873641726,0.00425914166679573,0.00277452264424071,0.00227809652379345,0.00705112062452783,0.0032442031212649,0.00461802820935061,0.0088518391199725,0.00395863322979014,0.00650482658132334,0.00328349457637057,0.00300483209485524,0.0045486288054659,0.00714824526743058,0.00296085097050115,0.00230307758028268
G6_LjRoot130,0.602645334475553,0.091011981202038,0.629564257209123,1.03373638646284,0,0,0,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0.00403500022668541,0.00670125683909915,0.00667998187341602,0.00813504169208867,0.00748214840111767,0.0112286462124615,0.0105466326600951,0.00881707728653392,0.00533031142449425,0.0101082539357306,0.00726712966277654,0.00482983843245101,0.00791726645958027,0.00910675721385268,0.0108863480895143,0.0107199415275917,0.0115320008304551,0.0121412407054851,0.0149504697152466,0.0123326089782879
