Soil_type	Genotype	pink	white	total
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
PK	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
UF	ccamk	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
NPK	nsp1	0	0	0
