SampleID	Plant	Genotype	Compartment	Description	Soil	Bio_rep	Growth_condition
UF_Lj_WT_1_nod	Lotus	WT	Nodules	UF_Lj_WT_1_nod	UF	1	Lj
UF_Lj_WT_2_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_2_rhizo	UF	2	Lj
UF_Lj_WT_2_endo	Lotus	WT	Root	UF_Lj_WT_2_endo	UF	2	Lj
UF_Lj_WT_2_nod	Lotus	WT	Nodules	UF_Lj_WT_2_nod	UF	2	Lj
UF_Lj_WT_3_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_3_rhizo	UF	3	Lj
UF_Lj_WT_3_endo	Lotus	WT	Root	UF_Lj_WT_3_endo	UF	3	Lj
UF_Lj_WT_3_nod	Lotus	WT	Nodules	UF_Lj_WT_3_nod	UF	3	Lj
UF_Lj_WT_4_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_4_rhizo	UF	4	Lj
UF_Lj_WT_4_endo	Lotus	WT	Root	UF_Lj_WT_4_endo	UF	4	Lj
UF_Lj_WT_4_nod	Lotus	WT	Nodules	UF_Lj_WT_4_nod	UF	4	Lj
UF_Lj_WT_5_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_5_rhizo	UF	5	Lj
UF_Lj_WT_5_endo	Lotus	WT	Root	UF_Lj_WT_5_endo	UF	5	Lj
UF_Lj_WT_5_nod	Lotus	WT	Nodules	UF_Lj_WT_5_nod	UF	5	Lj
UF_Lj_WT_6_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_6_rhizo	UF	6	Lj
UF_Lj_WT_6_endo	Lotus	WT	Root	UF_Lj_WT_6_endo	UF	6	Lj
UF_Lj_WT_6_nod	Lotus	WT	Nodules	UF_Lj_WT_6_nod	UF	6	Lj
UF_Lj_symrk_1_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_1_rhizo	UF	1	Lj
UF_Lj_symrk_1_endo	Lotus	symrk	Root	UF_Lj_symrk_1_endo	UF	1	Lj
UF_Lj_symrk_2_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_2_rhizo	UF	2	Lj
UF_Lj_symrk_2_endo	Lotus	symrk	Root	UF_Lj_symrk_2_endo	UF	2	Lj
UF_Lj_symrk_3_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_3_rhizo	UF	3	Lj
UF_Lj_symrk_3_endo	Lotus	symrk	Root	UF_Lj_symrk_3_endo	UF	3	Lj
UF_Lj_symrk_4_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_4_rhizo	UF	4	Lj
UF_Lj_symrk_4_endo	Lotus	symrk	Root	UF_Lj_symrk_4_endo	UF	4	Lj
UF_Lj_symrk_5_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_5_rhizo	UF	5	Lj
UF_Lj_symrk_5_endo	Lotus	symrk	Root	UF_Lj_symrk_5_endo	UF	5	Lj
UF_Lj_symrk_6_rhizo	Lotus	symrk	Rhizosphere	UF_Lj_symrk_6_rhizo	UF	6	Lj
UF_Lj_symrk_6_endo	Lotus	symrk	Root	UF_Lj_symrk_6_endo	UF	6	Lj
UF_Lj_ccamk_1_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_1_rhizo	UF	1	Lj
UF_Lj_ccamk_1_endo	Lotus	ccamk	Root	UF_Lj_ccamk_1_endo	UF	1	Lj
UF_Lj_ccamk_2_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_2_rhizo	UF	2	Lj
UF_Lj_ccamk_2_endo	Lotus	ccamk	Root	UF_Lj_ccamk_2_endo	UF	2	Lj
UF_Lj_ccamk_3_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_3_rhizo	UF	3	Lj
UF_Lj_ccamk_3_endo	Lotus	ccamk	Root	UF_Lj_ccamk_3_endo	UF	3	Lj
UF_Lj_ccamk_4_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_4_rhizo	UF	4	Lj
UF_Lj_ccamk_4_endo	Lotus	ccamk	Root	UF_Lj_ccamk_4_endo	UF	4	Lj
UF_Lj_ccamk_5_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_5_rhizo	UF	5	Lj
UF_Lj_ccamk_5_endo	Lotus	ccamk	Root	UF_Lj_ccamk_5_endo	UF	5	Lj
UF_Lj_ccamk_6_rhizo	Lotus	ccamk	Rhizosphere	UF_Lj_ccamk_6_rhizo	UF	6	Lj
UF_Lj_ccamk_6_endo	Lotus	ccamk	Root	UF_Lj_ccamk_6_endo	UF	6	Lj
UF_Lj_nsp1_1_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_1_rhizo	UF	1	Lj
UF_Lj_nsp1_1_endo	Lotus	nsp1	Root	UF_Lj_nsp1_1_endo	UF	1	Lj
UF_Lj_nsp1_2_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_2_rhizo	UF	2	Lj
UF_Lj_nsp1_2_endo	Lotus	nsp1	Root	UF_Lj_nsp1_2_endo	UF	2	Lj
UF_Lj_nsp1_3_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_3_rhizo	UF	3	Lj
UF_Lj_nsp1_3_endo	Lotus	nsp1	Root	UF_Lj_nsp1_3_endo	UF	3	Lj
UF_Lj_nsp1_4_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_4_rhizo	UF	4	Lj
UF_Lj_nsp1_4_endo	Lotus	nsp1	Root	UF_Lj_nsp1_4_endo	UF	4	Lj
UF_Lj_nsp1_5_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_5_rhizo	UF	5	Lj
UF_Lj_nsp1_5_endo	Lotus	nsp1	Root	UF_Lj_nsp1_5_endo	UF	5	Lj
UF_Lj_nsp1_6_rhizo	Lotus	nsp1	Rhizosphere	UF_Lj_nsp1_6_rhizo	UF	6	Lj
UF_Lj_nsp1_6_endo	Lotus	nsp1	Root	UF_Lj_nsp1_6_endo	UF	6	Lj
UF_Lj_nsp2_1_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_1_rhizo	UF	1	Lj
UF_Lj_nsp2_1_endo	Lotus	nsp2	Root	UF_Lj_nsp2_1_endo	UF	1	Lj
UF_Lj_nsp2_2_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_2_rhizo	UF	2	Lj
UF_Lj_nsp2_2_endo	Lotus	nsp2	Root	UF_Lj_nsp2_2_endo	UF	2	Lj
UF_Lj_nsp2_3_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_3_rhizo	UF	3	Lj
UF_Lj_nsp2_3_endo	Lotus	nsp2	Root	UF_Lj_nsp2_3_endo	UF	3	Lj
UF_Lj_nsp2_4_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_4_rhizo	UF	4	Lj
UF_Lj_nsp2_4_endo	Lotus	nsp2	Root	UF_Lj_nsp2_4_endo	UF	4	Lj
UF_Lj_nsp2_5_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_5_rhizo	UF	5	Lj
UF_Lj_nsp2_5_endo	Lotus	nsp2	Root	UF_Lj_nsp2_5_endo	UF	5	Lj
UF_Lj_nsp2_6_rhizo	Lotus	nsp2	Rhizosphere	UF_Lj_nsp2_6_rhizo	UF	6	Lj
UF_Lj_nsp2_6_endo	Lotus	nsp2	Root	UF_Lj_nsp2_6_endo	UF	6	Lj
