feature	LjRoot221	LjRoot149	G37_LjNodule209	LjRoot228	LjRoot223	G21_LjRoot111	G3_LjRoot129	LjRoot196	G8_LjRoot126	LjRoot259	G32_LjRoot291	G11_LjRoot25	G16_LjRoot125	LjRoot17	LjRoot82	G2_LjRoot102	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot243	LjRoot122	G12_LjRoot70	G29_LjRoot226	LjRoot237	G22_LjRoot238	LjRoot10	G7_LjRoot117	LjRoot229	LjRoot11	G36_LjRoot142	G5_LjRoot105	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	LjRoot89	LjRoot1	G35_LjRoot145	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot296	G24_LjRoot12	LjRoot295	LjRoot257	G9_LjRoot131	LjRoot258	G15_LjRoot29	LjRoot244	LjRoot230	LjRoot220	G34_LjRoot233	LjRoot261	LjRoot28	G31_LjRoot101	LjRoot288	LjRoot231
Lj_ccamk_LjSC_3_endo	-2.26652728063688	-2.66935965702399	-10.9879327391444	-9.41685817995809	-9.10491417364335	-4.71450634087322	-3.73729719149291	-4.79910574411926	-6.29946884159438	-4.97334298010311	-4.28473521122816	-5.34114852013343	-4.58833864790244	-5.02454075717933	-5.14212525274042	-4.56345899111393	-5.59535907558022	-4.61306107731368	-6.16980370438737	-8.84857442038356	-7.74605950975763	-5.70119198759234	-7.77765263445295	-9.41685817995809	-6.5906749966574	-7.39219612572382	-8.35200703560812	-7.10491417364335	-7.37598589854256	-6.11665028169432	-7.27860109388186	-7.3362397197498	-7.34410183752278	-7.25617533082063	-8.05244675374921	-7.89979974373874	-7.67492633289853	-9.55602092762972	-8.91728717046758	-8.76251262511041	-11.0524467537492	-8.11833468940567	-8.8825217523069	-10.2159454860321	-9.63098298531094	-9.81540755644837	-9.10491417364335	-9.46748425302806	-13.2680406583372	-12.9679707145169	-8.9529110801983	-13.0524467537492	-10.2748391750857	-10.4335369211047	-10.1873763338353	-10.0269116616421	-9.71005455630214	-8.50224967118874	-11.2542473450346	-14.5669756506133	-14.9938406232262	-13.6990456451557	-11.6898766743645	-11.5378735809195	-13.4088781225051	-11.6898766743645	-12.8598016758068	-16.8748613101254	-13.9214380664922
Lj_ccamk_LjSC_4_endo	-2.87938126103716	-1.98324644853061	-10.9879327391444	-11.5225815312548	-10.4584511938351	-4.65895838955048	-3.68280513150485	-5.59722939979877	-5.98483366895451	-6.46631331160808	-5.05423518780978	-6.34720209972041	-3.8392678731406	-5.71522660919723	-5.44188511131003	-5.00115954351239	-5.65558366276982	-3.43970672730954	-6.13495580380079	-7.47026049612475	-6.61132574308491	-5.85659967940881	-7.23046909080303	-11.9820131498921	-6.8839810669316	-7.51848877662095	-10.0512758123292	-7.88925600897227	-8.01622886523004	-6.54947124950387	-9.08719538658418	-6.99617121288879	-7.69199430295951	-8.78234080505576	-8.02781683950525	-7.35265652981252	-8.03949864455289	-8.83226603038745	-9.58969572711337	-7.30253305038668	-11.397050649171	-8.74360841056705	-9.98201314989213	-11.2159454860321	-9.18759728354202	-10.4584511938351	-8.75319445939625	-10.624461145274	-11.8120881484498	-9.85273013294716	-10.0278168395053	-13.397050649171	-12.0751225542836	-10.7340856364485	-11.4584511938351	-11.397050649171	-11.2898988094043	-7.48216726280892	-11.2542473450346	-14.5669756506133	-14.9938406232262	-13.6990456451557	-12.1746582278345	-14.107544031976	-11.5225815312548	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_nsp1_LjSC_1_endo	-2.76434327218507	-2.92980208581993	-10.9879327391444	-7.40302934877078	-2.47775032579869	-4.44669057756692	-5.47209974159465	-3.4557864083047	-6.85636489207867	-5.06477308397942	-4.0509231052184	-3.85068826961882	-5.99829160286279	-6.4187537010638	-5.64279397528173	-5.94040239097368	-6.00866541775669	-5.61083423388418	-6.20599250171123	-11.8430435135808	-7.51687842580701	-7.00272839274884	-8.71133783436902	-7.58621044691536	-8.07252535970361	-7.34179171924892	-7.79095500243239	-8.25102625532573	-7.15571929523	-10.3759175031535	-8.20258590026798	-8.3380493175631	-7.89158736553888	-8.84304351358084	-9.95322643133126	-6.66606375460458	-8.01761701860122	-9.07252535970361	-9.7016876643353	-8.76251262511041	-9.60857825994382	-8.25102625532573	-9.17561885266771	-9.82198189805301	-12.7605813533889	-10.6085782599438	-9.52111541869348	-11.2866501650565	-10.8861122354727	-11.1756188526677	-9.86441716437341	-12.4710747361939	-10.2580810128597	-9.99976901726829	-13.34554385411	-12.1231514327736	-11.2898988094043	-9.9763100444443	-9.7016876643353	-13.34554385411	-14.9938406232262	-10.8861122354727	-10.7210529892022	-14.107544031976	-11.2300666366901	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_nsp1_LjSC_2_endo	-2.40452776533857	-3.13780360035572	-9.63519488022682	-10.4287440027594	-4.35978663036113	-3.95842406797936	-4.7705325200076	-3.80084538688765	-5.92836683412318	-4.5444717098129	-4.14149335950478	-4.28782904436033	-5.36265481230163	-5.78681268990916	-5.39312009302868	-5.09603606911879	-5.31604387001004	-5.50432735456587	-5.36696780517271	-10.381438287981	-6.92200666934374	-6.30221159683047	-7.34694991159575	-7.18081648931581	-7.27493866668036	-7.12618123273897	-7.23234678995589	-7.85990116740152	-6.83578871128471	-8.85990116740152	-6.85990116740152	-7.33001004917404	-7.64214764086859	-7.90936984366582	-9.87620297973062	-6.69900997782427	-7.36409104441714	-9.47765360324034	-8.47765360324034	-8.76251262511041	-8.79647578725988	-8.25881900131708	-8.21669352564441	-9.38143828798104	-12.1657095969256	-8.96059516702099	-8.21669352564441	-9.87620297973062	-13.2680406583372	-11.0877070849243	-8.84378150203824	-11.0137065034806	-10.2912404790095	-10.381438287981	-11.8762029797306	-11.5282796763103	-11.2898988094043	-11.2310051203507	-11.2542473450346	-10.6917784085932	-14.9938406232262	-11.8762029797306	-10.2063515814229	-11.4287440027594	-10.5807470962044	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_nsp1_LjSC_3_endo	-2.63126320323951	-2.48501825386183	-9.15562911308768	-12.5225815312548	-4.96834049270714	-4.24320033393773	-4.78639530342196	-5.64336980609616	-5.77569541476475	-4.58305033682235	-3.36321421105402	-3.50402540543334	-5.66954186244933	-6.49266410036525	-5.18482264342254	-5.48683502156305	-5.60498097689186	-5.18954892132971	-5.32859182516837	-9.46375140845001	-7.36421573489909	-6.87878890772885	-7.91746937589291	-7.53414073634141	-7.59554128100555	-7.17893648657975	-6.77925323417794	-7.09673542403411	-6.69956434554878	-9.7971751421752	-10.0871953865842	-7.63367640989232	-7.56451438538493	-8.24135898711356	-9.19310381850634	-8.29128421244524	-7.07470911770411	-8.35356849069959	-9.27110633050761	-8.76251262511041	-8.53414073634141	-7.45803775725562	-8.85606883122877	-8.49851682661069	-12.2711063305076	-10.4410313319499	-9.58305033682235	-10.6336764098923	-11.5341407363414	-12.9679707145169	-9.60814131778518	-15.276615158063	-10.311748315005	-9.29128421244524	-12.2711063305076	-11.9815997133126	-11.2898988094043	-9.1011813290653	-11.2542473450346	-14.5669756506133	-14.9938406232262	-13.6990456451557	-13.8503333661308	-14.107544031976	-10.7405916138088	-13.0434136945563	-13.8598016758068	-15.4410313319499	-12.6336764098923
Lj_nsp1_LjSC_4_endo	-2.72548993392297	-2.73900022032921	-7.57771931329615	-12.5225815312548	-6.21206984097947	-3.57771931329615	-4.77036439123854	-4.71591660721617	-5.61994754868544	-4.61994754868544	-3.78230400455007	-5.12841191193256	-4.88584160865848	-5.27815903143724	-5.3955159820754	-4.82694791960491	-5.24473602989979	-4.92943087720616	-5.25579121840878	-7.10823402999493	-5.88584160865848	-6.27815903143724	-6.88584160865848	-7.03023151799365	-6.60573368946574	-10.7332865432012	-6.69319653071608	-7.06870566580829	-5.81872741279994	-7.32396272105036	-10.0871953865842	-7.88584160865848	-6.3955159820754	-7.57771931329615	-10.9532264313313	-8.27815903143724	-10.2271256477287	-6.49679931791258	-11.7689508252431	-8.76251262511041	-8.27815903143724	-10.4584511938351	-11.0591810104146	-11.2159454860321	-13.7605813533889	-8.69319653071608	-11.6670712112239	-9.27815903143724	-13.2680406583372	-12.9679707145169	-11.5719139781836	-15.276615158063	-13.0751225542836	-6.92060702681915	-14.34554385411	-13.508413796056	-11.2898988094043	-11.2310051203507	-11.2542473450346	-14.5669756506133	-14.9938406232262	-13.6990456451557	-13.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_nsp2_LjSC_1_endo	-2.0894088419669	-2.99527806051266	-10.9879327391444	-9.33570249901742	-5.70869822747933	-3.7244793413076	-3.87028969495779	-4.93308006784692	-6.10172210340575	-4.80742694936892	-4.0329039110259	-5.02545620917769	-5.55631850042272	-5.62574785741172	-5.88192297395963	-5.34738430406505	-5.19186672644376	-4.55857977837923	-6.30121412263212	-9.57108056194834	-6.43399214251458	-6.88333946404975	-7.24186611298249	-7.88617662335328	-6.95004880651967	-7.53501130724082	-7.07396141020514	-7.19538121062	-6.94117065517321	-7.78739846887511	-8.24550469004584	-7.88617662335328	-7.15376212141826	-8.24550469004584	-8.69495222011051	-7.841438308588	-6.86643268805487	-8.68503675124543	-8.94412397256256	-8.76251262511041	-8.95599807285085	-8.08044544377534	-8.01688031499787	-9.96797071451693	-9.62693379668186	-10.7455782931805	-8.94412397256256	-9.72511419062076	-11.1744215919844	-11.9679707145169	-8.9800435468175	-11.6269337966819	-9.96797071451693	-10.9206649997386	-11.5529332152381	-10.5173093055074	-10.2898988094043	-10.2310051203507	-11.2542473450346	-14.5669756506133	-14.9938406232262	-13.6990456451557	-10.7049363086831	-11.3512993540684	-10.6269337966819	-13.0434136945563	-13.8598016758068	-15.8748613101254	-13.9214380664922
Lj_nsp2_LjSC_2_endo	-2.05991420566378	-3.61467139654631	-9.30796997576752	-12.5225815312548	-3.59298194905728	-4.47302922203802	-3.87717840517413	-5.5632270310096	-6.05799172275918	-4.55814583567597	-4.39718546405451	-4.35126025875036	-5.16097137117472	-6.42996050014613	-6.34749833995416	-4.2594462828325	-5.87356715162175	-4.24362774218221	-6.11867964945828	-10.9938613853395	-7.91009302764686	-7.49505552836802	-7.5632270310096	-6.22050713451718	-7.36260523234437	-7.51742334139647	-6.42731092173218	-8.29825482093431	-6.57197950501856	-9.17757333851185	-10.0871953865842	-8.13371904892242	-8.25063680070157	-7.80317782373035	-8.77595635499533	-10.1598713367784	-7.45672740970892	-8.37787198899768	-9.15987133677839	-8.76251262511041	-8.15987133677839	-7.60453400516651	-9.10803240525877	-8.71006841933887	-9.90271349728127	-10.5174233413965	-9.21364259321937	-9.4088988846183	-10.4299605001461	-12.9679707145169	-9.34749833995416	-12.3474983399542	-10.6594423462689	-10.6594423462689	-14.34554385411	-9.30796997576752	-11.2898988094043	-11.2310051203507	-9.4513341509387	-11.2694958279529	-14.9938406232262	-11.0579917227592	-13.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_nsp2_LjSC_3_endo	-1.95691994627731	-3.70942549134211	-10.9879327391444	-8.9636667787179	-4.50532852507487	-4.14008723714219	-3.44010482266088	-6.59909434642204	-5.80446818386864	-4.51741054882833	-3.91127986860591	-5.54862927943905	-5.39482394336002	-5.97573961101847	-6.60377083363151	-5.62025895642008	-5.32366291443878	-4.25584753021121	-5.95169413705182	-10.0125763791988	-7.07614150797631	-7.06320245226881	-6.98791432496457	-5.94574487072063	-6.98181412542816	-7.45270485944052	-5.86212875225583	-7.37870427799674	-6.19460034138467	-8.36276273412772	-10.0871953865842	-8.03766736016167	-7.77252529136589	-8.2412007542468	-9.03766736016167	-8.60377083363151	-6.90477308966433	-9.14263691976322	-8.47823995154766	-8.76251262511041	-7.76203291754825	-7.80446818386864	-8.76203291754824	-8.05037841191123	-8.53070737144179	-9.91636106393954	-11.6670712112239	-10.4782399515477	-9.41112575568912	-12.9679707145169	-9.28559487360526	-15.276615158063	-10.4111257556891	-12.5183253076909	-14.34554385411	-10.0125763791988	-11.2898988094043	-11.2310051203507	-11.2542473450346	-14.5669756506133	-14.9938406232262	-10.4111257556891	-13.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_nsp2_LjSC_4_endo	-3.5723936772872	-4.79446628149955	-10.9879327391444	-10.0821087105027	-0.950329680753711	-3.91735411950545	-5.03903998861086	-8.07122039436001	-6.9716847208091	-5.92683048502484	-4.88095012360552	-4.9025011556631	-6.20020683508009	-7.00496931252117	-7.6507693988948	-5.5108731928931	-5.47007796658342	-5.68148798399278	-7.19872486777886	-10.3716153276977	-9.58734401875317	-9.08210871050275	-7.40198897674125	-7.34842570032584	-8.17230651947433	-6.96915589449836	-7.00496931252117	-8.30632386744601	-8.21961223425268	-7.91704946423225	-10.0871953865842	-9.00756175713769	-8.87857531641762	-8.58734401875317	-9.8227220816841	-10.9565778284189	-8.98695147746241	-9.84110061099895	-10.7689508252431	-8.76251262511041	-7.35171577026003	-10.4584511938351	-9.95657782841889	-9.49714620978159	-10.4260631117201	-10.54154032914	-10.6670712112239	-10.7002380751591	-11.1723065194743	-12.9679707145169	-10.5719139781836	-14.1265028298612	-11.2685218347336	-11.3191479078036	-14.34554385411	-11.2685218347336	-11.2898988094043	-11.2310051203507	-11.2542473450346	-11.6029408738042	-13.3191479078036	-11.1265028298612	-13.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-12.8045747349738
