"","Fresh_weight","Genotype","Treatment","Host"
"249",0.0212,"ccamk","Lj_SC","Lotus"
"250",0.0257,"ccamk","Lj_SC","Lotus"
"251",0.0309,"ccamk","Lj_SC","Lotus"
"252",0.0212,"ccamk","Lj_SC","Lotus"
"253",0.0137,"ccamk","Lj_SC","Lotus"
"254",0.0299,"ccamk","Lj_SC","Lotus"
"255",0.0375,"ccamk","Lj_SC","Lotus"
"256",0.0223,"ccamk","Lj_SC","Lotus"
"257",0.0184,"ccamk","Lj_SC","Lotus"
"258",0.0289,"ccamk","Lj_SC","Lotus"
"259",0.0195,"ccamk","Lj_SC","Lotus"
"260",0.0181,"ccamk","Lj_SC","Lotus"
"261",0.0163,"ccamk","Lj_SC","Lotus"
"262",0.029,"ccamk","Lj_SC","Lotus"
"263",0.0378,"ccamk","Lj_SC","Lotus"
"264",0.018,"ccamk","Lj_SC","Lotus"
"265",0.0285,"ccamk","Lj_SC","Lotus"
"266",0.0242,"ccamk","Lj_SC","Lotus"
"267",0.0303,"ccamk","Lj_SC","Lotus"
"268",0.0223,"ccamk","Lj_SC","Lotus"
"269",0.0119,"ccamk","Lj_SC","Lotus"
"270",0.0129,"ccamk","Lj_SC","Lotus"
"271",0.014,"ccamk","Lj_SC","Lotus"
"272",0.0162,"ccamk","Lj_SC","Lotus"
"273",0.0169,"ccamk","Lj_SC","Lotus"
"274",0.0098,"ccamk","Lj_SC","Lotus"
"275",0.0198,"ccamk","Lj_SC","Lotus"
"276",0.0203,"ccamk","Lj_SC","Lotus"
"277",0.0218,"ccamk","Lj_SC","Lotus"
"278",0.0207,"ccamk","Lj_SC","Lotus"
"279",0.0194,"ccamk","Lj_SC","Lotus"
"280",0.0142,"ccamk","Lj_SC","Lotus"
"281",0.0156,"ccamk","Lj_SC","Lotus"
"282",0.0181,"ccamk","Lj_SC","Lotus"
"283",0.017,"ccamk","Lj_SC","Lotus"
"284",0.0121,"ccamk","Lj_SC","Lotus"
"285",0.0262,"ccamk","Lj_SC","Lotus"
"286",0.0152,"ccamk","Lj_SC","Lotus"
"287",0.0262,"nsp1","Lj_SC","Lotus"
"288",0.0421,"nsp1","Lj_SC","Lotus"
"289",0.0177,"nsp1","Lj_SC","Lotus"
"290",0.0242,"nsp1","Lj_SC","Lotus"
"291",0.0119,"nsp1","Lj_SC","Lotus"
"292",0.0196,"nsp1","Lj_SC","Lotus"
"293",0.0347,"nsp1","Lj_SC","Lotus"
"294",0.0117,"nsp1","Lj_SC","Lotus"
"295",0.014,"nsp1","Lj_SC","Lotus"
"296",0.0168,"nsp1","Lj_SC","Lotus"
"297",0.0145,"nsp1","Lj_SC","Lotus"
"298",0.0198,"nsp1","Lj_SC","Lotus"
"299",0.0126,"nsp1","Lj_SC","Lotus"
"300",0.0167,"nsp1","Lj_SC","Lotus"
"301",0.0197,"nsp1","Lj_SC","Lotus"
"302",0.0232,"nsp1","Lj_SC","Lotus"
"303",0.0162,"nsp1","Lj_SC","Lotus"
"304",0.0325,"nsp1","Lj_SC","Lotus"
"305",0.0174,"nsp1","Lj_SC","Lotus"
"306",0.0135,"nsp1","Lj_SC","Lotus"
"307",0.0177,"nsp1","Lj_SC","Lotus"
"308",0.0209,"nsp1","Lj_SC","Lotus"
"309",0.0164,"nsp1","Lj_SC","Lotus"
"310",0.0134,"nsp1","Lj_SC","Lotus"
"311",0.0132,"nsp1","Lj_SC","Lotus"
"312",0.0132,"nsp1","Lj_SC","Lotus"
"313",0.0281,"nsp1","Lj_SC","Lotus"
"314",0.0198,"nsp1","Lj_SC","Lotus"
