"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","Kingdom","Phylum","Class","Order","Family","Genus","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6"
"37","P4_A5",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","P4_A8",0.265894347940318,-0.131413048478446,-0.192296913006306,0.0977124225193843,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Rahnella",0.0776477797139192,0.0607551104727802,0.00559910414333707,0.00190648203893237,0.00959712599435463,0.0161307364491248,0.00766175417272589,0.0180528933488681,0.0172190163587273,0.0364680482324085,0.0142814214996283,0.0117243512244496,0.0230694173403959,0.0154138097710306,0.0095626918018413,0.00935580228822634,0.0102722736160154,0.0123702179403236,0.0313882697361855,0.00683902504652779,0.0167268607039162,0.00843088583053038,0.00794991329414679,0.0204376975102631,0.0142220197220685,0.023696768129564,0.0188721635587508,0.0072651356993737,0.0105282772756918
"39","P4_B10",-0.942670419360697,-1.05995045558299,-1.25961872573,-1.22470059817415,0,0,-1,-1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",0.00999559581027517,0.00918802998406359,0.00806270996640538,0.00946551608803264,0.00718501411342058,0.00608131112128576,0.00180148894146246,0.00537452550080806,0.00346762666101964,0.00662387827338552,0.00643691976782805,0.00611521916383164,0.00780596598829105,0.00499471884566498,0.00221942130644454,0.0037197768133912,0.00271398138150407,0.00820783836872135,0.00640407199174956,0.00289257124918716,0.00348417250902911,0.00257039202150317,0.00171159606332905,0.00212646563690599,0.0051420574738829,0.00401272503795821,0.00467310716692878,0.00528879610299234,0.00248454920960278
"40","P4_B11",Inf,0.166666666666671,0.242482310651709,Inf,1,0,0,1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",0,0,0,0,0,0.000375679451508001,0,0,0,0,0.000268863970646381,0,9.29281665272744e-05,0,0,0,0,0,0,0,0.000127469725940089,0,0,0,0,0.000542260140264623,0,0.000222686151704941,0
"41","P4_B2",-1.3236186049406,-1.6319124451857,-1.54796683429482,-0.781316756335013,-1,-1,-1,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",0.00922964977117362,0.00999468786275011,0.00902255639097744,0.00919793966151582,0.00795483705414421,0.00642177062421489,0.00180148894146246,0.00448503526640859,0.00312351103817036,0.00412707271579009,0.00335289186923722,0.00452666797874434,0.00422823157699099,0.00182602624465171,0.00257562472599737,0.00263014522158973,0.00262643359500394,0.00313347675615003,0.00485711434179447,0.00365495436912797,0.00494299270589902,0.00226194497892279,0.00141882305249645,0.00392805457928468,0.00647638884368796,0.00639866965512255,0.00359469782071445,0.00740431454418928,0.00493804155408553
"42","P4_B4",0.267725292975996,0.286923765943871,0.508159787085937,0.106779202211516,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.00764031174003791,0.00893226041277274,0.00166373380259159,0.00127098802595491,0.00128303823453939,0.00343981497787013,0.00195342174375448,0.00291903133260671,0.00366615490497115,0.00374520833639314,0.00594663840959054,0.000534203053392189,0.00246259641297277,0.0066596251275533,0.00649386234107847,0.00546694471059009,0.00557387574050836,0.0029464035169769,0.00412522039988024,0.00311680157858152,0.00852630833510375,0.00362792473892161,0.00371596513749071,0.00788564340352639,0.00182250138314837,0.0033077868556142,0.0038193664345091,0.00264439805149617,0.00170812758160191
"43","P4_B5",0.0235994438110719,-0.609596786325131,-1.16297027908827,1.08308601297651,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",0.000689351435191391,0.000649261219430618,0.00159974404095345,0.00120409391932571,0.000513215293815756,0.000363939468648376,0.000260456232500597,0.000526177321757432,0.00160146116787548,0.00390676634306108,0.00132850432554682,0.00022492760142829,0.00144038658117275,0.000716088723392828,0.00167141604559404,0.000657536305397434,0.000116730382000175,0.000280609858759704,0.000249509298379853,0.000224230329394354,0.000325755966291339,0.00060220613075217,0.000968403035830912,0.000738356123925692,0.00100888469424285,0.00442845781216109,0.00458323972141092,0.0011134307585247,0.00201869623280226
"44","P4_B8",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130178670224884,0,0,0,0
"45","P4_C7",-0.57427830493146,-1.44479747821399,-0.624734453102075,-0.692317298212627,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0431546764197129,0.0302201585771342,0.00479923212286034,0.0431466987758378,0.00528611752630228,0.0110121039223283,0.0067501573589738,0.00888237431252427,0.0160278468950183,0.0133065049128321,0.0158313432127663,0.0015885511850873,0.00383328686925007,0.0114753217923701,0.0139193336256028,0.0089424937534051,0.00685790994251029,0.0154101580768871,0.00823380684653515,0.00838621431934884,0.0272501947454146,0.0075642965204236,0.00824268630497939,0.0179272866889158,0.00533732547922023,0.0075735666256959,0.02394967423051,0.00517745302713987,0.015186807043697
"46","P4_C9",0.372514352161213,-0.311903474162656,0.466093145489697,-0.209069766198247,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.00170422993700094,0.00173136325181498,0.00175971844504879,0,0,0.00156141772033013,0.000477503092917761,0.00121521905263026,0.000966170787230663,0.000719667484248094,0.00118616457638109,0.000407681277588776,0.000650497165690921,0.00153959075529458,0.00063020604997808,0.000826617069642488,0,0.00123936020952203,0.00116437672577265,0.000605421889364755,0.00293180369662205,0.000455326586666275,0.000945882034997635,0.00088602734871083,0.000618348683568197,0.000741088858361651,0,0.000862908837856646,0.000931705953601044
