"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","kingdom","phylum","class","order","family","genus","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_4_endo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_4_endo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_4_endo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_4_endo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_4_endo"
"11","G22_LjRoot238",-0.30315455960502,-0.164099823603997,0.0507077648623185,-0.0263984956436292,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",0.00435123673179222,0.00313540212606035,0.00448799285680718,0.00222611980572045,0.00198046617126801,0.00308591437532276,0.00193186696633753,0.0049813200498132,0.00393906041823553,0.00147896581945662,0.00654133315396516,0.00227002486217706,0.0021822499638966,0.00415951246644579,0.0033044846577498,0.00519584332533973,0.00329352273861406,0.00447703918475248,0.00330495743615423,0.00259983506422711
"12","G24_LjRoot12",-1.71684338457294,-0.977749003836248,-2.25036915103495,-2.93739819481964,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium",0.00100507440001961,0.000536883925695265,0.000375957516800602,0.000629609642021946,0,0.000151146826546421,0.000164145559231294,0.000915986538085485,0.00057927359091699,0,0.000857604089594404,0.000355173958027704,9.62757337013206e-05,0.000266015332156417,0.000202315387209172,0,0.000332679064506471,0,0,0
"13","G25_LjRoot27",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5910431488755e-05
"14","G27_LjRoot78",-1.79363370268453,-3.05537950833673,-2.31343107693139,-2.14898194018548,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",0.000392224156105214,0.000536883925695265,0.000258470792800414,0.000607123583378305,6.77082451715558e-05,5.03822755154737e-05,0.000151518977751963,0.000442555293681751,0,0,0.000117710365238448,9.2654076007227e-05,0.000176505511785754,0.000483664240284395,0,0,0.000316045111281147,0.000191873107917964,0,5.5910431488755e-05
"15","G29_LjRoot226",0.0967118439882266,1.00566867955028,0.555461125610162,0.0854019213123799,0,1,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.00340744735616405,0.00311392676903254,0.0023732318248038,0.00348533908976435,0.00409634883287912,0.0021916289849231,0.00332079092906387,0.00384920185667384,0.00689335573191218,0.00427256792287467,0.00618820205824981,0.00782926942261068,0.00309686943405915,0.00621508548765447,0.00503540519276161,0.00419664268585132,0.00422502411923218,0.00356031211358888,0.00380570856284427,0.00194288749423424
"16","G3_LjRoot129",1.33728260769193,1.98164126632534,0.862322429039795,1.7551061001767,1,1,0,1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0.0222587208589709,0.0180822506174165,0.0173175431176277,0.0144135635905738,0.0392200010156237,0.0508105248573552,0.0340665168312331,0.0603213157271801,0.0778254069396976,0.0538453111305872,0.0749815026568911,0.0778139815000695,0.0225766595529597,0.0366375662015429,0.0362369337979094,0.0363709032773781,0.0683489138028544,0.0680509956082378,0.0922049741278585,0.0304152747298827
"17","G30_LjRoot2",-0.697372287650008,-0.177503406689413,-0.505110754933554,-0.31523373711685,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",0.00134827053661167,0.000966391066251476,0.00122186192960195,0.00110181687353841,0.00079557188076578,0.00055420503067021,0.000517689840652542,0.00111153422599138,0.00156403869547587,0.000766871165644172,0.00141252438286137,0.000633136186049385,0.000401148890422169,0.00106406132862567,0.000629425649095201,0.00159872102318145,0.00118101067899797,0.00147102716070439,0.000701051577366049,0.000601037138504116
"18","G31_LjRoot101",-0.062794303063433,-0.178495554840608,-0.428495554840608,-0.428495554840608,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",0.000220626087809183,0,0,0,0,0,0,0.000185255704331896,0,0,0.000134526131701083,0,0,0,0,0,0,0,0,0
"19","G32_LjRoot291",-0.0375782392725017,0.113735901825794,0.993433206586513,0.52166468161937,0,0,1,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.0355943421665482,0.032771394824439,0.0349405517176559,0.0377540924626731,0.0506288403270308,0.0304686811179827,0.0396600924265764,0.0226629478299353,0.0292243526617622,0.0467791411042945,0.0513049034775005,0.0300816900103464,0.0604611607644293,0.0566612657493168,0.0971788243228054,0.0721422861710631,0.0610632422901627,0.0474566153583763,0.0664663662159907,0.0339376319136743
"20","G33_LjRoot104",0.903164078380482,1.49790398834867,0.835447437074494,1.26047000429822,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium",0.00083347633172358,0,0,0.00107933081489477,0.000761717758180002,0.00166261509201063,0.00103537968130508,0.000905694554511491,0.00182471181138852,0.00175284837861525,0.00201789197551624,0.000957425452074679,0.00107507902633141,0.00217648908127978,0.00128133078565809,0,0.0019794404338135,0.00153498486334371,0.00160240360540811,0.000656947569992871
