SampleID	Plant	Genotype	Compartment	Description	Soil	Bio_rep	Growth_condition	Library	Experiment
UF_Lj_nsp1_4_endo	Lotus	nsp1	root	UF_Lj_nsp1_4_endo	UF	4	Lj	first	SYM
UF_Lj_nsp1_5_rhizo	Lotus	nsp1	rhizosphere	UF_Lj_nsp1_5_rhizo	UF	5	Lj	first	SYM
UF_Lj_nsp1_5_endo	Lotus	nsp1	root	UF_Lj_nsp1_5_endo	UF	5	Lj	first	SYM
UF_Lj_nsp1_6_rhizo	Lotus	nsp1	rhizosphere	UF_Lj_nsp1_6_rhizo	UF	6	Lj	first	SYM
UF_Lj_nsp1_6_endo	Lotus	nsp1	root	UF_Lj_nsp1_6_endo	UF	6	Lj	first	SYM
UF_Lj_nsp2_1_rhizo	Lotus	nsp2	rhizosphere	UF_Lj_nsp2_1_rhizo	UF	1	Lj	first	SYM
UF_Lj_nsp2_1_endo	Lotus	nsp2	root	UF_Lj_nsp2_1_endo	UF	1	Lj	first	SYM
UF_Lj_nsp2_2_rhizo	Lotus	nsp2	rhizosphere	UF_Lj_nsp2_2_rhizo	UF	2	Lj	first	SYM
UF_Lj_nsp2_2_endo	Lotus	nsp2	root	UF_Lj_nsp2_2_endo	UF	2	Lj	first	SYM
UF_Lj_nsp2_3_rhizo	Lotus	nsp2	rhizosphere	UF_Lj_nsp2_3_rhizo	UF	3	Lj	first	SYM
UF_Lj_nsp2_3_endo	Lotus	nsp2	root	UF_Lj_nsp2_3_endo	UF	3	Lj	first	SYM
UF_Lj_nsp2_4_rhizo	Lotus	nsp2	rhizosphere	UF_Lj_nsp2_4_rhizo	UF	4	Lj	first	SYM
UF_Lj_nsp2_4_endo	Lotus	nsp2	root	UF_Lj_nsp2_4_endo	UF	4	Lj	first	SYM
UF_Lj_nsp2_5_rhizo	Lotus	nsp2	rhizosphere	UF_Lj_nsp2_5_rhizo	UF	5	Lj	first	SYM
UF_Lj_nsp2_5_endo	Lotus	nsp2	root	UF_Lj_nsp2_5_endo	UF	5	Lj	first	SYM
UF_Lj_nsp2_6_rhizo	Lotus	nsp2	rhizosphere	UF_Lj_nsp2_6_rhizo	UF	6	Lj	first	SYM
UF_Lj_nsp2_6_endo	Lotus	nsp2	root	UF_Lj_nsp2_6_endo	UF	6	Lj	first	SYM
UF_Lj_unplanted_1	bulk	bulk	bulk	UF_Lj_unplanted_1	UF	1	Lj	first	SYM
UF_Lj_unplanted_2	bulk	bulk	bulk	UF_Lj_unplanted_2	UF	2	Lj	first	SYM
UF_Lj_unplanted_3	bulk	bulk	bulk	UF_Lj_unplanted_3	UF	3	Lj	first	SYM
