feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_symrk_HvSC_only_rhizo_5	-2.05898477978733	-6.94833307404225	-2.80346616187882	-2.76999583278373	-4.05898477978733	-3.75239612445556	-9.45929499331962	-5.93992083422604	-3.94833307404225	-3.70440749115616	-5.3355184526812	-10.1962605874858	-3.96210845268691	-8.93992083422605	-6.75885527517853	-7.25766113214997	-8.30009639847037	-8.45929499331962	-7.4236710835889	-8.17636103004813	-8.08078337006589	-8.41198927854127	-6.66574587078705	-7.07156484003652	-8.58482587540348	-8.90675397029085	-9.50820459380057	-8.04425749404078	-11.0192730066056	-10.3661855889281	-8.87433249259847	-8.5332955747634	-11.1962605874858	-9.90675397029085	-12.781223088207	-10.6657458707871	-9.97386816614938	-15.3883536955229	-11.781223088207	-11.3661855889281	-10.9067539702908	-12.3391262474705	-10.5588306668705	-10.4592949933196	-13.0403468065947	-11.781223088207	-14.2889381494558	-14.3661855889281	-12.9714717047991	-13.2775780024157	-11.5588306668705	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_symrk_HvSC_only_rhizo_6	-2.54090479154049	-6.77364385140771	-2.9516421533857	-2.56061404671596	-4.26552570071525	-3.55230334046485	-8.04850369263829	-5.86479173946591	-3.96944696426502	-3.45983532026503	-5.15233950362283	-8.60699398199826	-3.75535849837996	-8.38835369552292	-6.36044769895303	-7.50571064616108	-8.10295147666067	-8.15953500502704	-6.78844085333579	-7.71592835355142	-7.83376484384528	-7.92892207688562	-6.21842869408061	-6.63346619335945	-8.77364385140771	-8.92892207688562	-9.4814630999144	-7.33307126002173	-8.38835369552292	-9.74449750574819	-10.1404261820793	-8.10295147666067	-11.0664256006356	-10.2184286940806	-10.3883536955229	-10.0664256006356	-9.06642560063556	-14.3883536955229	-13.217291312018	-12.3883536955229	-10.4814630999144	-10.8033911948018	-11.3883536955229	-13.6610543423578	-13.0403468065947	-10.3883536955229	-11.5809987734653	-11.3883536955229	-12.9714717047991	-11.8033911948018	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_ccamk_HvSC_only_rhizo_1	-1.55862835290769	-4.56985560833095	-4.76250068627334	-2.38003104945093	-2.42010848882627	-5.56985560833095	-10.4592949933196	-7.90421011860863	-2.46133115155278	-8.25403127281236	-7.54512788937202	-11.7172480058276	-8.17602876081109	-12.0339145668565	-8.62627353550075	-10.1609218684209	-9.79786413733375	-10.2677573026977	-9.7184187117073	-10.3953199109403	-10.1990445526137	-11.1609218684209	-11.4584066132365	-9.75439266592439	-10.4210128557792	-11.8339681810492	-11.4702230803581	-10.6253093073158	-11.0192730066056	-12.6376814847305	-14.2933997996865	-10.8303265626729	-14.2085900085427	-11.9556499075284	-13.781223088207	-12.6610543423578	-13.3022105065488	-15.3883536955229	-13.217291312018	-15.8625405031369	-12.825912798785	-12.3391262474705	-13.6376814847305	-13.6610543423578	-13.0403468065947	-15.2261863776879	-14.2889381494558	-15.3661855889281	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_ccamk_HvSC_only_rhizo_2	-2.59853875848128	-6.01565745084836	-2.05163056051935	-3.11452821539242	-3.88906519323028	-4.35806715003981	-7.73186448484777	-5.57343512224329	-4.57632340156812	-4.5850230965185	-3.89176098045046	-8.56193948340546	-5.14261462572352	-8.70632939274063	-7.00783794638906	-7.82497388923925	-7.55053472013321	-6.55053472013321	-7.32005088644321	-8.09627591105665	-7.02351956862133	-6.0473663105757	-6.29604542343243	-6.44118732394485	-7.16417997555845	-8.18166740228729	-8.89536321713065	-6.90259478636173	-7.56193948340546	-9.01565745084836	-8.36929440546306	-8.5850230965185	-9.95425690618422	-11.9556499075284	-11.5392194069054	-10.451756565655	-10.0156574508484	-11.0797877882681	-12.217291312018	-11.217291312018	-7.38947228740069	-9.49482528754692	-9.25381718804313	-10.8387796887643	-9.49482528754692	-15.2261863776879	-11.0797877882681	-11.5392194069054	-10.451756565655	-13.2775780024157	-10.6323288112969	-11.9542569061842	-12.217291312018	-14.6610543423578
Hv_ccamk_HvSC_only_rhizo_3	-3.07302470895831	-5.51556819551541	-2.99072668723183	-2.09110972949766	-4.11498971174143	-3.88148792822956	-7.49167757530739	-5.88235052618703	-4.18137991750053	-4.19096596632972	-4.51155885053327	-8.4197846568256	-4.69489189495997	-8.09785656193824	-7.09785656193824	-7.24098150403684	-7.64719515292868	-6.73172866314034	-6.95308503772427	-9.16344490356582	-7.58970965826792	-5.67981657449787	-5.18031872213021	-6.24985965538329	-7.3998850993879	-8.6828190626594	-8.88926994012682	-8.16344490356582	-6.67682032203796	-10.0661477022109	-9.94585346849319	-9.13027803963062	-9.88926994012682	-10.5022468170176	-11.1302780396306	-10.0661477022109	-13.3022105065488	-11.7823547362103	-9.54531553890946	-10.8892699401268	-6.96035303818831	-12.3391262474705	-9.26778156338055	-10.7823547362103	-8.91728431629642	-15.2261863776879	-10.1302780396306	-11.2677815633806	-10.6828190626594	-13.2775780024157	-10.2677815633806	-11.2677815633806	-12.5897096582679	-14.6610543423578
Hv_ccamk_HvSC_only_rhizo_4	-4.45801413444912	-7.2638855653314	-2.39912044539556	-2.44398218058873	-4.45061188608652	-4.64981131636894	-8.71040129608341	-6.12073179268473	-3.61298879442547	-2.7676568242113	-6.06089854316754	-9.99050921527614	-2.72684877556796	-10.3828266380549	-7.17337327242596	-7.39414195128274	-8.79786413733375	-7.27430218127674	-8.42863032766803	-8.45208930049202	-9.02527463343682	-7.20291754803997	-7.46396340078031	-6.80539781001916	-8.50018358869306	-9.85926468199789	-9.47593604244639	-7.68238691991381	-8.68238691991381	-9.73897044828018	-8.99050921527614	-8.79786413733375	-10.2953637968046	-11.9556499075284	-11.3828266380549	-10.2953637968046	-9.52484564292733	-15.3883536955229	-13.217291312018	-11.0608985431675	-11.3828266380549	-11.0608985431675	-9.92339501941761	-13.6610543423578	-13.0403468065947	-15.2261863776879	-11.0608985431675	-11.3828266380549	-12.9714717047991	-11.7978641373337	-10.6823869199138	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_ccamk_HvSC_only_rhizo_5	-4.13491660988395	-6.4143131994341	-1.9841176481571	-2.83203978624058	-4.43869735806106	-3.8053718357785	-8.61272675783611	-5.82666661414173	-3.93523297136109	-3.13160006809949	-5.54940082246728	-10.0907740546408	-3.07158048940744	-8.57620088181099	-7.39033433649966	-8.50581155391959	-7.54057697208027	-7.32827336836741	-8.04014798157078	-9.37456702064134	-8.37456702064134	-7.11676926317369	-6.6407411340057	-6.84284654119717	-9.04014798157078	-10.0907740546408	-8.99123838108984	-7.47186422199626	-8.61272675783611	-12.6376814847305	-8.14324147453489	-8.61272675783611	-10.576200881811	-10.1976892585573	-13.781223088207	-12.6610543423578	-13.3022105065488	-15.3883536955229	-13.217291312018	-10.576200881811	-10.4386973580611	-12.3391262474705	-13.6376814847305	-13.6610543423578	-13.0403468065947	-15.2261863776879	-10.8981289766984	-15.3661855889281	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_ccamk_HvSC_only_rhizo_6	-3.78454111841499	-6.51430794715737	-2.47486780231469	-2.29728782797976	-4.49324633162954	-4.38782537439336	-8.60177078840771	-5.77082904603249	-3.46379443075147	-2.93043386221088	-5.41956745718696	-10.7172480058276	-3.68474304125461	-9.44422951142123	-7.11238594766878	-5.63332552228256	-7.79441586635011	-6.96236050366418	-8.05428299310522	-9.39531991094028	-9.09275714091985	-7.53402618177188	-7.64399902379701	-6.25236195709824	-8.27984269352035	-9.44422951142123	-9.3022105065488	-7.98028241166144	-9.05428299310522	-9.77864855049179	-9.44422951142123	-8.21474766529846	-10.3953199109403	-10.4948555844912	-13.781223088207	-11.3022105065488	-12.3022105065488	-15.3883536955229	-10.9802824116614	-14.3022105065488	-9.13228550510649	-12.3391262474705	-10.9802824116614	-11.1322855051065	-13.0403468065947	-15.2261863776879	-10.8427788879115	-15.3661855889281	-12.9714717047991	-10.9802824116614	-11.7172480058276	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_nsp1_HvSC_only_rhizo_1	-4.66222274398247	-7.17445872696295	-3.31898520988093	-2.2979859474613	-5.29622031874883	-2.02749179045535	-9.12347479824414	-6.35676186068388	-3.62540126401393	-3.70656001172463	-5.72734576151536	-9.90108237690769	-4.19932211401455	-9.7084372989653	-7.29339979968645	-4.45104945627264	-7.49898393333635	-8.22731060922868	-7.51204008616179	-9.33920348929958	-8.7084372989653	-6.77769996140241	-5.9805168444021	-6.13352846290806	-9.04547228624287	-10.8339681810492	-9.76983784362944	-8.73881094800882	-9.12347479824414	-10.3865092040779	-13.2933997996865	-9.16411678274149	-10.2933997996865	-10.1234747982441	-11.7084372989653	-11.2933997996865	-9.20593695843611	-15.3883536955229	-13.217291312018	-12.2933997996865	-9.04547228624287	-10.9714717047991	-10.5929600815454	-10.1234747982441	-9.249005680328	-15.2261863776879	-8.97147170479909	-12.7084372989653	-11.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_nsp1_HvSC_only_rhizo_2	-4.22459278962808	-6.97281258759835	-4.17126328722195	-1.67911473829225	-4.7691648436506	-3.19514465648898	-8.36295891133548	-5.97281258759835	-3.82952671125441	-3.67189498600352	-5.4816034078341	-9.47338290102913	-3.95911715336108	-7.4981862920297	-6.91600623197987	-4.51390778840853	-5.02292143589639	-7.81387344694292	-7.27460303691463	-8.74298996078641	-8.50654976496433	-5.54911022719238	-8.21856900200031	-6.4898710238177	-8.36295891133548	-8.44096142333675	-9.50654976496433	-8.84535167841609	-11.0192730066056	-9.68488700622284	-10.2889583298917	-8.1646301948895	-10.0259239240579	-9.68488700622284	-13.781223088207	-10.6108864247791	-8.37822566798879	-11.2323748015253	-11.7628895182241	-12.1254595976088	-9.47338290102913	-12.3391262474705	-11.3478520189453	-10.6848870062228	-9.15145480614177	-11.6108864247791	-10.2889583298917	-11.0259239240579	-10.2323748015253	-13.2775780024157	-13.5635935228294	-11.3478520189453	-13.8412694889141	-12.1254595976088
Hv_nsp1_HvSC_only_rhizo_3	-3.44787850735005	-6.9038177615589	-2.66074508738277	-2.69063596445983	-3.98064834679264	-2.43951099211488	-8.32912359629157	-5.38962833525112	-4.07470232076248	-3.61684226550596	-4.99488223996535	-9.55151601762801	-4.32783605043111	-8.93484465717952	-6.75104748115565	-6.10967845900546	-7.1822822079623	-7.53954337596194	-7.36037453027601	-9.10085460861845	-8.03214185853443	-6.56358884992859	-10.4584066132365	-7.13647851834917	-8.41401249387808	-9.70351911107306	-9.45840661323653	-8.81455042346181	-11.0192730066056	-10.1364785183492	-9.87344411251538	-8.30865949373185	-14.2085900085427	-9.65105169117893	-11.2884816117942	-9.81455042346181	-13.3022105065488	-15.3883536955229	-10.6510516911789	-11.1364785183492	-10.0660891904578	-12.3391262474705	-10.8734441125154	-11.6510516911789	-11.1364785183492	-15.2261863776879	-10.2884816117942	-11.8734441125154	-12.9714717047991	-11.4584066132365	-13.5635935228294	-12.4584066132365	-13.8412694889141	-11.8734441125154
Hv_nsp1_HvSC_only_rhizo_4	-2.09529410788126	-6.28367187234864	-2.90369484009041	-2.71048653940384	-4.32985397377794	-3.91443806268292	-8.11766192090971	-5.36820538256031	-3.93501567836602	-3.72634049060467	-4.30881429821104	-9.83386895490912	-4.49826592312468	-7.997367687192	-7.62627353550075	-6.61147653357267	-8.18179225832943	-7.29544904012499	-7.52574665954679	-8.76675475905058	-8.20381856465943	-6.5608504605027	-9.58233018791316	-7.13872353643754	-8.64122387696672	-9.31929578207936	-9.05626137624557	-8.76675475905058	-8.83386895490912	-9.76675475905058	-10.6412238769667	-8.36820538256031	-10.7667547590506	-8.8686343730698	-13.781223088207	-9.97825886424429	-9.58233018791316	-11.9042582828005	-9.70262442163087	-10.3192957820794	-9.22618637768788	-12.3391262474705	-9.58233018791316	-10.3192957820794	-13.0403468065947	-14.2261863776879	-14.2889381494558	-11.6412238769667	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-12.6412238769667	-11.9042582828005
Hv_nsp1_HvSC_only_rhizo_5	-2.99875045559785	-6.34158192991242	-2.84436661336162	-2.89425293132237	-4.15186420172154	-2.29647904363188	-7.70303838898642	-5.62978940695578	-4.34353283628258	-4.28237634051369	-4.35332713758552	-8.44669863572663	-5.01809500716849	-7.25825354631352	-7.11807588826526	-5.25091157097235	-7.17252367228764	-6.93044888508949	-6.73341203802994	-8.51541138581065	-8.34940143437172	-6.64414469993285	-8.31837453875109	-7.01498239530116	-8.82856927107028	-9.34940143437172	-9.48064596764997	-8.34940143437172	-11.0192730066056	-8.91876708004185	-9.78550054917839	-7.25825354631352	-9.87296339042873	-9.06560846837113	-10.2880008897076	-10.5510352955414	-8.51541138581065	-15.3883536955229	-13.217291312018	-11.8729633904287	-9.78550054917839	-9.62503587698514	-10.5510352955414	-13.6610543423578	-13.0403468065947	-11.0656084683711	-14.2889381494558	-10.5510352955414	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
