"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"nsp1-symrk",0.010406495800331,-0.0407294984466029,0.0615424900472649,0.974155733853822,"Rhizobiales","Rhizosphere"
"nsp2-symrk",0.00537780806715125,-0.0457581861797826,0.0565138023140851,0.997884698973635,"Rhizobiales","Rhizosphere"
"nsp1-ccamk",-0.0238598249980863,-0.0749958192450201,0.0272761692488476,0.651374865992828,"Rhizobiales","Rhizosphere"
"nsp2-ccamk",-0.028888512731266,-0.0800245069781999,0.0222474815156679,0.475821666960347,"Rhizobiales","Rhizosphere"
"nsp2-nsp1",-0.00502868773317976,-0.0561646819801136,0.0461073065137541,0.998372372628367,"Rhizobiales","Rhizosphere"
"symrk-WT",-0.00065377362585409,-0.00260611666455376,0.00129856941284558,0.860171793211238,"Rhodobacterales","Rhizosphere"
"ccamk-WT",-0.000827283125772153,-0.00277962616447182,0.00112505991292751,0.726091450071732,"Rhodobacterales","Rhizosphere"
"nsp1-WT",0.000395386285098862,-0.0015569567536008,0.00234772932379853,0.974608293285904,"Rhodobacterales","Rhizosphere"
"nsp2-WT",-0.00123450986856789,-0.00318685290726756,0.000717833170131773,0.365285561200478,"Rhodobacterales","Rhizosphere"
"ccamk-symrk",-0.000173509499918063,-0.00212585253861773,0.0017788335387816,0.998905361130622,"Rhodobacterales","Rhizosphere"
"nsp1-symrk",0.00104915991095295,-0.000903183127746714,0.00300150294965262,0.524210137213788,"Rhodobacterales","Rhizosphere"
"nsp2-symrk",-0.000580736242713803,-0.00253307928141347,0.00137160679598586,0.903877256280986,"Rhodobacterales","Rhizosphere"
"nsp1-ccamk",0.00122266941087102,-0.000729673627828651,0.00317501244957068,0.374656774375792,"Rhodobacterales","Rhizosphere"
"nsp2-ccamk",-0.00040722674279574,-0.00235956978149541,0.00154511629590393,0.971743139774092,"Rhodobacterales","Rhizosphere"
"nsp2-nsp1",-0.00162989615366675,-0.00358223919236642,0.000322446885032911,0.134573557913219,"Rhodobacterales","Rhizosphere"
"symrk-WT",0.000965206102001744,-0.000706431852124695,0.00263684405612818,0.454423566174783,"Rhodospirillales","Rhizosphere"
"ccamk-WT",0.00136588056890183,-0.000305757385224612,0.00303751852302827,0.148450600091015,"Rhodospirillales","Rhizosphere"
"nsp1-WT",0.000513172657251144,-0.0011584652968753,0.00218481061137758,0.893575703107611,"Rhodospirillales","Rhizosphere"
"nsp2-WT",0.00102393068854415,-0.000647707265582289,0.00269556864267059,0.396327458860891,"Rhodospirillales","Rhizosphere"
"ccamk-symrk",0.000400674466900083,-0.00127096348722636,0.00207231242102652,0.953671782712126,"Rhodospirillales","Rhizosphere"
"nsp1-symrk",-0.0004520334447506,-0.00212367139887704,0.00121960450937584,0.929892091733307,"Rhodospirillales","Rhizosphere"
"nsp2-symrk",5.87245865424058e-05,-0.00161291336758403,0.00173036254066885,0.999972434948792,"Rhodospirillales","Rhizosphere"
"nsp1-ccamk",-0.000852707911650683,-0.00252434586577712,0.000818930042475756,0.573112071899831,"Rhodospirillales","Rhizosphere"
"nsp2-ccamk",-0.000341949880357677,-0.00201358783448412,0.00132968807376876,0.973666955265009,"Rhodospirillales","Rhizosphere"
"nsp2-nsp1",0.000510758031293006,-0.00116087992283343,0.00218239598541945,0.895174246102773,"Rhodospirillales","Rhizosphere"
"symrk-WT",-0.107697637261485,-0.255529803474764,0.040134528951794,0.235401417040775,"Sphingobacteriales","Rhizosphere"
"ccamk-WT",-0.160909777342248,-0.308741943555527,-0.0130776111289686,0.0280747310412687,"Sphingobacteriales","Rhizosphere"
"nsp1-WT",-0.171593260130304,-0.319425426343583,-0.0237610939170251,0.0171989173819969,"Sphingobacteriales","Rhizosphere"
"nsp2-WT",-0.107968336099792,-0.255800502313071,0.0398638301134868,0.233289037478846,"Sphingobacteriales","Rhizosphere"
"ccamk-symrk",-0.0532121400807626,-0.201044306294042,0.0946200261325165,0.826195600711768,"Sphingobacteriales","Rhizosphere"
"nsp1-symrk",-0.0638956228688191,-0.211727789082098,0.08393654334446,0.711648723604528,"Sphingobacteriales","Rhizosphere"
"nsp2-symrk",-0.000270698838307243,-0.148102865051586,0.147561467374972,0.999999999795359,"Sphingobacteriales","Rhizosphere"
"nsp1-ccamk",-0.0106834827880565,-0.158515649001336,0.137148683425223,0.999515421070506,"Sphingobacteriales","Rhizosphere"
"nsp2-ccamk",0.0529414412424554,-0.0948907249708237,0.200773607455734,0.828793191584412,"Sphingobacteriales","Rhizosphere"
"nsp2-nsp1",0.0636249240305119,-0.0842072421827672,0.211457090243791,0.714784996960581,"Sphingobacteriales","Rhizosphere"
"symrk-WT",-0.000531720032564084,-0.00242471040998858,0.00136127034486041,0.920381858023673,"Sphingomonadales","Rhizosphere"
"ccamk-WT",-0.00138415524807821,-0.00327714562550271,0.000508835129346278,0.232305830223595,"Sphingomonadales","Rhizosphere"
"nsp1-WT",-0.00113275996517295,-0.00302575034259744,0.000760230412251543,0.419273608425208,"Sphingomonadales","Rhizosphere"
"nsp2-WT",-0.00109856108919619,-0.00299155146662068,0.000794429288228301,0.449448699510956,"Sphingomonadales","Rhizosphere"
"ccamk-symrk",-0.00085243521551413,-0.00274542559293862,0.00104055516191036,0.68021500985523,"Sphingomonadales","Rhizosphere"
"nsp1-symrk",-0.000601039932608865,-0.00249403031003336,0.00129195044481563,0.881534819269847,"Sphingomonadales","Rhizosphere"
"nsp2-symrk",-0.000566841056632108,-0.0024598314340566,0.00132614932079238,0.901778989395339,"Sphingomonadales","Rhizosphere"
"nsp1-ccamk",0.000251395282905265,-0.00164159509451923,0.00214438566032976,0.994781254948389,"Sphingomonadales","Rhizosphere"
"nsp2-ccamk",0.000285594158882023,-0.00160739621854247,0.00217858453630652,0.991508752167007,"Sphingomonadales","Rhizosphere"
"nsp2-nsp1",3.41988759767573e-05,-0.00185879150144774,0.00192718925340125,0.999998063842811,"Sphingomonadales","Rhizosphere"
"symrk-WT",-0.00868173412859204,-0.0310518025856797,0.0136883343284956,0.784159921351912,"Xanthomonadales","Rhizosphere"
"ccamk-WT",-0.0147901309605259,-0.0371601994176135,0.00757993749656177,0.322550952023512,"Xanthomonadales","Rhizosphere"
"nsp1-WT",0.0109593252338965,-0.0114107432231911,0.0333293936909842,0.60953218747524,"Xanthomonadales","Rhizosphere"
"nsp2-WT",-0.00408798749837412,-0.0264580559554618,0.0182820809587135,0.982580740301415,"Xanthomonadales","Rhizosphere"
"ccamk-symrk",-0.00610839683193383,-0.0284784652890215,0.0162616716251538,0.927556218140041,"Xanthomonadales","Rhizosphere"
"nsp1-symrk",0.0196410593624886,-0.00272900909459908,0.0420111278195762,0.105233051691467,"Xanthomonadales","Rhizosphere"
"nsp2-symrk",0.00459374663021792,-0.0177763218268697,0.0269638150873056,0.973295165506518,"Xanthomonadales","Rhizosphere"
"nsp1-ccamk",0.0257494561944224,0.00337938773733475,0.04811952465151,0.0183790000733625,"Xanthomonadales","Rhizosphere"
"nsp2-ccamk",0.0107021434621517,-0.0116679249949359,0.0330722119192394,0.630220853300742,"Xanthomonadales","Rhizosphere"
"nsp2-nsp1",-0.0150473127322706,-0.0374173811893583,0.00732275572481699,0.306390896367955,"Xanthomonadales","Rhizosphere"
