"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"nsp1-ccamk",4.34235586237796e-05,-4.63035532734705e-05,0.00013315067052103,0.617811989759255,"Corynebacteriales","Root"
"nsp2-ccamk",3.88675731569416e-05,-5.08595387403086e-05,0.000128594685054192,0.707756406489438,"Corynebacteriales","Root"
"nsp2-nsp1",-4.55598546683805e-06,-9.42830973640882e-05,8.51711264304121e-05,0.999878592175386,"Corynebacteriales","Root"
"symrk-WT",-0.0127988087957509,-0.0415754440185629,0.0159778264270611,0.687620747345002,"Enterobacterales","Root"
"ccamk-WT",-0.0178680627990048,-0.0466446980218168,0.0109085724238071,0.380866082731511,"Enterobacterales","Root"
"nsp1-WT",-0.0171502583807263,-0.0459268936035383,0.0116263768420857,0.420985466910228,"Enterobacterales","Root"
"nsp2-WT",-0.0152641101567127,-0.0440407453795247,0.0135125250660993,0.534123543737081,"Enterobacterales","Root"
"ccamk-symrk",-0.00506925400325397,-0.0325066991325722,0.0223681911260643,0.981610214996491,"Enterobacterales","Root"
"nsp1-symrk",-0.00435144958497545,-0.0317888947142937,0.0230859955443428,0.989596839478156,"Enterobacterales","Root"
"nsp2-symrk",-0.00246530136096182,-0.02990274649028,0.0249721437683564,0.998839865497521,"Enterobacterales","Root"
"nsp1-ccamk",0.000717804418278517,-0.0267196407110397,0.0281552495475967,0.999991367409917,"Enterobacterales","Root"
"nsp2-ccamk",0.00260395264229215,-0.0248334924870261,0.0300413977716104,0.998562317338225,"Enterobacterales","Root"
"nsp2-nsp1",0.00188614822401363,-0.0255512969053046,0.0293235933533319,0.999596213379606,"Enterobacterales","Root"
"symrk-WT",0.000346359440410083,-0.00431371513255205,0.00500643401337222,0.999450293608098,"Micrococcales","Root"
"ccamk-WT",-0.00134771171163626,-0.00600778628459839,0.00331236286132588,0.91131309348366,"Micrococcales","Root"
"nsp1-WT",-0.000159411712003798,-0.00481948628496593,0.00450066286095834,0.999974822946209,"Micrococcales","Root"
"nsp2-WT",0.00423859848233768,-0.000421476090624458,0.00889867305529981,0.0871121528405799,"Micrococcales","Root"
"ccamk-symrk",-0.00169407115204634,-0.00613727792046036,0.00274913561636768,0.792824818635705,"Micrococcales","Root"
"nsp1-symrk",-0.000505771152413881,-0.00494897792082791,0.00393743561600014,0.997079018880863,"Micrococcales","Root"
"nsp2-symrk",0.00389223904192759,-0.000550967726486431,0.00833544581034162,0.106047136349083,"Micrococcales","Root"
"nsp1-ccamk",0.00118829999963246,-0.00325490676878157,0.00563150676804648,0.931646175275567,"Micrococcales","Root"
"nsp2-ccamk",0.00558631019397393,0.00114310342555991,0.010029516962388,0.00889330532388777,"Micrococcales","Root"
"nsp2-nsp1",0.00439801019434147,-4.51965740725499e-05,0.0088412169627555,0.0533104046001724,"Micrococcales","Root"
"symrk-WT",-9.26524282190759e-05,-0.000218554407396489,3.32495509583373e-05,0.225636486988071,"Propionibacteriales","Root"
"ccamk-WT",-9.32688240301713e-05,-0.000219170803207585,3.26331551472419e-05,0.22020302815389,"Propionibacteriales","Root"
"nsp1-WT",-9.6585202949719e-05,-0.000222487182127132,2.93167762276942e-05,0.192621197412571,"Propionibacteriales","Root"
"nsp2-WT",-2.65812646013898e-05,-0.000152483243778803,9.93207145760234e-05,0.970087678880778,"Propionibacteriales","Root"
"ccamk-symrk",-6.16395811095395e-07,-0.000120659222868736,0.000119426431246546,0.999999987149058,"Propionibacteriales","Root"
"nsp1-symrk",-3.93277473064309e-06,-0.000123975601788284,0.000116110052326998,0.999978809293143,"Propionibacteriales","Root"
"nsp2-symrk",6.60711636176861e-05,-5.3971663439955e-05,0.000186113990675327,0.498747998385926,"Propionibacteriales","Root"
"nsp1-ccamk",-3.3163789195477e-06,-0.000123359205977189,0.000116726448138093,0.999989268969763,"Propionibacteriales","Root"
"nsp2-ccamk",6.66875594287815e-05,-5.33552676288596e-05,0.000186730386486423,0.489754205702704,"Propionibacteriales","Root"
"nsp2-nsp1",7.00039383483292e-05,-5.00388887093119e-05,0.00019004676540597,0.442334889144968,"Propionibacteriales","Root"
"symrk-WT",-0.0193959800397398,-0.0635545442917954,0.0247625842123159,0.697266853996747,"Pseudomonadales","Root"
"ccamk-WT",-0.0225927994950305,-0.0667513637470861,0.0215657647570252,0.567875754986704,"Pseudomonadales","Root"
"nsp1-WT",-0.00843228244121682,-0.0525908466932725,0.0357262818108388,0.979236377294152,"Pseudomonadales","Root"
"nsp2-WT",-0.0165152836874052,-0.0606738479394608,0.0276432805646505,0.803881770510161,"Pseudomonadales","Root"
"ccamk-symrk",-0.00319681945529071,-0.0453003584644235,0.0389067195538421,0.999402000071183,"Pseudomonadales","Root"
"nsp1-symrk",0.0109636975985229,-0.0311398414106099,0.0530672366076558,0.937560790251596,"Pseudomonadales","Root"
"nsp2-symrk",0.00288069635233457,-0.0392228426567982,0.0449842353614674,0.999603694928135,"Pseudomonadales","Root"
"nsp1-ccamk",0.0141605170538136,-0.0279430219553192,0.0562640560629465,0.856832629217794,"Pseudomonadales","Root"
"nsp2-ccamk",0.00607751580762528,-0.0360260232015075,0.0481810548167581,0.992717750579748,"Pseudomonadales","Root"
"nsp2-nsp1",-0.00808300124618836,-0.0501865402553212,0.0340205377629445,0.978824879446907,"Pseudomonadales","Root"
"symrk-WT",-0.0237158939912252,-0.0932094157716643,0.0457776277892139,0.850331621577762,"Rhizobiales","Root"
"ccamk-WT",-0.0675891386381439,-0.137082660418583,0.00190438314229521,0.059371573032257,"Rhizobiales","Root"
"nsp1-WT",-0.0681354385008382,-0.137628960281277,0.00135808327960091,0.0565335896458765,"Rhizobiales","Root"
"nsp2-WT",0.0350772002710648,-0.0344163215093742,0.104570722051504,0.580271274493865,"Rhizobiales","Root"
"ccamk-symrk",-0.0438732446469187,-0.110132717859491,0.0223862285656537,0.319278077584126,"Rhizobiales","Root"
"nsp1-symrk",-0.044419544509613,-0.110679017722185,0.0218399287029594,0.30772735866589,"Rhizobiales","Root"
"nsp2-symrk",0.05879309426229,-0.00746637895028239,0.125052567474862,0.0993012483427201,"Rhizobiales","Root"
"nsp1-ccamk",-0.000546299862694305,-0.0668057730752667,0.0657131733498781,0.999999914594028,"Rhizobiales","Root"
"nsp2-ccamk",0.102666338909209,0.0364068656966363,0.168925812121781,0.00108576414926465,"Rhizobiales","Root"
"nsp2-nsp1",0.103212638771903,0.0369531655593306,0.169472111984475,0.00102224708039067,"Rhizobiales","Root"
"symrk-WT",-0.000253132467012266,-0.000770123332456897,0.000263858398432366,0.607578809253518,"Rhodobacterales","Root"
"ccamk-WT",-0.000457867687500883,-0.000974858552945514,5.91231779437482e-05,0.100276576597314,"Rhodobacterales","Root"
"nsp1-WT",-0.000285222606792217,-0.000802213472236848,0.000231768258652415,0.496464668173022,"Rhodobacterales","Root"
