structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	2	0,079	0,079	-193,062		47,905	C18H36O6	[M - H]-	C18H35O6-	SVFQHWDADNHWLQ	InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-21-11-12-22-13-14-23-15-16-24-17-18(19)20/h2-17H2,1H3,(H,19,20)	2-[2-[2-(2-Decoxyethoxy)ethoxy]ethoxy]acetic acid	CCCCCCCCCCOCCOCCOCCOCC(=O)O	3,700	85571026	NORMAN:(NS00095085);PUBCHEM:(85571026)	262146	347,245	891	14,853	650282659411419035	650277965045029660	1583	
1	1	0,023	0,023	-235,246		127,455	C18H37NO4	[M - H]-	C18H36NO4-	YQZPQSWEHQDLFL	InChI=1S/C18H37NO4/c1-2-3-4-9-12-15(20)13-10-7-5-6-8-11-14-16(21)17(19)18(22)23/h15-17,20-21H,2-14,19H2,1H3,(H,22,23)	Simplifungin	CCCCCCC(CCCCCCCCC(C(C(=O)O)N)O)O	1,900	162814753;132838897	COCONUT:(CNP0072037);SUPERNATURAL:(SN0457960);MESH:(132838897);PUBCHEM:(162814753 132838897);LOTUS:(Q105352675);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	305135686	330,265	893	14,883	650282664192925832	650277956954216726	1482	
1	1	0,031	0,114	-119,874		33,698	C9H17NO2	[M - H]-	C9H16NO2-	UGJMXCAKCUNAIE	InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)	2-[1-(aminomethyl)cyclohexyl]acetic acid	C1CCC(CC1)(CC(=O)O)CN	0,845	6919078;75125729;5248227;124091179;162641874;25216749;25216750;25216881;25216882;25216883;25216884;25217256;25217257;25217738;25217864;25217865;25217866;25217867;25217868;25217870;60070894;129285685;90964273;45039319;3446;123478465;71317021	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0005015);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(3446);SUPERNATURAL:(SN0369713);HSDB:(60142-96-3);MESH:(3446);FooDB:(FDB023587);PUBCHEM:(6919078 75125729 5248227 124091179 162641874 25216749 25216750 25216881 25216882 25216883 25216884 25217256 25217257 25217738 25217864 25217865 25217866 25217867 25217868 25217870 60070894 129285685 90964273 45039319 3446 123478465 71317021);COCONUT:(CNP0330356);NORMAN:(NS00000335 NS00078374 NS00093634 NS00103949);METACYC:(CPD-16562);CHEBI:(42797);KEGG:(C07018);DSSTox:(DTXSID0020074 DTXSID20661990 DTXSID30735939 DTXSID80208880);PUBCHEMANNOTATIONDRUG;PUBMED	138100869998	170,118	893	14,883	650282702663082937	650277887190352496	312	
1	1	0,085	0,085	-291,733		102,972	C18H30N2O2	[M - H]-	C18H29N2O2-	CTJANHPKWFNZAR	InChI=1S/C18H30N2O2/c1-17(2,3)19-15(21)13-11-7-9-12(10-8-11)14(13)16(22)20-18(4,5)6/h7,9,11-14H,8,10H2,1-6H3,(H,19,21)(H,20,22)	N2,N3-di-tert-butylbicyclo[2.2.2]oct-5-ene-2,3-dicarboxamide	CC(C)(C)NC(=O)C1C2CCC(C1C(=O)NC(C)(C)C)C=C2	2,400	92261604;98532707;98532708;92527500;428707	COCONUT:(CNP0306889);PUBCHEM:(92261604 98532707 98532708 92527500 428707)	2097154	305,224	893	14,884	650282702868603862	650277935328384055	1232	
1	2	0,063	0,063	-209,256		99,514	C18H33NO5	[M - H]-	C18H32NO5-	PIKISDIQFTYTBL	InChI=1S/C18H33NO5/c1-5-6-7-8-9-10-11-15(20)12-18(23)24-16(13-17(21)22)14-19(2,3)4/h16H,5-14H2,1-4H3/p+1	3-Oxoundecanoylcarnitine	CCCCCCCCC(=O)CC(=O)OC(CC(=O)O)C[N+](C)(C)C	3,100	156961743;156961744	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0241207);PUBCHEM:(156961743 156961744);PUBCHEMANNOTATIONDRUG:(null)	50331658	342,229	894	14,902	650282720539207669	650277961106577950	1533	
1	1	0,065	0,065	-255,794		135,065	C20H39NO5	[M - H]-	C20H38NO5-	DOFFCMLMRQLXPK	InChI=1S/C20H39NO5/c1-5-6-7-8-9-10-11-12-13-17(22)14-20(25)26-18(15-19(23)24)16-21(2,3)4/h17-18,22H,5-16H2,1-4H3/p+1	3-Hydroxytridecanoyl carnitine	CCCCCCCCCCC(CC(=O)OC(CC(=O)O)C[N+](C)(C)C)O	4,100	131770392;131770393	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0061639);CHEBI:(177821);PUBCHEM:(131770392 131770393)	16777258	372,275	894	14,905	650282719754872690	650277971533618556	1704	
1	1	0,070	0,128	-169,526		34,687	C8H15NO3	[M - H]-	C8H14NO3-	HHACJKLYPVMYQV	InChI=1S/C8H15NO3/c1-2-3-4-6(8(9)12)5-7(10)11/h6H,2-5H2,1H3,(H2,9,12)(H,10,11)	(3R)-3-carbamoylheptanoic acid	CCCCC(CC(=O)O)C(=O)N	0,600	76936808;154094240	PUBCHEMANNOTATIONBIO;PUBCHEM:(76936808 154094240)	16777218	172,098	894	14,906	650282727912796172	650277888289260279	340	
1	1	0,765	0,765	-116,710		72,602	C17H31NO5	[M - H]-	C17H30NO5-	AVBJHQDHVYGQLS	InChI=1S/C17H31NO5/c1-2-3-4-5-6-7-8-9-10-11-15(19)18-14(17(22)23)12-13-16(20)21/h14H,2-13H2,1H3,(H,18,19)(H,20,21)(H,22,23)	N-Lauroyl-L-glutamic acid	CCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	4,200	22015050;20606579;129727254;156600000;10270408;93133;351563;91009344;57466683	PUBCHEMANNOTATIONBIO;NORMAN:(NS00003274 NS00078273);HMDB:(HMDB0242032);BloodExposome:(11337766);MESH:(93133);PUBCHEM:(22015050 20606579 129727254 156600000 10270408 93133 351563 91009344 57466683);DSSTox:(DTXSID101014277 DTXSID20186916 DTXSID50865520 DTXSID7074820 DTXSID7074824 DTXSID90885464);PUBMED	137460187214	328,214	895	14,911	650282731368904535	650277952806049861	1441	
1	3	0,012	0,028	-254,877		69,139	C11H14N2O8	[M - H]-	C11H13N2O8-	FAWQJBLSWXIJLA	InChI=1S/C11H14N2O8/c14-3-5-7(17)8(18)10(21-5)13-2-4(1-6(15)16)9(19)12-11(13)20/h2,5,7-8,10,14,17-18H,1,3H2,(H,15,16)(H,12,19,20)	2-[1-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-2,4-dioxopyrimidin-5-yl]acetic acid	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)CC(=O)O	-2,759	3080720;133126372;13071773;13071774;57091267	METACYC:(CPD-26172);CHEBI:(75654);MESH:(3080720);PUBCHEM:(3080720 133126372 13071773 13071774 57091267);DSSTox:(DTXSID20175143);PUBMED:(null)	137438955622	301,071	896	14,931	650282731226298141	650277933541610391	1199	
1	1	0,128	0,128	-255,966		54,262	C18H35NO5S	[M - H]-	C18H34NO5S-	MEHQVAZHEPDQGH	InChI=1S/C18H35NO5S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(20)19-24-25(21,22)23/h9-10H,2-8,11-17H2,1H3,(H,19,20)(H,21,22,23)	[[(Z)-octadec-9-enoyl]amino] hydrogen sulfate	CCCCCCCCC=CCCCCCCCC(=O)NOS(=O)(=O)O	6,100	140976406	PUBCHEM:(140976406)	2	376,217	896	14,940	650282732153239531	650277973672713681	1721	
